Block,Time,L_NR_2020_05,L_NR_2020_06,L_NR_2021_17,L_NR_2021_13,L_NR_2019_19,L_NR_2022_08,LT-36,LT_MEJA_Delhi,L_NR_2019_05,L_NR_2021_12,L_NR_2012_07,L_NR_2022_10,SH-07,LT-05,L_NR_2012_04,L_NR_2022_09,L_NR_2019_06,SH-06,L_NR_2019_07,L_NR_2021_16,L_NR_2020_07,L_NR_2018_61,L_NR_2019_11,L_NR_2021_14,L_NR_2021_15,L_NR_2020_02,LT-35,LT-31,L_NR_2012_01,L_NR_2012_02,LT-59
1,00:00-00:15,45.29,15.1,0,0,0.000000,9,0.000000,6.170000,0,0,87.180000,30.12,0.000000,116.050000,271.830000,30.12,0,0.000000,0,0,15.1,4.54,3.920000,0,0,4.370000,0.000000,0.000000,101.240000,261.530000,4.040000

2,00:15-00:30,44.46,14.82,0,0,0.000000,8.72,0.000000,6.170000,0,0,87.180000,29.88,0.000000,116.050000,271.830000,29.88,0,0.000000,0,0,14.81,4.52,3.920000,0,0,4.370000,0.000000,0.000000,101.240000,261.530000,4.040000

3,00:30-00:45,42.99,14.33,0,0,0.000000,8.49,0.000000,6.170000,0,0,87.180000,28.72,0.000000,116.050000,271.830000,28.72,0,0.000000,0,0,14.34,4.49,3.920000,0,0,4.370000,0.000000,0.000000,101.240000,261.530000,4.040000

4,00:45-01:00,41.63,13.88,0,0,0.000000,8.43,0.000000,6.170000,0,0,87.180000,25.74,0.000000,116.050000,271.830000,25.74,0,0.000000,0,0,13.87,4.48,3.920000,0,0,4.370000,0.000000,0.000000,101.240000,261.530000,4.040000

5,01:00-01:15,40.52,13.51,0,0,0.000000,8.52,0.000000,6.170000,0,0,87.180000,22.93,0.000000,116.050000,271.830000,22.93,0,0.000000,0,0,13.5,4.62,3.920000,0,0,4.370000,0.000000,0.000000,101.240000,261.530000,4.040000

6,01:15-01:30,40.62,13.54,0,0,0.000000,8.4,0.000000,6.170000,0,0,63.380000,33.5,0.000000,116.050000,271.830000,33.5,0,0.000000,0,0,13.54,4.58,3.920000,0,0,4.370000,0.000000,0.000000,101.240000,261.530000,4.040000

7,01:30-01:45,40.03,13.34,0,0,0.000000,7.9,0.000000,6.170000,0,0,63.380000,31.02,0.000000,116.050000,271.830000,31.02,0,0.000000,0,0,13.34,4.56,3.920000,0,0,4.370000,0.000000,0.000000,101.240000,261.530000,4.040000

