Block,Time,RIHAND1,URI,AURY_CRF,DADRI_CRF,SEWA2,ANTA_RF,RAMPUR,KOLDAM,UNCHAHAR2,KOTESHWR,DULHASTI,NAPP,JHAJJAR,KISHANGANGA,RAPPC,UNCHAHAR4,PARBATI3,ANTA_CRF,AURY_RF,SALAL,RIHAND3,TEHRI,SINGRAULI,NJPC,CHAMERA2,DADRI_RF,SINGRAULI_HYDRO,AURY_GF,TANAKPUR,ANTA_LF,RAPPB,DHAULIGNGA,DADRI_LF,DADRI_GF,TANDA2,CHAMERA3,BSIUL,UNCHAHAR1,SASAN,KHSTPP-II,KHSTPP-I,RIHAND2,UNCHAHAR3,FSTPP I & II,KUDGI,ANTA_GF,AURY_LF,TALA,CHAMERA1,BRBCL,DADRT2,URI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,88.927200,46.953562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,631.334887,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,43.844976,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,19.317501,266.373816,142.588603,44.849351,56.024039,25.508671,20.037618,40.25,0.000000,0.000000,18.755906,0.000000,16.992838,663.841506,31.206488,0,0,0,0,0

2,00:15-00:30,88.927200,46.953562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,631.334887,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,29.229984,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,19.317501,266.419125,142.588603,44.849351,56.024039,25.508671,20.037618,46.40,0.000000,0.000000,18.755906,0.000000,15.992031,663.841506,31.206488,0,0,0,0,0

3,00:30-00:45,88.927200,16.006896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,631.334887,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,14.614992,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,19.317501,266.419125,142.588603,44.849351,56.024039,25.508671,20.037618,44.46,0.000000,0.000000,18.755906,0.000000,16.781679,663.841506,31.206488,0,0,0,0,0

4,00:45-01:00,88.927200,12.805517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,631.334887,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,0.000000,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,19.317501,266.419125,142.588603,44.849351,56.024039,25.508671,20.037618,42.53,0.000000,0.000000,18.755906,0.000000,16.483555,663.841506,31.206488,0,0,0,0,0

5,01:00-01:15,88.927200,12.805517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,631.334887,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,0.000000,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,19.317501,266.419125,142.588603,41.657560,56.024039,25.508671,20.037618,39.63,0.000000,0.000000,18.755906,0.000000,15.697943,663.841506,31.206488,0,0,0,0,0

6,01:15-01:30,88.927200,12.805517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,631.334887,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,0.000000,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,19.317501,266.419125,142.588603,41.657560,56.024039,25.508671,20.037618,38.66,0.000000,0.000000,18.755906,0.000000,16.227805,663.841506,31.206488,0,0,0,0,0

7,01:30-01:45,88.927200,12.805517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,631.334887,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,0.000000,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,19.317501,266.419125,142.588603,41.657560,56.024039,25.508671,20.037618,37.70,0.000000,0.000000,18.755906,0.000000,16.992838,663.841506,13.002703,0,0,0,0,0

8,01:45-02:00,88.927200,12.805517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,555.461620,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,0.000000,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,13.394273,266.419125,142.588603,41.657560,56.024039,17.682594,20.037618,36.73,0.000000,0.000000,18.755906,0.000000,15.924637,663.841506,10.402163,0,0,0,0,0

9,02:00-02:15,88.927200,14.939770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,538.062820,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,0.000000,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,13.394273,266.419125,142.588603,41.657560,56.024039,17.682594,20.037618,34.80,0.000000,0.000000,17.619185,0.000000,14.507062,663.841506,10.402163,0,0,0,0,0

10,02:15-02:30,88.927200,14.939770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.974271,8.577608,47.785375,38.196166,538.062820,0.000000,49.064616,0.000000,0.000000,0.000000,0.000000,33.695676,119.535193,0.000000,100.043100,59.499063,25.460321,0.000000,0.832098,0.000000,12.877432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.354600,0.000000,13.394273,266.419125,142.588603,41.657560,56.024039,17.682594,20.037618,33.83,0.000000,0.000000,17.619185,0.000000,16.205711,663.841506,10.402163,0,0,0,0,0

