Column1,Time,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,GNA/NR/2025/03/01/3469,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/03/01/2563,GNA/SR/2025/03/01/7500,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/1906,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/9482,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/8036,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/6891,GNA/WR/2025/01/01/9606,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/03/01/4651
1,00:00-00:15,0,0,7,0,35.51,12.34,0,11.83,40,11.83,40,0,0,0,0,0,0,0,0,0,8.64,86.57,32,3.68,271.38,0,190.26,0,99.99,15.4,200,0,25.91,1.31,28.79,1.39,15.4,0,1.44,42,63.42,0,114.79,32,259.72,29.27,0

2,00:15-00:30,0,0,7,0,36,12.66,0,12,40.33,12,40.34,0,0,0,0,0,0,0,0,0,8.64,86.57,32,3.68,271.38,0,190.26,0,99.99,15.4,200,0,25.91,1.31,28.79,1.39,15.4,0,1.44,42,63.42,0,114.79,32,259.72,29.27,0

3,00:30-00:45,0,0,7,0,36.49,12.66,0,12.17,40.67,12.17,40.66,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.68,271.38,0,190.26,0,99.99,15.4,200,0,25.91,1.31,28.79,1.39,15.4,0,1.44,42,63.42,0,114.79,26.91,259.72,29.77,0

4,00:45-01:00,0,0,7,0,37.01,12.66,0,12.33,41,12.33,41,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.68,271.38,0,190.26,0,99.99,15.4,200,0,25.91,1.31,28.79,1.39,15.4,0,1.44,42,63.42,0,114.79,26.91,259.72,30.28,0

5,01:00-01:15,0,0,7,0,37.01,12.66,0,12.33,40.33,12.33,40.34,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.68,271.38,0,190.26,0,99.99,15.4,200,0,25.91,1.23,28.79,1.39,15.4,0,1.44,42,63.42,0,114.79,26.91,259.72,30.28,0

6,01:15-01:30,0,0,7,0,37.5,12.66,0,12.5,39.33,12.5,39.34,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.68,271.38,0,190.26,0,99.99,15.4,200,0,25.91,1.23,28.79,1.39,15.4,0,1.44,42,63.42,0,114.79,26.91,259.72,30.28,0

7,01:30-01:45,0,0,7,0,37.99,13,0,12.67,44.67,12.67,44.66,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.68,271.38,0,190.26,0,99.99,15.4,200,0,25.91,1.23,28.79,1.39,15.4,0,1.31,42,63.42,0,114.79,26.91,259.72,29.77,0

8,01:45-02:00,0,0,7,0,39,13,0,13,43.67,13,43.66,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.68,271.38,0,190.26,0,99.99,15.4,200,0,25.91,1.23,28.79,1.39,15.4,0,1.31,42,63.42,0,114.79,26.91,259.72,29.27,0

9,02:00-02:15,0,0,7,0,54.49,15.66,0,18.17,44,18.17,44,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.68,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,259.72,29.27,0

10,02:15-02:30,0,0,7,0,54.49,15.66,0,18.17,44,18.17,44,0,0,0,0,0,0,0,0,0,8.64,74.41,26.91,3.68,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,229.31,29.27,0

11,02:30-02:45,0,0,7,0,55.5,17,0,18.5,44,18.5,44,0,0,0,0,0,0,0,0,0,8.64,74.41,26.91,3.68,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,259.72,29.27,0

12,02:45-03:00,0,0,7,0,54.49,17,0,18.17,44,18.17,44,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.68,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,259.72,29.27,0

13,03:00-03:15,0,0,7,0,54.49,13,0,18.17,39,18.17,39,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.58,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,259.72,29.27,0

14,03:15-03:30,0,0,7,0,55.5,13.34,0,18.5,37.67,18.5,37.66,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.58,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,259.72,29.27,0

15,03:30-03:45,0,0,7,0,42,13,0,14,37,14,37,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.58,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,259.72,29.27,0

16,03:45-04:00,0,0,7,0,41.51,13,0,13.83,36.67,13.83,36.66,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.58,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,259.72,29.27,0

17,04:00-04:15,0,0,7,0,43.5,12.66,0,14.5,37,14.5,37,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.58,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,259.72,29.27,0

18,04:15-04:30,0,0,7,0,43.01,12.34,0,14.33,36.67,14.33,36.66,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.58,271.38,0,190.26,0,99.99,16.54,0,0,25.91,1.23,28.79,1.24,16.54,0,1.31,42,63.42,0,65.86,26.91,259.72,29.27,0

19,04:30-04:45,0,0,7,0,42.49,12,0,14.17,42.67,14.17,42.66,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.58,271.38,0,190.26,0,99.99,15.4,0,0,25.91,1.23,28.79,1.24,15.4,0,1.31,42,63.42,0,114.79,26.91,259.72,29.27,0

20,04:45-05:00,0,0,7,0,42,11.66,0,14,41.67,14,41.66,0,0,0,0,0,0,0,0,0,8.64,86.57,26.91,3.58,271.38,0,190.26,0,99.99,15.4,0,0,25.91,1.23,28.79,1.24,15.4,0,1.31,42,63.42,0,114.79,26.91,259.72,29.27,0

21,05:00-05:15,0,0,7,0,42.49,11.34,0,14.17,40,14.17,40,0,0,0,0,0,0,0,0,0,8.64,86.57,32,3.58,271.38,0,190.26,0,99.99,15.4,0,0,25.91,1.15,28.79,1.24,15.4,0,1.26,42,63.42,0,114.79,25.61,259.72,29.77,0

22,05:15-05:30,0,0,7,0,42,11,0,14,38,14,38,0,0,0,0,0,0,0,0,0,8.64,86.57,32,3.58,271.38,0,190.26,0,99.99,15.4,0,0,25.91,1.15,28.79,1.24,15.4,0,1.26,42,63.42,0,114.79,25.61,259.72,30.28,0

23,05:30-05:45,0,0,7,0,42,10.66,0,14,36.33,14,36.34,0,0,0,0,0,0,0,0,0,8.64,86.57,32,3.58,271.38,0,190.26,0,99.99,15.4,0,0,25.91,1.15,28.79,1.24,15.4,0,1.26,42,63.42,0,114.79,25.61,259.72,30.28,0

24,05:45-06:00,0,0,7,0,42,10.34,0,14,34.67,14,34.66,0,0,0,0,0,0,0,0,0,8.64,86.57,32,3.58,271.38,0,190.26,0,99.99,15.4,0,0,25.91,1.15,28.79,1.24,15.4,0,1.26,42,63.42,0,114.79,12.6,259.72,30.28,0

25,06:00-06:15,0,7.95,7,7.56,41.51,10.34,0,13.83,32.33,13.83,32.34,0,0,0,0,0,0,0,0,0,8.64,86.57,32,3.58,271.38,0,0,0,99.99,15.4,0,0,25.91,1.15,28.79,1.24,15.4,0,1.26,42,0,0,114.79,12.6,259.72,30.28,0

26,06:15-06:30,0,15.3,7,14.57,40.01,10,0,13.33,29.67,13.33,29.66,0,0,0,0,0,0,0,0,0,8.64,86.57,32,3.58,271.38,0,0,0,99.99,15.4,0,0,25.91,1.15,28.79,1.24,15.4,0,1.26,42,0,0,114.79,12.6,259.72,29.77,0

27,06:30-06:45,0.88,22.66,9,21.57,38.51,9.34,1,12.83,27.67,12.83,27.66,0,0,0.56,0,0,0,0,0,0,8.64,86.57,32,3.58,271.38,0,0,0,99.99,15.4,0,0,25.91,1.15,28.79,1.24,15.4,0,1.26,42,0,0,114.79,32,259.72,29.27,0

28,06:45-07:00,5.95,25.1,9,24.85,37.01,8.66,4,12.33,25.33,12.33,25.34,1,1,0.33,0,0,1.21,1,1,0.24,8.64,86.57,32,3.58,271.38,0,0,0,99.99,15.4,0,0,25.91,1.15,28.79,1.24,15.4,0,1.26,42,0,0,114.79,32,259.72,28.26,0

29,07:00-07:15,12,30.18,8.8,26.19,34.01,8,10,11.33,25.67,11.33,25.66,7,3,0.76,1,3,6.85,4,3,1.37,8.64,86.57,32,3.58,271.38,0.12,0,0,99.99,17.21,0,0.12,39.35,1.15,28.79,1.24,17.21,0.12,1.26,0,0,0,114.79,32,259.72,27.25,0

30,07:15-07:30,19.81,32.57,8.6,32.57,31.01,7.66,15,10.33,26,10.33,26,10,5,3.32,3,5,16.67,7,7,3.33,8.64,86.57,32,3.58,271.38,0.25,0,0,99.99,18.48,0,0.25,39.35,1.15,28.79,1.24,18.48,0.25,1.26,0,0,0,114.79,32,259.72,26.75,0

31,07:30-07:45,28.31,31,8.4,31,28.5,7,24,9.5,26.67,9.5,26.66,10,5,8.88,6,7,31.91,14,10,6.38,8.64,74.41,32,3.58,271.38,1.1,0,0,99.99,22.3,0,1.1,39.35,1.15,28.79,1.24,22.3,1.1,1.26,0,0,0,65.86,32,229.31,26.75,0

32,07:45-08:00,38.22,28.67,8.2,28.67,25.99,7,28.66,8.67,27.67,8.67,27.66,17,8,14.55,10,12,51.07,25,16,10.21,8.64,74.41,32,3.58,271.38,2.31,0,0,99.99,22.3,0,2.31,39.35,1.15,28.79,1.24,22.3,2.31,1.26,0,0,0,65.86,32,229.31,26.24,0

33,08:00-08:15,48.56,31.23,8,31.23,25.99,7,31.24,8.67,25.33,8.67,25.34,23,12,24.71,18,12,72.63,42,24,14.53,8.64,86.57,32,3.58,271.38,3.75,0,0,99.99,24.17,0,3.75,39.35,1.15,28.79,1.24,24.17,3.75,1.26,0,0,0,65.86,32,259.72,26.24,0

34,08:15-08:30,58.93,31.57,7.8,31.57,25.99,7,31.56,8.67,23.67,8.67,23.66,27,13,32.5,25,16,94.67,60,33,18.93,8.64,86.57,32,3.58,271.38,5.23,0,0,99.99,24.17,0,5.23,39.35,1.15,28.79,1.24,24.17,5.23,1.26,0,0,0,65.86,32,259.72,26.24,0

