Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,GNA/WR/2024/11/01/4200,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,GNA/WR/2024/10/15/7089,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/12/01/7739,GNA/SR/2024/12/01/6968,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,0,0,0,0,0,0,0,0,60,16.67,21.67,60,0,0,0,0,64.99,21.67,0,145.84,74.78,1.3,0,24.73,57.41,31.71,150,0,1.92,0,0,70.13,8.66,0,0,25.97,25.97,25.97,8.66,95.13,0,0.69,1.66,16.01

2,00:15-00:30,0,0,0,0,0,0,0,0,56.66,16.33,20.5,56.67,0,0,0,0,61.5,20.5,0,135.94,74.78,1.3,0,24.73,57.41,31.71,150,0,1.92,0,0,70.13,8.66,0,0,25.97,25.97,25.97,8.66,95.13,0,0.69,1.66,15.81

3,00:30-00:45,0,0,0,0,0,0,0,0,54,16,19.33,54,0,0,0,0,58.01,19.33,0,135.94,74.78,1.3,0,24.73,57.41,31.71,150,0,1.92,0,0,70.13,8.66,0,0,25.97,25.97,25.97,8.66,95.13,0,0.69,1.66,15.41

4,00:45-01:00,0,0,0,0,0,0,0,0,54,15.67,18.17,54,0,0,0,0,54.49,18.17,0,135.94,74.78,1.3,0,24.73,57.41,31.71,150,0,1.92,0,0,70.13,8.66,0,0,25.97,25.97,25.97,8.66,95.13,0,0.69,1.66,15.01

5,01:00-01:15,0,0,0,0,0,0,0,0,60,15,17.33,60,0,0,0,0,52.01,17.33,0,124.06,74.78,1.3,0,24.73,57.41,31.71,150,0,1.92,0,0,70.13,8.66,0,0,25.97,25.97,25.97,8.66,95.13,0,0.69,1.66,14.41

6,01:15-01:30,0,0,0,0,0,0,0,0,60,14.67,16.33,60,0,0,0,0,49.01,16.33,0,124.06,74.78,1.3,0,24.73,57.41,31.71,150,0,1.92,0,0,70.13,8.66,0,0,25.97,25.97,25.97,8.66,95.13,0,0.69,1.66,13.81

7,01:30-01:45,0,0,0,0,0,0,0,0,59.66,14.33,15.67,59.67,0,0,0,0,46.99,15.67,0,124.06,74.78,1.3,0,24.73,57.41,31.71,150,0,1.92,0,0,70.13,8.66,0,0,25.97,25.97,25.97,8.66,95.13,0,0.69,1.66,13.01

8,01:45-02:00,0,0,0,0,0,0,0,0,59.34,14,14.67,59.33,0,0,0,0,43.99,14.67,0,124.06,74.78,1.3,0,24.73,57.41,31.71,150,0,1.92,0,0,70.13,8.66,0,0,25.97,25.97,25.97,8.66,95.13,0,0.69,1.66,12.21

