Column1,Block,NR/2025/34298/C,NR/2025/32535/A/99742,NR/2025/32535/A/99741,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/99740,NR/2025/33637/A/99474,NR/2025/32534/A/99739,NR/2025/33633/A/99503,NR/2025/32532/A/99738,NR/2025/33632/A/99477,NR/2025/32532/A/99737,NR/2025/32599/A/99409,NR/2025/34285/C,NR/2025/34300/C,NR/2025/34289/C,NR/2025/34303/C,NR/2025/34290/C,NR/2025/34291/C,NR/2025/34078/A/99386,NR/30092023/31122025/SH-07,NR/2025/34311/C,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6209,NR/2025/34259/C,NR/2025/31043/A/99795,NR/2025/29992/A/99397,NR/2025/29440/A/99277,NR/2025/32556/A/99720,NR/2025/32004/A/99723,NR/2025/32455/A/99845,NR/2025/32397/A/99291,NR/2025/31421/A/99816,NR/2025/32559/A/99719,NR/2025/32375/A/99813,NR/2025/32610/A/99718,NR/2025/34260/C,NR/2025/34264/C,NR/2025/31045/A/99796,NR/2025/31048/A/99797,NR/2025/34256/C,NR/2025/32262/A/99313,NR/2025/31049/A/99798,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,Total
,,MES_Delhi,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,SECI_Trader,OIDLWM2_AEROCITY,GMRETL,OIDLWM2_AEROCITY,GMRETL,ABLWM1_AEROCITY,GMRETL,ABLWM1_AEROCITY,BRPL,APPCPL,NVVNL,APPCPL,NVVNL,APPCPL,APPCPL,DIAPL,BAWANA_GAS,NVVNL,MANIKARAN,NVVNL,NDMC,APPCPL,MANIKARAN,DELHI,MANIKARAN,PowerPulse,PowerPulse,BYPL,ITCLH,APPCPL,APPCPL,MANIKARAN,IEXL,NVVNL,APPCPL,NVVNL,APPCPL,PowerPulse,PTC,PowerPulse,PowerPulse,PowerPulse,TPTCL,PowerPulse,PowerPulse,PUNJAB,APPCPL,NDMC,MANIKARAN,NDMC,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,MP_State,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,GOA_State,MP_State,HIMACHAL_STATE,NA,NA,NA,KERALA_State,ANDHRA_PRADESH_STATE,NA,MSEB_State,NA,MSEB_State,NA,NA,MP_State,NA,NA,GoHP_NJPC_STATE,NA,NA,NA,MSEB_State,NA,MSEB_State,DELHI_UT,GOA_State,NA,MSEB_State,NA,
,,NTPCREL_PSS2_KPS2_S,TCSPL_BKN2,TESPL_BKN2,APSEPL_FTG,TCSPL_BKN2,JGCPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TESPL_BKN2,TS1PL_BKN,AEML,JPNIGRIE_JNSTPP,RKM_POWER,JP_BINA,JPL2,RKM_POWER,GBHHPL,BAWANA_GAS,Kameng,DBPL,JHABUA_IPP,SKS_Raigarh,GOA_Beneficiary,BLAPOWER_MP,CHANJUII,MBMP,MAHAN_ENERGEN,MAHAN_ENERGEN,KSEB,ITCWIND,JPL2,AEML,MBMP,A_A_Energy_MH_Bio,JPNIGRIE_JNSTPP,RKM_POWER,JP_BINA,RKM_POWER,APL_Raigarh_TPP,GoHP_NJPC,MAHAN_ENERGEN,APL_Raigarh_TPP,APL_Raipur_TPP,TPC_MSEB,APL_Raigarh_TPP,Vidarbha_Industry_MH,BAWANA_GAS,GOA_Beneficiary,TRN_ENERGY,AEML,JIPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,TPDDL,OIDLWM2_AEROCITY,BLKMH,OIDLWM2_AEROCITY,DTCP,ABLWM1_AEROCITY,MAX_HPTL,ABLWM1_AEROCITY,BRPL,BYPL,TPDDL,NDMC,TPDDL,NDMC,NDMC,DIAPL,HARYANA,TPDDL,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,BYPL,ITCLH,NDMC,BYPL,BRPL,MES_Delhi,TPDDL,NDMC,TPDDL,NDMC,TPDDL,BRPL,TPDDL,TPDDL,BRPL,BYPL,TPDDL,BRPL,PUNJAB,BRPL,NDMC,BRPL,NDMC,
,,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,East-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,19.31,0,62.74,44.4,0.87,24.13,106.18,48.26,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.3500000000001

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,18.29,19.31,0,62.74,44.4,0.87,24.13,106.18,48.26,8.69,48.26,24.13,48.26,24.13,0,67.57,0,62.74,135.14,54.3,0,67.57,0,15.3,8.69,20.83,17.38,1228.3500000000001

