Block,Time Block,CHAMERA2,CHAMERA1,BSIUL,CHAMERA3,DADRT2,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,TANDA2,UNCHAHAR4,URI2,TALST2,UNCHAHAR3,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,TALA,UNCHAHAR2,SINGRAULI,TEHRI,URI,UNCHAHAR1,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_RF,ANTA_LF,AURY_GF,AURY_LF,ANTA_GF,AURY_CRF,BRBCL,NAPP,KOTESHWR,KKNP,KKNPPU2,KUDGI,KOLDAM,NLCEXP,KISHANGANGA,MAPS,NJPC,NLCIIST2,NLCTS2EXP,NLCIIST1,RAPPB,RIHAND2,SASAN,RIHAND1,RAMPUR,SIMHST1,SIMHST2,NNTPP,RSTPSU1TO6,RAPPC,NTPL,RSTPSU7,PARBATI3,SALAL,SEWA2,RIHAND3,DHAULIGNGA,FSTPP I & II,DULHASTI,KHSTPP-I,JHAJJAR,KHSTPP-II,KGSU1AND2,KGSU3AND4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,354.02,0,0,0,0,0,0,4.27,0,18.85,0,6.03,0,0,30.42,104.2,0,1.28,15.42,0,0,0,0,0,0,0,0,0,14.43,42.02,8.54,0,0,0,0,0,0,0,0,0,0,0,0,114.24,402.86,88.5,0,0,0,0,0,51.64,0,0,0,1.35,0,58.92,0,12.29,15.85,31.61,350.59,102.4,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,354.02,0,0,0,0,0,0,18.11,0,18.85,0,6.03,0,0,30.42,104.2,0,1.28,15.42,0,0,0,0,0,0,0,0,0,14.43,42.02,8.54,0,0,0,0,0,0,0,0,0,0,0,0,114.24,402.86,88.5,0,0,0,0,0,51.64,0,0,0,1.35,0,59.01,0,11.53,15.85,31.61,346.32,102.1,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,354.02,0,0,0,0,0,0,18.11,0,13.96,0,6.03,0,0,22.42,104.2,0,1.28,12.91,0,0,0,0,0,0,0,0,0,14.43,42.02,8.54,0,0,0,0,0,0,0,0,0,0,0,0,114.24,402.86,88.5,0,0,0,0,0,51.64,0,0,0,1.35,0,59.01,0,9.63,15.85,31.61,346.32,102.1,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,354.02,0,0,0,0,0,0,18.11,0,13.96,0,6.03,0,0,22.42,104.2,0,1.28,11.55,0,0,0,0,0,0,0,0,0,14.43,42.02,8.54,0,0,0,0,0,0,0,0,0,0,0,0,114.24,402.86,88.5,0,0,0,0,0,51.64,0,0,0,1.35,0,59.01,0,9.63,15.85,31.61,346.32,102.1,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,354.02,0,0,0,0,0,0,18.11,0,13.96,0,0,0,0,22.42,93.73,0,1.28,11.55,0,0,0,0,0,0,0,0,0,14.43,42.02,8.54,0,0,0,0,0,0,0,0,0,0,0,0,114.24,402.86,88.5,0,0,0,0,0,51.64,0,0,0,1.35,0,59.01,0,9.63,15.85,24.55,346.32,78.47,0,0,0,0,0,0,0

