Block,Time,KOTESHWR,NLCEXP,NLCIIST2,SIMHST1,TALST2,UNCHAHAR1,UNCHAHAR3,URI,ANTA_RF,DADRI_CRF,BSIUL,KGSU1AND2,KHSTPP-II,KUDGI,NJPC,RIHAND2,TANDA2,UNCHAHAR2,DADRI_GF,CHAMERA1,DULHASTI,KHSTPP-I,KISHANGANGA,RAMPUR,RAPPB,RAPPD,TANAKPUR,TelanganaSTPP,VALLURNTECL,ANTA_CRF,NLCIIST1,PARBATI3,SEWA2,SINGRAULI_HYDRO,TEHRI,AURY_CRF,AURY_RF,DADRI_LF,BRBCL,NNTPP,RIHAND1,RSTPSU7,SASAN,ANTA_GF,ANTA_LF,AURY_GF,DADRT2,KKNPPU2,RAPPC,RIHAND3,TALA,CHAMERA2,CHAMERA3,DHAULIGNGA,FSTPP I & II,JHAJJAR,KOLDAM,NAPP,NLCTS2EXP,NTPL,PARBATI2,SIMHST2,SINGRAULI,UNCHAHAR4,KGSU3AND4,KKNP,MAPS,RSTPSU1TO6,SALAL,URI2,AURY_LF,DADRI_RF
1,00:00-00:15,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,6.52,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,6.27,0,0,0,0,21.48,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,9.59,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,74.37,38.1,0,98.4

2,00:15-00:30,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,6.52,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,6.27,0,0,0,0,21.48,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,9.59,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,74.37,38.1,0,98.4

3,00:30-00:45,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,6.52,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,6.27,0,0,0,0,19.64,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,9.59,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,74.37,38.1,0,98.4

4,00:45-01:00,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,6.52,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,6.27,0,0,0,0,19.64,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,9.59,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,74.37,38.1,0,98.4

5,01:00-01:15,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,6.52,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,19.64,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,9.59,25.64,0,0,18.78,0,143.68,2.3,0,0,0,0,74.37,38.1,0,98.4

6,01:15-01:30,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,6.52,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,19.64,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,9.59,25.64,0,0,18.78,0,137.23,2.3,0,0,0,0,74.37,38.1,0,98.4

7,01:30-01:45,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,6.52,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,19.64,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,132.39,2.3,0,0,0,0,74.37,38.1,0,98.4

8,01:45-02:00,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,19.64,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,132.39,2.3,0,0,0,0,74.37,38.1,0,98.4

9,02:00-02:15,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,132.39,2.3,0,0,0,0,74.37,38.1,0,98.4

10,02:15-02:30,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,345.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,132.39,2.3,0,0,0,0,74.37,38.1,0,98.4

11,02:30-02:45,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,362.25,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,132.39,2.3,0,0,0,0,74.37,38.1,0,98.4

12,02:45-03:00,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,373.5,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,132.39,2.3,0,0,0,0,74.37,38.1,0,98.4

13,03:00-03:15,10.43,0,0,0,0,21.94,27.68,36.43,52.23,0,13.04,0,148.3,0,82.99,124.58,5.7,44.5,0,42.15,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,379.12,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,132.39,2.3,0,0,0,0,74.37,38.1,0,98.4

14,03:15-03:30,10.43,0,0,0,0,21.94,27.68,36.43,52.23,0,13.04,0,148.3,0,82.99,124.58,5.7,44.5,0,28.1,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,384.75,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,132.39,2.3,0,0,0,0,74.37,38.1,0,98.4

15,03:30-03:45,10.43,0,0,0,0,21.94,27.68,36.43,52.23,0,13.04,0,148.3,0,82.99,124.58,5.7,44.5,0,28.1,59.5,45.53,8.63,3.29,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,390.38,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,137.23,2.3,0,0,0,0,63.92,38.1,0,98.4

16,03:45-04:00,10.43,0,0,0,0,21.94,27.68,36.43,52.23,0,13.04,0,148.3,0,110.67,124.58,5.7,44.5,0,28.1,59.5,45.53,8.63,4.4,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,396,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,143.68,2.3,0,0,0,0,63.92,38.1,0,98.4

17,04:00-04:15,10.43,0,0,0,0,21.94,27.68,36.43,52.23,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,28.1,59.5,45.53,8.63,5.5,0,21.66,6.27,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,401.62,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

18,04:15-04:30,10.43,0,0,0,0,21.94,27.68,36.43,52.23,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,14.05,59.5,45.53,8.63,5.5,0,21.66,6.27,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,409.5,0,0,0,548.92,0,69.07,130.79,7.35,48.81,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

19,04:30-04:45,10.43,0,0,0,0,21.94,27.68,36.43,52.23,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,14.05,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,409.5,0,0,0,548.92,0,69.07,130.79,7.35,32.53,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

20,04:45-05:00,10.43,0,0,0,0,21.94,27.68,36.43,52.23,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,14.05,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,409.5,0,0,0,548.92,0,69.07,130.79,7.35,32.53,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

21,05:00-05:15,10.43,0,0,0,0,21.94,27.68,36.43,52.23,0,13.04,0,148.3,0,138.33,124.58,5.7,45,0,14.05,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,409.5,0,0,0,548.92,0,69.07,130.79,7.35,32.53,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

22,05:15-05:30,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,14.05,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,409.5,0,0,0,548.92,0,69.07,130.79,7.35,32.53,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

23,05:30-05:45,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,14.05,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,0,1.08,32.02,0,78.08,0,15,0,97.23,0,409.5,0,0,0,548.92,0,69.07,130.79,7.35,32.53,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

24,05:45-06:00,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,14.05,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,0,1.08,21.34,0,78.08,0,15,0,97.23,0,409.5,0,0,0,548.92,0,69.07,130.79,7.35,32.53,23.33,10.95,14.3,538.67,7.19,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

25,06:00-06:15,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,14.05,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,6.3,1.08,21.34,0,78.08,0,15,0,97.23,0,393.75,0,0,0,548.92,0,69.07,130.79,4.41,32.53,23.33,10.95,14.3,538.67,4.79,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

26,06:15-06:30,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,0,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,12.61,1.08,21.34,0,78.08,0,15,0,97.23,0,393.75,0,0,0,548.92,0,69.07,130.79,4.41,32.53,23.33,10.95,14.3,538.67,4.79,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

27,06:30-06:45,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,138.33,124.58,5.7,44.5,0,0,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,12.61,1.08,21.34,0,78.08,0,15,0,97.23,0,393.75,0,0,0,548.92,0,69.07,130.79,4.41,32.53,23.33,10.95,14.3,538.67,4.79,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

28,06:45-07:00,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,138.33,124.58,5.7,45,0,0,59.5,45.53,8.63,5.5,0,21.66,1.03,0,0,0,0,16.88,12.61,1.08,21.34,0,78.08,0,15,0,97.23,0,393.75,0,0,0,548.92,0,69.07,130.79,4.41,32.53,23.33,10.95,14.3,670.67,4.79,25.64,0,0,18.78,0,150.34,2.3,0,0,0,0,63.92,38.1,0,98.4

29,07:00-07:15,10.43,0,0,0,0,21.94,27.68,36.43,51.83,0,13.04,0,148.3,0,138.33,124.58,5.7,45,0,0,59.5,45.53,8.63,5.5,0,21.66,1.03,0,0,0,0,16.88,17.62,1.08,21.34,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,4.41,32.53,23.33,10.95,14.3,670.67,4.79,25.64,0,0,16.53,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

30,07:15-07:30,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,138.33,124.58,5.7,45,0,0,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,18.9,1.08,21.34,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,4.41,32.53,23.33,10.95,14.3,670.67,4.36,25.64,0,0,16.53,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

31,07:30-07:45,10.43,0,0,0,0,21.94,27.68,36.43,51.17,0,13.04,0,148.3,0,138.33,124.58,5.7,45,0,0,59.5,45.53,8.63,5.5,0,21.66,0.51,0,0,0,0,16.88,18.9,1.08,21.34,0,78.08,0,15,0,97.23,0,393.75,0,0,0,688.92,0,69.07,130.79,4.41,32.53,23.33,10.95,14.3,670.67,1.93,25.64,0,0,16.53,0,150.34,3.2,0,0,0,0,63.92,38.1,0,98.4

