Column1,Block,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6452,NR/2025/32532/A/96151,NR/2025/32535/A/96155,NR/2025/32652/A/96211,NR/2025/32857/A/96197,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/96152,NR/2025/32535/A/96156,NR/2025/32653/A/96209,NR/2025/32599/A/95913,NR/2025/32534/A/96153,NR/2025/32534/A/96154,NR/2025/33403/C,NR/2025/33408/C,NR/2025/33411/C,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5126,NR/2025/32455/A/96317,NR/2025/31421/A/96299,NR/2025/32559/A/96236,NR/2025/32397/A/95774,GNA/NR/2025/08/01/1196,NR/2025/32702/A/95837,NR/2025/32375/A/96292,NR/2025/32610/A/96235,NR/2025/29440/A/95789,NR/2025/32556/A/96237,NR/2025/29992/A/95875,NR/2025/32004/A/96240,NR/2025/33375/C,NR/2025/33402/C,NR/2025/33376/C,NR/2025/33233/A/96319,NR/2025/33377/C,NR/2025/32554/A/96189,NR/2025/33358/C,NR/2025/32262/A/95800,NR/2025/33315/C,NR/2025/33379/C,NR/2025/32598/A/96324,NR/2025/33380/C,NR/2025/31041/A/96380,NR/2025/31046/A/96383,NR/2025/33381/C,NR/2025/31042/A/96381,NR/2025/31047/A/96382,Total
,,NDMC,MANIKARAN,PowerPulse,PUNJAB,BAWANA_GAS,MANIKARAN,DELHI,NDMC,NVVNL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,GMRETL,GMRETL,SECI_Trader,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,GMRETL,BRPL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,NVVNL,NVVNL,MES_Delhi,APPCPL,MANIKARAN,NDMC,MANIKARAN,MANIKARAN,NVVNL,APPCPL,IEXL,APPCPL,DIAPL,NVVNL,APPCPL,ITCLH,APPCPL,BYPL,APPCPL,PowerPulse,NVVNL,PowerPulse,PTC,APPCPL,PowerPulse,PowerPulse,TPTCL,BYPL,APPCPL,PTC,APPCPL,PowerPulse,PowerPulse,APPCPL,PowerPulse,PowerPulse,
,,NA,NA,MSEB_State,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOA_State,MSEB_State,NA,MP_State,NA,NA,NA,MSEB_State,GOA_State,HIMACHAL_STATE,MP_State,NA,ANDHRA_PRADESH_STATE,NA,KERALA_State,MSEB_State,NA,MP_State,NA,GoHP_NJPC_STATE,MSEB_State,NA,NA,MSEB_State,KERALA_State,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,
,,TRN_ENERGY,MBMP,Vidarbha_Industry_MH,BAWANA_GAS,BAWANA_GAS,DBPL,CHANJUII,SKS_Raigarh,JHABUA_IPP,TESPL_BKN2,TESPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TS1PL_BKN,TESPL_BKN2,TCSPL_BKN2,JPNIGRIE_JNSTPP,Kameng,NTPCREL_PSS2_KPS2_S,GOA_Beneficiary,AEML,JIPL,BLAPOWER_MP,MBMP,JPNIGRIE_JNSTPP,RKM_POWER,A_A_Energy_MH_Bio,GOA_Beneficiary,GBHHPL,JP_BINA,RKM_POWER,ITCWIND,JPL2,KSEB,AEML,MAHAN_ENERGEN,JP_BINA,APL_Raigarh_TPP,GoHP_NJPC,AEML,APL_Raipur_TPP,APL_Raipur_TPP,TPC_MSEB,KSEB,RKM_POWER,GoHP_NJPC,JPL2,MAHAN_ENERGEN,APL_Raigarh_TPP,RKM_POWER,MAHAN_ENERGEN,APL_Raigarh_TPP,
,,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BRPL,PUNJAB,HARYANA,BRPL,TPDDL,NDMC,BRPL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,BLKMH,MAX_HPTL,TPDDL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,DTCP,BRPL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,TPDDL,TPDDL,MES_Delhi,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,NDMC,MES_Delhi,BRPL,DIAPL,TPDDL,NDMC,ITCLH,NDMC,BYPL,BYPL,TPDDL,TPDDL,TPDDL,BRPL,BYPL,BRPL,BRPL,BYPL,BYPL,NDMC,BRPL,NDMC,TPDDL,TPDDL,NDMC,TPDDL,TPDDL,
,,West-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,14.6,48.18,96.35,32,26.64,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,48.18,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.87,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1543.9799999999998

2,00:15-00:30,14.6,48.18,96.35,32,26.64,48.18,18.72,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,15.27,20.79,16.83,24.09,48.18,48.18,26.27,8.67,19.27,12.53,48.18,26.27,0.87,26.27,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,96.35,96.35,0,0,0,1543.9799999999998

