Block,Time,NR/01032024/22032024/HP-56,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/05032024/05032024/DD20240305NR23133,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01012024/31032024/ ChanjuII,NR/01032024/31032024/NVVN/OA/16997,NR/01032024/15032024/HP-62,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01032024/22032024/HP-59,NR/30092023/26122029/SH-06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/01032024/31032024/SJVN010324NR1588,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,SR/01032024/15032024/BYPL-APPCPL-KSEB,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01032024/31032024/SJVN010324NR1589,WR/01102023/01102023/L_NR_2022_09,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023
1,00:00-00:15,76.530000,109.750000,35.100000,0.000000,30.810000,0.930000,52.950000,0.000000,1.200000,1.030000,0.000000,250.300000,0.000000,0.000000,3.760000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,15.31,96.27,144.405000,0,0,0,6.66,38.67,0,45.94,15.32,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,38.67,48.14

2,00:15-00:30,76.530000,109.750000,35.100000,0.000000,30.810000,0.930000,52.950000,0.000000,1.200000,1.030000,0.000000,231.050000,0.000000,0.000000,3.760000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,16.08,96.27,144.405000,0,0,0,6.66,40.33,0,48.25,16.09,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,40.33,48.14

3,00:30-00:45,76.530000,109.750000,35.100000,0.000000,25.980000,0.930000,52.950000,0.000000,1.200000,1.030000,0.000000,211.790000,0.000000,0.000000,4.510000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,16.81,96.27,144.405000,0,0,0,6.66,42.33,0,50.42,16.79,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,42.33,48.14

4,00:45-01:00,76.530000,109.750000,35.100000,0.000000,25.980000,0.930000,52.950000,0.000000,1.200000,1.030000,0.000000,192.540000,0.000000,0.000000,4.510000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,17.63,96.27,144.405000,0,0,0,10.77,49,0,52.88,17.62,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,49,48.14

5,01:00-01:15,76.530000,109.750000,35.100000,0.000000,25.980000,0.850000,52.950000,0.000000,1.200000,1.030000,0.000000,181.950000,0.000000,0.000000,4.510000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,18.12,96.27,144.405000,0,0,0,10.97,48,0,54.37,18.13,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,48,48.14

6,01:15-01:30,76.530000,109.750000,35.100000,0.000000,25.980000,0.850000,52.950000,0.000000,1.200000,1.030000,0.000000,181.950000,0.000000,0.000000,4.510000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,17.84,96.27,144.405000,0,0,0,11.08,47.33,0,53.53,17.84,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,47.33,48.14

7,01:30-01:45,76.530000,109.750000,35.100000,0.000000,25.980000,0.850000,52.950000,0.000000,1.200000,1.030000,0.000000,181.950000,0.000000,0.000000,4.510000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,18.07,96.27,144.405000,0,0,0,13.6,46.67,0,54.22,18.07,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,46.67,48.14

8,01:45-02:00,76.530000,109.750000,35.100000,0.000000,25.980000,0.850000,52.950000,0.000000,1.200000,1.030000,0.000000,181.950000,0.000000,0.000000,4.510000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,17.76,96.27,144.405000,0,0,0,13.86,46.33,0,53.29,17.77,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,46.33,48.14

9,02:00-02:15,76.530000,169.660000,35.100000,0.000000,25.980000,0.850000,52.950000,0.000000,1.200000,0.990000,0.000000,181.950000,0.000000,0.000000,4.410000,48.140000,98.210000,56.430000,25.030000,32.760000,25.980000,0,0,17.94,96.27,144.405000,0,0,0,14.19,46,0,53.83,17.96,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,46,48.14

10,02:15-02:30,76.530000,169.660000,35.100000,0.000000,25.980000,0.850000,52.950000,0.000000,1.200000,0.990000,0.000000,181.950000,0.000000,0.000000,4.410000,48.140000,98.210000,56.430000,25.030000,32.760000,25.980000,0,0,18.13,96.27,144.405000,0,0,0,14.53,45.33,0,54.4,18.13,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,45.33,48.14

11,02:30-02:45,76.530000,109.750000,35.100000,0.000000,25.980000,1.010000,52.950000,0.000000,1.200000,0.990000,0.000000,181.950000,0.000000,0.000000,4.410000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,18.33,96.27,144.405000,0,0,0,14.16,44.33,0,54.99,18.34,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,44.33,48.14

12,02:45-03:00,76.530000,109.750000,35.100000,0.000000,25.980000,1.010000,52.950000,0.000000,1.200000,0.990000,0.000000,181.950000,0.000000,0.000000,4.410000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,18.52,96.27,144.405000,0,0,0,13.66,43.67,0,55.56,18.53,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,43.67,48.14

13,03:00-03:15,76.530000,109.750000,35.100000,0.000000,25.980000,1.010000,52.950000,0.000000,1.160000,0.990000,0.000000,181.950000,0.000000,0.000000,4.410000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,21.67,96.27,144.405000,0,0,0,13.56,48.33,0,65.02,21.68,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,48.33,48.14

14,03:15-03:30,76.530000,109.750000,35.100000,0.000000,25.980000,1.010000,52.950000,0.000000,1.160000,0.990000,0.000000,181.950000,0.000000,0.000000,4.410000,48.140000,98.210000,32.730000,25.030000,32.760000,25.980000,0,0,21.83,96.27,144.405000,0,0,0,13.4,47.67,0,65.49,21.83,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,47.67,48.14

15,03:30-03:45,76.530000,109.750000,35.100000,0.000000,25.980000,1.010000,52.950000,0.000000,1.160000,0.990000,0.000000,181.950000,0.000000,0.000000,4.410000,48.140000,98.210000,32.730000,24.070000,32.760000,25.980000,0,0,21.98,96.27,144.405000,0,0,0,13.2,47,0,65.94,21.99,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,47,48.14

16,03:45-04:00,76.530000,109.750000,35.100000,0.000000,25.980000,1.010000,52.950000,0.000000,1.160000,0.990000,0.000000,181.950000,0.000000,0.000000,4.410000,48.140000,98.210000,32.730000,24.070000,32.760000,25.980000,0,0,22.14,96.27,144.405000,0,0,0,12.42,45.67,0,66.42,22.14,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,45.67,48.14

17,04:00-04:15,76.530000,109.750000,35.100000,0.000000,25.980000,0.970000,52.950000,0.000000,1.160000,0.990000,0.000000,181.950000,0.000000,0.000000,4.320000,48.140000,98.210000,32.730000,24.070000,32.760000,25.980000,0,0,22.07,96.27,144.405000,0,0,0,15.88,49.31,0,66.21,22.07,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,49.31,48.14

18,04:15-04:30,76.530000,109.750000,35.100000,0.000000,25.980000,0.970000,52.950000,0.000000,1.160000,0.990000,0.000000,181.950000,0.000000,0.000000,4.320000,48.140000,98.210000,32.730000,24.070000,32.760000,25.980000,0,0,22.01,96.27,144.405000,0,0,0,15.62,48.21,0,66.03,22,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,48.21,48.14

19,04:30-04:45,76.530000,109.750000,35.100000,0.000000,25.980000,0.970000,52.950000,0.000000,1.160000,0.990000,0.000000,192.540000,0.000000,0.000000,4.320000,48.140000,98.210000,32.730000,24.070000,32.760000,25.980000,0,0,27.77,96.27,144.405000,0,0,0,20.44,61.87,0,83.31,27.77,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,61.87,48.14

20,04:45-05:00,76.530000,129.000000,35.100000,0.000000,25.980000,0.970000,52.950000,0.000000,1.160000,0.990000,0.000000,211.790000,0.000000,0.000000,4.320000,48.140000,98.210000,32.730000,24.070000,32.760000,25.980000,0,0,27.71,96.27,144.405000,0,0,0,20.2,61.49,0,83.12,27.71,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,61.49,48.14

21,05:00-05:15,76.530000,185.500000,47.170000,0.000000,25.980000,0.970000,52.950000,0.000000,1.160000,0.950000,0.000000,231.050000,0.000000,0.000000,4.320000,48.140000,98.210000,51.670000,25.030000,32.760000,25.980000,0,0,31.79,96.27,144.405000,0,0,0,24.65,63.97,0,95.38,31.8,0,0,0,0,0,7.01,0,0,96.27,0,0,0,0,63.97,48.14

