Column1,Block,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/2024/22058/A/30943,NR/2024/22052/A/30942,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21971/A/31185,NR/2024/22402/C,NR/2024/21658/A/30917,NR/2024/21860/A/31245,NR/2024/22404/C,NR/2024/21983/A/30930,NR/2024/21966/A/30944,NR/2024/21974/A/31186,NR/2024/21968/A/31182,NR/2024/21970/A/31183,NR/2024/21940/A/31201,NR/2024/22401/C,NR/2024/22409/C,NR/2024/21961/A/31150,NR/2024/22418/C,NR/2024/21954/A/31200,NR/2024/22228/A/31195,NR/2024/21814/A/31187,NR/30092023/31122025/SH-07,NR/2024/22042/A/30911,NR/01082024/15082024/APL-Raigarh,NR/2024/21943/A/31199,NR/2024/22383/C,NR/2024/21918/A/31145,NR/2024/21909/A/31115,NR/2024/22010/A/31137,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21938/A/31152,NR/2024/22080/A/30775,NR/2024/22279/A/30956,NR/2024/22014/A/30912,NR/2024/21956/A/31203,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,Total
,,DELHI,JITPL,PUNJAB,SJVNL,SJVNL,DELHI,NVVNL,NVVNL,ITCLH,TPDDL,NVVNL,TPTCL,INSTINCT,NVVNL,NVVNL,NVVNL,APPCPL,NVVNL,SJVNL,PTC,IEXL,APPCPL,APPCPL,NVVNL,BAWANA_GAS,IEXL,AEL,APPCPL,TPDDL,MANIKARAN,AEL,MANIKARAN,DELHI,INSTINCT,TPTCL,PTC,DIAPL,IEXL,IEXL,APPCPL,APPCPL,
,,NA,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,UTTARAKHAND_STATE,NA,NA,HIMACHAL_STATE,MP_State,Manipur_State,TAMILNADU_State,NA,DELHI_UT,MSEB_State,NA,MSEB_State,NA,MSEB_State,NA,GOA_State,MSEB_State,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,KARNATAKA_STATE,HIMACHAL_STATE,KERALA_State,Arunachal_State,
,,SKS_Raigarh,JITPL,BAWANA_GAS,TPSL_BKN2,RSRPL_BKN,CHANJUII,RKM_POWER,Kameng,ITCWIND,JPL2,SORANG_HEP,SIMHAPURI,JPL2,RKM_POWER,JPL2,TRN_ENERGY,UTTARAKHAND,SOLAPUR_SOLAR,TPSL_BKN2,HP,Continuum_WFDPL_MP,Manipur_Ben,TANGEDCO,JPNIGRIE_JNSTPP,BAWANA_GAS,A_A_Energy_MH_Bio,APL_Raigarh_TPP,AEML,JHAJJAR,AEML,APL_Raigarh_TPP,GOA_Beneficiary,MSEB_Beneficiary,JPL2,SIMHAPURI,HP,GBHHPL,NSLSUGAR,NHCPL_HP,KSEB,Arunachal_Ben,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,PUNJAB,NDMC,NDMC,TPDDL,NDMC,TPDDL,ITCLH,TPDDL,TPDDL,BRPL,BRPL,NDMC,NDMC,NDMC,BYPL,MES_Delhi,NDMC,BRPL,BRPL,BRPL,BYPL,TPDDL,HARYANA,MES_Delhi,BRPL,BRPL,TPDDL,BYPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BYPL,DIAPL,MES_Delhi,MES_Delhi,BYPL,BRPL,
,,West-North,East-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,South-West-North,West-North,North-North,South-East-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,West-North,North East-East-North,South-West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,North-North,South-East-West-North,North-North,South-West-North,North East-East-North,
1,00:00-00:15,12.4,11.94,26.9,0,0,15.91,37.2,163.93,0.63,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1562.8700000000003

2,00:15-00:30,12.4,11.94,26.9,0,0,15.91,37.2,163.93,0.63,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1562.8700000000003

3,00:30-00:45,12.4,11.94,26.9071,0,0,15.91,37.2,163.93,0.63,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,38.52,1562.8842000000004

