Block,Time,NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,NR/01122023/07122023/HP-18,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/30042040/GNA_LT_35,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01122023/15122023/HP-15,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/31102037/L_NR_2019_11,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,L_NR_2019_19,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06,NR/01102023/06022042/L_NR_2012_02,WR/01102023/30052048/L_NR_2022_10,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,8.59,123.290000,0,0.000000,48.20,25.77,0,192.820000,71.730000,30.11,8.59,2.040000,25.670000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,25.670000,1.400000,0.000000,10.06,8.58,118.580000,30.11,0.000000,46.280000

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,8.56,123.290000,0,0.000000,48.20,25.68,0,192.820000,71.730000,29.74,8.49,2.040000,25.670000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,25.670000,1.400000,0.000000,10.26,8.55,118.580000,29.74,0.000000,46.280000

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,8.65,123.290000,0,0.000000,48.20,25.96,0,192.820000,71.730000,29.37,8.4,2.040000,25.670000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,25.670000,1.400000,0.000000,10.88,8.66,118.580000,29.37,0.000000,46.280000

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,8.71,123.290000,0,0.000000,48.20,26.14,0,149.130000,71.730000,28.54,8.3,2.040000,25.670000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,25.670000,1.400000,0.000000,11.16,8.72,118.580000,28.54,0.000000,46.280000

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,8.61,123.290000,0,0.000000,48.20,25.83,0,149.130000,71.730000,28.41,8.2,2.040000,25.670000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,25.670000,1.400000,0.000000,8.34,8.61,118.580000,28.41,0.000000,46.280000

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,8.56,123.290000,0,0.000000,48.20,25.69,0,149.130000,71.730000,28.14,7.81,2.040000,25.670000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,25.670000,1.400000,0.000000,8.36,8.57,118.580000,28.14,0.000000,46.280000

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,8.5,123.290000,0,0.000000,48.20,25.51,0,149.130000,71.730000,28.13,7.71,2.040000,25.670000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.400000,0.000000,8.4,8.51,118.580000,28.13,0.000000,46.280000

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,8.37,123.290000,0,0.000000,48.20,25.1,0,149.130000,71.730000,27.91,7.47,2.040000,25.670000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.400000,0.000000,8.58,8.36,118.580000,27.91,0.000000,46.280000

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,8.17,123.290000,0,0.000000,48.20,24.52,0,149.130000,71.730000,22.48,7.12,2.000000,26.020000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.400000,0.000000,8.78,8.17,118.580000,22.48,0.000000,46.280000

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,7.83,123.290000,0,0.000000,48.20,23.48,0,149.130000,71.730000,22.08,7,2.000000,26.020000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.400000,0.000000,8.99,7.82,118.580000,22.08,0.000000,46.280000

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,7.64,123.290000,0,0.000000,48.20,22.93,0,149.130000,71.730000,21.42,7,2.000000,26.020000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.400000,0.000000,9.23,7.64,118.580000,21.42,0.000000,46.280000

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,7.38,123.290000,0,0.000000,48.20,22.15,0,149.130000,71.730000,20.72,7,2.000000,26.020000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.400000,0.000000,9.44,7.39,118.580000,20.72,0.000000,46.280000

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,7.33,123.290000,0,0.000000,48.20,22,0,149.130000,71.730000,20.26,7,2.000000,26.020000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.320000,0.000000,10.72,7.34,118.580000,20.26,0.000000,46.280000

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,7.33,123.290000,0,0.000000,48.20,22,0,149.130000,71.730000,19.7,7,2.000000,26.020000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.320000,0.000000,10.63,7.34,118.580000,19.7,0.000000,46.280000

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,7.33,123.290000,0,0.000000,48.20,22,0,149.130000,71.730000,19.32,7,2.000000,26.020000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.320000,0.000000,10.56,7.34,118.580000,19.32,0.000000,46.280000

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,7.33,123.290000,0,0.000000,48.20,22,0,149.130000,71.730000,18.96,7,2.000000,26.020000,57.410000,0.000000,32.780000,24.100000,0,1.530000,96.410000,0,26.020000,1.320000,0.000000,10.5,7.34,118.580000,18.96,0.000000,46.280000

