Block,Time,RIHAND2,CHAMERA3,DHAULIGNGA,KISHANGANGA,NAPP,CHAMERA2,JHAJJAR,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,DADRT2,DULHASTI,KOLDAM,NJPC,RAPPC,TANDA2,RIHAND3,SINGRAULI,UNCHAHAR2,SEWA2,UNCHAHAR1,UNCHAHAR4,URI2,TEHRI,SINGRAULI_HYDRO,UNCHAHAR3,BSIUL,RAPPB,CHAMERA1,URI,TANAKPUR,SALAL,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,FSTPP I & II,KHSTPP-II,KHSTPP-I,TALA,BRBCL,SASAN
1,00:00-00:15,59.0625,0,9.1149,0,41.652,0,652.6525,8.874,0,0,92,679.193168,16.478852,0,0,52.4097,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,29.5944,0,0.66955,26.39091,19.5624,0,0,40.848,0.3843,40.089,0,69.504,0,0,0,42.735,0,0,0,87.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73185,147.515625,34.89908,0,20.0018,418.77

2,00:15-00:30,59.0625,0,9.1149,0,41.652,0,652.6525,8.874,0,0,92,679.193168,16.478852,0,0,52.4097,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,29.5944,0,0.66955,26.39091,19.5624,0,0,40.848,0.3843,79.37622,0,69.504,0,0,0,42.735,0,0,0,87.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73185,147.515625,34.89908,0,20.0018,418.77

3,00:30-00:45,59.0625,0,9.1149,0,41.652,0,652.6525,8.874,0,0,92,679.193168,16.478852,0,0,52.4097,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,29.5944,0,0.66955,26.39091,13.0416,0,0,34.224,0.3843,79.37622,0,69.504,0,0,0,42.735,0,0,0,87.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73185,147.515625,34.89908,0,20.0018,418.77

4,00:45-01:00,59.0625,0,9.1149,0,41.652,0,652.6525,8.874,0,0,92,679.193168,16.478852,0,0,52.4097,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,29.5944,0,0.66955,26.39091,13.0416,0,0,34.224,0.3843,79.37622,0,69.504,0,0,0,42.735,0,0,0,87.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73185,147.515625,34.89908,0,20.0018,418.77

5,01:00-01:15,59.0625,0,9.1149,0,41.652,0,652.6525,8.874,0,0,92,679.193168,16.478852,0,0,52.4097,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,29.5944,0,0.66955,26.39091,13.0416,0,0,34.224,0.3843,79.37622,0,69.504,0,0,0,42.735,0,0,0,87.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73185,147.515625,34.89908,0,20.0018,418.77

6,01:15-01:30,59.0625,0,9.1149,0,41.652,0,652.6525,8.874,0,0,92,679.193168,16.478852,0,0,52.4097,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,29.5944,0,0.66955,26.39091,13.0416,0,0,34.224,0.3843,79.37622,0,69.504,0,0,0,42.735,0,0,0,87.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73185,147.515625,34.89908,0,20.0018,418.77

7,01:30-01:45,59.0625,0,9.1149,0,41.652,0,652.6525,8.874,0,0,92,679.493168,16.478852,0,0,52.4097,0,123.665625,139.3125,42.392196,15.804048,10.91181,0,29.5944,0,0.66955,26.39091,13.0416,0,0,34.224,0.3843,79.37622,0,69.504,0,0,0,42.735,0,0,0,87.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73185,147.515625,34.89908,0,20.0018,418.77

