Block,Time,SH-06,L_NR_2012_04,L_NR_2019_11,L_NR_2012_07,SH-07,LT-59,LT-05,LT-35,LT_MEJA_Delhi,LT-31,L_NR_2020_02,L_NR_2019_19,L_NR_2012_01,LT-36,L_NR_2012_02,L_NR_2019_06,L_NR_2020_07,L_NR_2021_15,L_NR_2018_61,L_NR_2021_12,L_NR_2022_09,L_NR_2020_06,L_NR_2022_08,L_NR_2021_17,L_NR_2019_05,L_NR_2021_13,L_NR_2019_07,L_NR_2021_14,L_NR_2022_10,L_NR_2021_16,L_NR_2020_05
1,00:00-00:15,30.860000,271.270000,3.680000,76.120000,23.300000,3.570000,115.800000,0.000000,11.440000,0.000000,3.430000,0.000000,101.030000,0.000000,130.500000,0,7.49,0,6.9,0,16.74,7.5,4.4,0,0,0,0,0,16.74,0,22.49

2,00:15-00:30,30.860000,271.270000,3.680000,57.160000,23.300000,3.570000,115.800000,0.000000,11.440000,0.000000,3.430000,0.000000,101.030000,0.000000,130.500000,0,7.44,0,6.91,0,16.82,7.44,4.42,0,0,0,0,0,16.82,0,22.33

3,00:30-00:45,30.860000,271.270000,3.680000,57.160000,23.310000,3.570000,115.800000,0.000000,11.440000,0.000000,3.430000,0.000000,101.030000,0.000000,130.500000,0,7.54,0,6.92,0,16.99,7.54,4.42,0,0,0,0,0,16.99,0,22.61

4,00:45-01:00,30.860000,271.270000,3.680000,57.160000,23.310000,3.570000,115.800000,0.000000,11.440000,0.000000,3.430000,0.000000,101.030000,0.000000,130.500000,0,7.63,0,6.93,0,17.3,7.63,4.38,0,0,0,0,0,17.3,0,22.89

5,01:00-01:15,30.860000,271.270000,3.680000,41.520000,25.480000,3.570000,66.220000,0.000000,11.440000,0.000000,3.430000,0.000000,101.030000,0.000000,130.500000,0,7.67,0,6.89,0,17.45,7.66,4.39,0,0,0,0,0,17.45,0,22.99

6,01:15-01:30,30.860000,271.270000,3.680000,31.830000,25.480000,3.570000,66.220000,0.000000,11.440000,0.000000,3.430000,0.000000,101.030000,0.000000,130.500000,0,7.71,0,6.93,0,29.29,7.7,4.39,0,0,0,0,0,29.29,0,23.1

7,01:30-01:45,30.860000,271.270000,3.680000,31.830000,25.480000,3.570000,66.220000,0.000000,11.440000,0.000000,3.430000,0.000000,101.030000,0.000000,130.500000,0,7.76,0,6.9,0,29.59,7.78,8.26,0,0,0,0,0,29.59,0,23.33

8,01:45-02:00,30.860000,271.270000,3.680000,31.830000,25.480000,3.570000,66.220000,0.000000,11.440000,0.000000,3.430000,0.000000,101.030000,0.000000,130.500000,0,12.78,0,6.91,0,29.9,12.77,8.26,0,0,0,0,0,29.9,0,38.32

9,02:00-02:15,30.860000,271.270000,3.680000,31.830000,25.480000,3.490000,66.220000,0.000000,11.440000,0.000000,3.250000,0.000000,101.030000,0.000000,90.850000,0,12.61,0,6.92,0,30.53,12.61,8.23,0,0,0,0,0,30.53,0,37.82

10,02:15-02:30,30.860000,271.270000,3.680000,31.830000,25.480000,3.490000,66.220000,0.000000,11.440000,0.000000,3.250000,0.000000,101.030000,0.000000,90.850000,0,12.41,0,6.93,0,31.17,12.41,8.22,0,0,0,0,0,31.17,0,37.22

11,02:30-02:45,30.860000,271.270000,3.680000,31.830000,25.480000,3.490000,66.220000,0.000000,11.440000,0.000000,3.250000,0.000000,101.030000,0.000000,90.850000,0,12.33,0,6.89,0,31.89,12.33,8.33,0,0,0,0,0,31.89,0,36.99

12,02:45-03:00,30.860000,271.270000,3.680000,31.830000,25.480000,3.490000,66.220000,0.000000,11.440000,0.000000,3.250000,0.000000,101.030000,0.000000,90.850000,0,12.25,0,6.93,0,32.55,12.26,8.44,0,0,0,0,0,32.55,0,36.77

13,03:00-03:15,30.860000,271.270000,3.530000,41.520000,25.480000,3.490000,66.220000,0.000000,11.440000,0.000000,3.250000,0.000000,101.030000,0.000000,90.850000,0,12.1,0,6.9,0,33.24,12.11,8.55,0,0,0,0,0,33.24,0,36.33

14,03:15-03:30,30.860000,271.270000,3.530000,41.520000,25.480000,3.490000,66.220000,0.000000,11.440000,0.000000,3.250000,0.000000,101.030000,0.000000,90.850000,0,12.29,0,6.91,0,25.79,12.3,7.43,0,0,0,0,0,25.79,0,36.9

15,03:30-03:45,30.860000,271.270000,3.530000,41.520000,25.480000,3.490000,66.220000,0.000000,11.440000,0.000000,3.250000,0.000000,101.030000,0.000000,90.850000,0,12.44,0,6.92,0,26.38,12.43,7.55,0,0,0,0,0,26.38,0,37.3

16,03:45-04:00,30.860000,271.270000,3.530000,41.520000,25.480000,3.490000,66.220000,0.000000,11.440000,0.000000,3.250000,0.000000,101.030000,0.000000,90.850000,0,12.61,0,6.93,0,26.97,12.61,7.66,0,0,0,0,0,26.97,0,37.83

