Column1,Block,NR/2025/28485/C,NR/2025/28478/C,NR/2025/28479/C,NR/2025/28480/C,NR/2025/28488/C,NR/2025/28482/C,NR/2025/28556/C,NR/2025/27356/A/79227,NR/2025/27622/A/79061,NR/2025/27162/A/79542,NR/2025/27726/A/79536,NR/2025/26889/A/79527,NR/2025/26563/A/79491,NR/2025/28504/C,NR/2025/28518/C,NR/2025/27499/A/79526,NR/2025/27242/A/79207,NR/2025/27167/A/79300,NR/2025/26569/A/79493,NR/2025/27168/A/79302,NR/2025/27727/A/79534,NR/2025/27724/A/79189,NR/2025/26570/A/79494,NR/2025/28407/C,NR/2025/27725/A/79537,NR/2025/28139/A/79221,NR/2025/28511/C,NR/2025/26952/A/79022,NR/2025/28138/A/79219,NR/2025/26085/A/79078,NR/2025/28439/C,NR/2025/26785/A/79071,NR/2025/26975/A/79543,NR/2025/28398/C,NR/2025/28505/C,NR/2025/27782/A/79532,NR/2025/26564/A/79492,NR/2025/28358/C,NR/2025/26777/A/79180,NR/2025/28359/C,NR/2025/26860/A/79451,NR/2025/27088/A/79569,NR/2025/28141/A/79225,NR/2025/28438/C,NR/2025/28140/A/79223,NR/2025/28512/C,NR/2025/28440/C,NR/2025/27462/A/79066,NR/2025/26561/A/79490,NR/2025/27281/A/79604,NR/2025/27157/A/79191,GNA/NR/2025/06/01/7762,NR/2025/27728/A/79535,NR/2025/26445/A/79577,GNA/NR/2025/06/01/2868,NR/2025/26861/A/79506,NR/2025/28552/C,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/11/1078,GNA/NR/2025/06/11/4898,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/11/3444,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNARE/NR/2024/12/20/3668,Total
,,APPCPL,APPCPL,APPCPL,APPCPL,INSTINCT,APPCPL,IEXL,BRPL,IEXL,APPCPL,APPCPL,HPXL,PowerPulse,APPCPL,NVVNL,HPXL,GMRETL,PTC,PowerPulse,PTC,APPCPL,DIAPL,PowerPulse,PXIL,APPCPL,BRPL,NVVNL,PXIL,BRPL,ITCLH,PowerPulse,IEXL,APPCPL,BRPL,APPCPL,APPCPL,PowerPulse,MANIKARAN,INSTINCT,IEXL,BRPL,NVVNL,BRPL,PowerPulse,BRPL,NVVNL,PowerPulse,IEXL,PowerPulse,MANIKARAN,KEIPL,PTC,APPCPL,NVVNL,NDMC,PowerPulse,IEXL,PowerPulse,IEXL,PXIL,DELHI,INSTINCT,BAWANA_GAS,PXIL,PUNJAB,APPCPL,APPCPL,SIMHAPURI,NVVNL,PTC,MANIKARAN,KEIPL,SECI_Trader,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,CSEB_State,NA,MSEB_State,NA,Manipur_State,NA,JK_and_LADAKH_UT,HIMACHAL_STATE,GoHP_Chamera1_STATE,NA,GoHP_Rampur_STATE,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,Manipur_State,NA,CSEB_State,NA,NA,CSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,CSEB_State,CSEB_State,ODISHA_STATE,NA,NA,NA,NA,NA,NA,UTTARAKHAND_STATE,NA,HIMACHAL_STATE,NA,DELHI_UT,KARNATAKA_STATE,DELHI_UT,NA,CSEB_State,NA,NA,TELANGANA_State,MP_State,CSEB_State,NA,
,,RKM_POWER,SKS_Raigarh,RKM_POWER,JPL2,JPL2,TRN_ENERGY,LKPLPHASE2,TS1PL_BKN,TPSL_BKN2,CSEB_Beneficiary,RKM_POWER,GRETAENERGY,MAHAN_ENERGEN,Manipur_Ben,ILFS,O2Z,GBHHPL,GoHP_Chamera1,APL_Raigarh_TPP,GoHP_Rampur,JPL2,GBHHPL,APL_Raigarh_TPP,MBMP,SKS_Raigarh,RIHAND2,SORANG_HEP,MBMP,RIHAND3,ITCWIND,APL_Raigarh_TPP,MBMP,Manipur_Ben,JPL2,CSEB_Beneficiary,TRN_ENERGY,MAHAN_ENERGEN,CSEB_Beneficiary,JPL2,MBMP,JPL2,ILFS,DADRT2,MAHAN_ENERGEN,RIHAND1,Kameng,APL_Raipur_TPP,JSWEL_MSEB,APL_Raipur_TPP,CSEB_Beneficiary,CSEB_Beneficiary,NBVL_OTCL,RKM_POWER,JPNIGRIE_JNSTPP,JIPL,COASTGEN,ADHPL,COASTGEN,SEPLPHASE2,BALCO,CHANJUII,SIMHAPURI,BAWANA_GAS,KPTCL,BAWANA_GAS,DBPL,CSPDCL,SIMHAPURI,JHABUA_IPP,NAVABHARAT,BLAPOWER_MP,CSPDCL,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,NDMC,BRPL,NDMC,TPDDL,BRPL,MES_Delhi,BYPL,NDMC,BYPL,TPDDL,BYPL,BRPL,BYPL,BRPL,BRPL,TPDDL,BRPL,NDMC,DIAPL,TPDDL,BRPL,NDMC,BRPL,TPDDL,BRPL,BRPL,ITCLH,TPDDL,NDMC,BYPL,BRPL,BYPL,NDMC,TPDDL,BYPL,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,MES_Delhi,TPDDL,BYPL,BYPL,BRPL,NDMC,TPDDL,NDMC,BRPL,BYPL,BRPL,BRPL,BRPL,TPDDL,BRPL,HARYANA,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,
,,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,North-North,West-North,West-North,West-North,West-North,North East-East-North,South-West-North,North-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,South-West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,East-West-North,West-North,West-North,East-North,South-West-North,North-North,South-West-North,North-North,West-North,North-North,South-West-North,North-North,South-East-North,North-North,West-North,West-North,South-East-North,West-North,South-West-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,48.32,0,0,55.99,26.35,5.8,144.94,0,0,8.7,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.68,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,96.63,29.16,193.26,0,0,170.07,38.65,14.15,48.32,29.5,96.63,32,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2940.1500000000005

2,00:15-00:30,0,0,0,0,0,0,48.32,0,0,55.99,26.35,5.8,144.94,0,0,8.7,48.32,24.16,144.94,24.16,26.35,10.63,0,0,8.78,28.99,67.64,0,38.65,0.68,0,0,27.06,0,0,8.78,0,0,193.26,0,106.29,192.64,135.28,0,33.82,102.36,0,9.66,144.94,24.88,217.32,24.16,26.35,96.63,29.16,193.26,0,0,170.07,38.65,14.15,48.32,29.5,96.63,32,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2940.1500000000005

