Block,Time Block,TALA,SASAN,TANDA2,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,TALST2,SEWA2,SINGRAULI,SALAL,TANAKPUR,RIHAND3,DADRI_CRF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_RF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_LF,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,CHAMERA1,JHAJJAR,BSIUL,CHAMERA3,BRBCL,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KGSU1AND2,KHSTPP-I,KGSU3AND4,KUDGI,MAPS,KHSTPP-II,KOTESHWR,KKNP,KKNPPU2,KISHANGANGA,KOLDAM,PARBATI3,RAPPB,RIHAND2,NLCEXP,NLCIIST1,RIHAND1,NLCIIST2,NJPC,RAMPUR,NLCTS2EXP,RAPPC,NNTPP,NAPP,NTPL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,9.34,379.14,0,0,0,0,0,0,0,11.15,112.51,80.57,9.13,122.87,0,0,0,0,0,0,0,0,0,0,0,0,26.33,22.36,0,35.328,35.08,65.21,17.38,0,0,40.59,354.74,12.56,30.89,14.44,42.58,38.9,11.27,34.89,586.81,0,20.45,0,0,0,142.8,37.21,0,0,2.77,5.15,29.77,0,117.19,0,0,79.26,0,0,0,0,58.14,0,43.66,0,0,0,0,0,0

2,00:15-00:30,9.63,379.14,0,0,0,0,0,0,0,11.15,112.51,80.57,9.13,122.87,0,0,0,0,0,0,0,0,0,0,0,0,34.71,22.36,0,35.328,35.08,65.21,17.38,0,0,40.59,361.07,12.56,30.89,14.44,42.58,38.9,11.27,34.89,583.99,0,20.45,0,0,0,142.8,37.21,0,0,2.77,5.15,29.77,0,117.19,0,0,79.26,0,0,0,0,58.14,0,43.66,0,0,0,0,0,0

3,00:30-00:45,9.6,379.14,0,0,0,0,0,0,0,11.15,112.51,80.57,9.13,122.87,0,0,0,0,0,0,0,0,0,0,0,0,34.71,22.36,0,35.328,35.08,65.21,17.38,0,0,40.59,361.07,12.56,30.89,14.44,42.58,38.9,11.27,34.89,586.35,0,20.45,0,0,0,142.8,37.21,0,0,2.77,5.15,20.3,0,117.19,0,0,79.26,0,0,0,0,58.14,0,43.66,0,0,0,0,0,0

4,00:45-01:00,9.48,379.14,0,0,0,0,0,0,0,11.15,112.51,80.57,9.13,122.87,0,0,0,0,0,0,0,0,0,0,0,0,34.71,22.81,0,35.328,35.08,65.21,17.66,0,0,40.59,273.74,12.56,30.89,14.44,42.58,38.9,11.27,34.89,582.31,0,20.45,0,0,0,142.8,37.21,0,0,2.77,5.15,20.3,0,117.19,0,0,79.26,0,0,0,0,58.14,0,43.66,0,0,0,0,0,0

5,01:00-01:15,9.34,379.14,0,0,0,0,0,0,0,11.15,112.51,80.57,0.49,122.87,0,0,0,0,0,0,0,0,0,0,0,0,25.61,22.81,0,36.229,35.08,65.21,17.66,0,0,40.59,181.76,12.56,30.89,14.44,42.58,38.9,11.27,34.89,582.31,0,20.45,0,0,0,142.8,37.21,0,0,2.77,5.15,20.3,0,117.19,0,0,79.26,0,0,0,0,58.14,0,43.66,0,0,0,0,0,0

6,01:15-01:30,9.34,379.14,0,0,0,0,0,0,0,11.15,112.51,80.57,0.49,122.87,0,0,0,0,0,0,0,0,0,0,0,0,24.19,22.81,0,36.229,35.08,65.21,17.66,0,0,27.06,110.83,12.56,30.89,14.44,42.58,38.9,11.27,34.89,582.31,0,20.45,0,0,0,142.8,37.21,0,0,2.77,5.15,20.3,0,117.19,0,0,79.26,0,0,0,0,58.14,0,43.66,0,0,0,0,0,0

