Column1,Block,NR/2025/25752/A/63724,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,NR/30092023/31122025/SH-07,GNA/SR/2025/04/01/2597,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/7960,WR/2025/27369/A/64352,WR/2025/27361/A/64194,WR/2025/27350/A/63856,NR/2025/25790/A/64186,NR/2025/25792/A/64184,NR/2025/25795/A/64182,NR/2025/25794/A/64183,NR/2025/25924/A/63862,NR/2025/25977/C,NR/30092023/26122029/SH-06,GNARE/NR/2024/12/20/3668,NR/2025/25791/A/64185,GNA/NR/2025/04/01/9334,GNA/WR/2025/04/01/4420,Total
,,IEXL,IEXL,IEXL,HPXL,BAWANA_GAS,APPCPL,DELHI,IEXL,PXIL,IEXL,IEXL,NDMC,MANIKARAN,APPCPL,KEIPL,APPCPL,APPCPL,APPCPL,APPCPL,DIAPL,TPDDL,PUNJAB,SECI_Trader,APPCPL,IEXL,IVPL_Trader,
,,NA,SIKKIM_STATE,SIKKIM_STATE,CSEB_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,UTTARPRADESH_STATE,HIMACHAL_STATE,SIKKIM_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,SIKKIM_STATE,DELHI_UT,
,,TPSL_BKN2,RCHEP,MEYONGCHU_HEP,MSPLTD,BAWANA_GAS,BYPL,CHANJUII,KGEPL_HP,LAPL_UP,RHPPL_HP,LLHEP1234,JPL2,BYPL,BYPL,BYPL,SKS_Raigarh,RKM_POWER,TRN_ENERGY,RKM_POWER,GBHHPL,JHAJJAR,BAWANA_GAS,APSEPL_FTG,JIPL,Kalez_Khola_HEP,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,
,,MES_Delhi,BRPL,BRPL,BRPL,HARYANA,KSEB,TPDDL,BRPL,BRPL,BRPL,BRPL,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,NDMC,NDMC,NDMC,DIAPL,TPDDL,PUNJAB,TPDDL,NDMC,BRPL,TPC_MSEB,
,,North-North,East-North,East-North,West-North,North-North,North-West-South,North-North,North-North,North-North,North-North,East-North,West-North,North-West,North-West,North-West,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,East-North,East-North,North-West,
1,00:00-00:15,0,2.89,2.89,9.62,26.93,52.5,7.27,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,204.01,26.93,0,21.87,2.89,0,795.54

2,00:15-00:30,0,2.89,2.89,9.62,26.93,52.5,7.27,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,204.01,26.93,0,21.87,2.89,0,795.54

3,00:30-00:45,0,2.89,2.89,9.62,26.93,52.5,7.27,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,204.01,26.93,0,21.87,2.89,0,795.54

4,00:45-01:00,0,2.89,2.89,9.62,26.93,52.5,7.27,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,204.01,26.93,0,21.87,2.89,0,795.54

5,01:00-01:15,0,2.89,2.89,9.62,26.93,52.5,7.27,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,204.01,26.93,0,21.87,2.89,0,795.54

6,01:15-01:30,0,2.89,2.89,9.62,26.93,52.5,7.27,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,204.01,26.93,0,21.87,2.89,0,795.54

7,01:30-01:45,0,2.89,2.89,9.62,26.93,52.5,7.27,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,204.01,26.93,0,21.87,2.89,0,795.54

8,01:45-02:00,0,2.89,2.89,9.62,26.93,52.5,7.27,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,204.01,26.93,0,21.87,2.89,0,795.54

9,02:00-02:15,0,2.89,2.89,9.62,26.93,0,7.19,9.62,48.12,1.92,9.62,36.57,48.12,48.12,144.34,10.93,32.8,10.93,32.8,3.85,184.76,26.93,0,21.87,2.89,0,723.71

