Column1,Block,WR/2025/26426/A/56621,NR/2025/25540/C,WR/2025/26427/A/56624,WR/2025/26582/A/56859,NR/2025/25159/A/56553,NR/2025/25541/C,WR/2025/26499/A/56861,NR/2025/25513/A/56822,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/8036,GNARE/NR/2024/12/20/3668,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/6891,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/5143,Total
,,KEIPL,SJVNL,KEIPL,APPCPL,ITCLH,SJVNL,APPCPL,IEXL,APPCPL,APPCPL,NDMC,SECI_Trader,BAWANA_GAS,TPTCL,NDMC,NDMC,NDMC,NDMC,PTC,DELHI,NDMC,PUNJAB,APPCPL,PTC,
,,DELHI_UT,NA,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,
,,BYPL,TPSL_BKN2,BRPL,BRPL,ITCWIND,RSRPL_BKN,BRPL,TPDDL,BRPL,BYPL,RKM_POWER,APSEPL_FTG,BAWANA_GAS,BYPL,JPL2,RKM_POWER,SKS_Raigarh,JIPL,BYPL,CHANJUII,TRN_ENERGY,BAWANA_GAS,BYPL,BRPL,
,,CSEB_State,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,MSEB_State,JK_and_LADAKH_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,HARYANA_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,KERALA_State,HIMACHAL_STATE,
,,CSEB_Beneficiary,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,ITCLH,NDMC,AEML,JK_LADAKH,AEML,AEML,NDMC,TPDDL,HARYANA,TPC_MSEB,NDMC,NDMC,NDMC,NDMC,HP,TPDDL,NDMC,PUNJAB,KSEB,HP,
,,North-West,North-North,North-West,North-West,South-West-North,North-North,North-West,North-North,North-West,North-West,West-North,North-North,North-North,North-West,West-North,West-North,West-North,East-North,North-North,North-North,West-North,North-North,North-West-South,North-North,
1,00:00-00:15,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,55.49,5.42,6.71,25.87,200,166.48,889.8399999999999

2,00:15-00:30,167.43,0,47.96,47.96,0.43,0,0,0,42,0,23.02,0,32,0,23.02,23.02,5.76,17.27,55.49,5.42,6.71,25.87,200,166.48,889.8399999999999

