Block,Time Block,SINGRAULI_HYDRO,TALA,SINGRAULI,DADRT2,KHSTPP-II,KISHANGANGA,JHAJJAR,KHSTPP-I,KKNP,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU1AND2,KGSU3AND4,RAPPD,SASAN,SIMHST2,SIMHST1,RSTPSU1TO6,RAPPC,RSTPSU7,SALAL,SEWA2,RIHAND3,RIHAND1,RAPPB,RIHAND2,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,RAMPUR,NLCEXP,KUDGI,NAPP,MAPS,CHAMERA3,BSIUL,CHAMERA2,BRBCL,CHAMERA1,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,KOTESHWR,KOLDAM,KKNPPU2,TEHRIPSP,TEHRI,TelanganaSTPP,TANDA2,ANTA_CRF,URI2,UNCHAHAR3,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TALST2,TANAKPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.92,17.39,143.31,459.56,95.05,6.78,400.6,43.23,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,12.54,45.3,15.53,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,77.97,57.22,0,2.93,0,37.47,25.96,41.93,50.34,20.41,1.7,0,0,10.72,0,0,0,0,0

2,00:15-00:30,0.92,17.39,143.31,411.49,95.05,6.78,328.91,43.23,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,12.54,45.3,11.25,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,37.47,25.96,41.93,50.34,20.41,1.7,0,0,10.72,0,0,0,0,0

3,00:30-00:45,0.92,17.39,143.31,369.29,95.05,6.78,328.91,43.77,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,12.54,45.3,11.61,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,37.47,25.96,41.93,50.34,20.41,1.7,0,0,10.72,0,0,0,0,0

4,00:45-01:00,0.92,17.39,143.31,367.91,95.05,6.78,328.91,43.77,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,12.54,45.3,10.24,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,37.47,25.96,41.93,36.08,20.41,1.7,0,0,10.72,0,0,0,0,0

5,01:00-01:15,0.92,17.47,143.31,367.13,95.05,6.78,328.91,43.77,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,12.54,45.3,9.83,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,26.98,25.96,41.93,36.08,20.41,1.7,0,0,10.72,0,0,0,0,0

6,01:15-01:30,0.92,17.47,143.31,362.17,95.05,6.78,328.91,43.77,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,12.54,45.3,9.57,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,26.98,25.96,41.93,36.08,20.41,1.7,0,0,10.72,0,0,0,0,0

7,01:30-01:45,0.92,17.47,143.31,287.64,95.05,6.78,277.96,43.9,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,6.27,45.3,10.17,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,26.98,25.96,41.93,36.08,20.41,1.7,0,0,10.72,0,0,0,0,0

8,01:45-02:00,0.92,17.61,143.31,182.81,95.05,6.78,277.96,43.9,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,6.27,45.3,11.41,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,26.98,25.96,41.93,36.08,20.41,1.7,0,0,10.72,0,0,0,0,0

9,02:00-02:15,0.92,17.61,143.31,144.35,95.05,6.78,272.19,43.9,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,6.27,45.3,10.21,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,26.98,22.04,34.97,36.08,15.37,1.7,0,0,10.72,0,0,0,0,0

10,02:15-02:30,0.92,17.61,143.31,129.93,95.05,6.78,272.19,43.9,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,31.45,0,5.48,0,0,23.67,0,32.63,6.27,45.3,11.63,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,26.98,20,32.47,36.08,15.37,1.7,0,0,10.72,0,0,0,0,0

11,02:30-02:45,0.92,17.61,143.31,120.32,95.05,6.78,272.19,43.9,0,40.82,20,53.24,0,0,0,324.47,0,0,0,62.89,0,69.27,11.75,125.79,45.21,0,120.43,0,169,0,0,0,0,32.87,0,5.48,0,0,23.67,0,32.63,6.27,45.3,13.05,40.52,0,0,0,0,0,0,0,0,0,0,0,39,8.29,0,0,57.22,0,2.93,0,37.47,20,32.47,36.08,15.37,1.7,0,0,10.72,0,0,0,0,0

