Time,Block,NR/2023/10236/A,NR/2023/11941/F,NR/2023/10229/A,NR/2023/12393/C,NR/2023/11963/F,NR/2023/11862/F,NR/2023/10434/A,NR/2023/10613/A,NR/2023/11952/F,NR/2023/12392/C,NR/2023/12395/C,NR/2023/11962/F,NR/2023/12400/C,NR/2023/12391/C,NR/2023/11476/A,NR/2023/11958/F,NR/2023/11643/A,NR/2023/11957/F,NR/2023/11960/F,NR/2023/11959/F,NR/2023/12373/D,NR/2023/12426/C,NR/2023/10344/A,NR/2023/12429/C,NR/2023/10611/A,NR/2023/10944/A,NR/2023/11961/F,NR/2023/12385/C,NR/2023/11642/A,NR/2023/11330/A,NR/2023/11947/F,NR/2023/11956/F,NR/2023/11342/A,NR/2023/10487/A,NR/2023/11955/F,NR/2023/12375/D,NR/2023/12378/D,NR/2023/12377/D,Total
,,NVVNL,NVVNL,NVVNL,TPDDL,SHPPBPL,APPCPL,NVVNL,APPCPL,KEIPL,PXIL,HPXL,SHPPBPL,HPXL,PXIL,IEXL,SHPPBPL,MANIKARAN,SHPPBPL,SHPPBPL,SHPPBPL,NVVNL,IEXL,BYPL,IEXL,APPCPL,APPCPL,SHPPBPL,GBHHPL,MANIKARAN,APPCPL,HPXL,SHPPBPL,IEXL,TPTCL,SHPPBPL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,NA,NAGALAND,MEGHALAYA,DELHI,NA,HIMACHAL PRADESH,NA,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TAMIL NADU,MEGHALAYA,NA,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,TELANGANA,NA,HIMACHAL PRADESH,NA,NA,NA,
,,ILFS,SKS Raigarh,JPNIGRIE_JNSTPP,CHANJUII,SHPPBPL,Manipur_Ben,SEIL,Nagaland_Ben,Meghalaya_Ben,BYPL,Teesta_III,SHPPBPL,SINGOLI,BYPL,JSPL_DCPP,SHPPBPL,HP,SHPPBPL,SHPPBPL,SHPPBPL,KAMENG,OPGPGPLU2TN,Meghalaya_Ben,SIMHAPURI,Arunachal_Ben,HP,SHPPBPL,GBHHPL,HP,HP,B_S_ISPAT_MH,SHPPBPL,NAVABHARAT,APNRL,SHPPBPL,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,NDMC,BRPL,TPDDL,UHL,STT,TPDDL,BYPL,BYPL,ASIL_UP,BRPL,MHIL,BRPL,AMBASTL,BRPL,AISHER,BRPL,BAL234,MAX-HPTL,BMDRC,TPDDL,BRPL,BYPL,BRPL,BYPL,BYPL,JHPL-DL,DIAPL,BRPL,BRPL,NDMC,BAL224,BRPL,TPDDL,BAL184,MES (Delhi),BYPL,BRPL,
,,South-West-North,West-North,West-North,North-North,North-North,North East-East-North,South-West-North,North East-East-North,North East-East-North,North-North,East-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,South-West-North,North East-East-North,South-West-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,South-West-North,East-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,213.720000,62.630000,42.740000,11.590000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,15.420000,0.460000,28.900000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,891.3

2,00:15-00:30,213.720000,62.630000,42.740000,11.590000,0.460000,2.890000,24.090000,12.620000,36.350000,0.000000,108.880000,0.460000,28.900000,0.000000,48.180000,0.640000,13.010000,0.780000,0.710000,0.710000,66.870000,0.000000,12.210000,0.000000,9.920000,23.120000,0.770000,29.550000,14.450000,53.960000,6.740000,0.400000,115.620000,41.430000,0.360000,0,0,0,984.76
