Time,Block,NR/2024/18691/A/7192,NR/2024/18388/A/6904,NER/2024/2023/A/7154,NR/2024/18739/C,WR/2024/21710/A/7198,WR/2024/21675/A/7158,SR/2024/12108/C,WR/2024/21740/A/7196,Total
,,MANIKARAN,ITCLH,APPCPL,NVVNL,MANIKARAN,APPCPL,HPXL,MANIKARAN,Total

,,DELHI,ANDHRA PRADESH,DELHI,NA,DELHI,DELHI,DELHI,DELHI,
,,BRPL,ITCWIND,BRPL,SOLAPUR_SOLAR,BRPL,BRPL,BYPL,BYPL,
,,HIMACHAL PRADESH,DELHI,MANIPUR,DELHI,GOA,GOA,TAMIL NADU,MAHARASHTRA,
,,HP,ITCLH,Manipur_Ben,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,TANGEDCO,AEML,
,,North-North,South-West-North,North-East-North East,West-North,North-West,North-West,North-East-South,North-West,
1,00:00-00:15,0.000000,0.390000,25.000000,0,0.000000,0.000000,150.00,50.000000,225.39

2,00:15-00:30,0.000000,0.390000,25.000000,0,0.000000,0.000000,150.00,50.000000,225.39

3,00:30-00:45,0.000000,0.390000,25.000000,0,0.000000,0.000000,150.00,50.000000,225.39

4,00:45-01:00,0.000000,0.390000,25.000000,0,0.000000,0.000000,150.00,50.000000,225.39

5,01:00-01:15,0.000000,0.390000,25.000000,0,0.000000,0.000000,150.00,50.000000,225.39

6,01:15-01:30,0.000000,0.390000,25.000000,0,0.000000,0.000000,75.00,50.000000,150.39

7,01:30-01:45,0.000000,0.390000,25.000000,0,0.000000,0.000000,61.00,50.000000,136.39

8,01:45-02:00,0.000000,0.390000,25.000000,0,0.000000,0.000000,61.00,50.000000,136.39

9,02:00-02:15,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

10,02:15-02:30,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

11,02:30-02:45,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

12,02:45-03:00,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

13,03:00-03:15,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

14,03:15-03:30,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

15,03:30-03:45,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

16,03:45-04:00,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

17,04:00-04:15,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

18,04:15-04:30,0.000000,0.390000,25.000000,0,0.000000,0.000000,62.00,50.000000,137.39

19,04:30-04:45,0.000000,0.390000,25.000000,0,0.000000,0.000000,0.00,50.000000,75.39

20,04:45-05:00,0.000000,0.390000,25.000000,0,0.000000,0.000000,0.00,50.000000,75.39

21,05:00-05:15,0.000000,0.390000,25.000000,0,0.000000,0.000000,0.00,50.000000,75.39

22,05:15-05:30,0.000000,0.390000,25.000000,0,0.000000,0.000000,0.00,50.000000,75.39

23,05:30-05:45,0.000000,0.390000,25.000000,0,0.000000,0.000000,20.00,50.000000,95.39

24,05:45-06:00,0.000000,0.390000,25.000000,0,0.000000,0.000000,20.00,50.000000,95.39

