Block,Time Block,KKNPPU2,KOTESHWR,KOLDAM,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,FSTPP I & II,JHAJJAR,AURY_LF,ANTA_RF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,DHAULIGNGA,DADRT2,DULHASTI,TelanganaSTPP,TANDA2,ANTA_CRF,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,TALST2,TALA,CHAMERA2,BRBCL,CHAMERA1,BSIUL,SINGRAULI_HYDRO,SASAN,SIMHST2,SIMHST1,SINGRAULI,RSTPSU1TO6,RIHAND2,RSTPSU7,SALAL,SEWA2,RIHAND3,KUDGI,MAPS,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,NTPL,PARBATI3,RAPPB,PARBATI2,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,NLCEXP,NJPC,NLCIIST1,NAPP,CHAMERA3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,10.02,0,0,0,0,0,0,14.55,481.74,0,0,0,0,0,0,0,658.83,19.07,0,5.26,0,42.33,32.95,25.13,20.71,0,2.13,38.14,26.34,0.49,0,0,31.27,19.25,40.57,12.55,0.88,388.99,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0.97,0,66.66,0,19.17,0,0,0,0,141.09,0,8.13,43.6,0,24.77,0,49.66,22.43,0,0,0,0,0

2,00:15-00:30,0,10.02,0,0,0,0,0,0,14.55,481.74,0,0,0,0,0,0,0,658.83,19.07,0,5.26,0,42.33,32.95,12.57,20.82,0,2.13,38.14,26.34,0.49,0,0,31.27,16.37,40.57,12.55,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0.97,0,66.66,0,19.17,0,0,0,0,141.09,0,8.13,43.6,0,24.77,0,49.66,22.43,0,0,0,0,0

3,00:30-00:45,0,10.02,0,0,0,0,0,0,14.55,481.74,0,0,0,0,0,0,0,658.83,19.07,0,5.26,0,42.33,32.95,0,20.82,0,2.13,38.14,26.34,0.49,0,0,31.27,17.02,40.57,12.55,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0.97,0,66.66,0,4.13,0,0,0,0,141.09,0,8.13,43.6,0,24.77,0,49.66,22.43,0,0,0,0,0

4,00:45-01:00,0,10.02,0,0,0,0,0,0,14.55,481.74,0,0,0,0,0,0,0,658.83,19.07,0,5.26,0,42.33,32.95,0,20.82,0,2.13,38.14,26.34,0.49,0,0,31.27,16.86,40.57,12.55,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0.97,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,24.77,0,49.66,22.43,0,0,0,0,0

5,01:00-01:15,0,10.02,0,0,0,0,0,0,14.55,481.74,0,0,0,0,0,0,0,658.83,38.13,0,5.26,0,42.33,32.95,0,20.82,0,2.13,38.14,26.34,1.97,0,0,31.27,16.16,40.57,18.83,0.88,389.81,0,0,138.22,0,119.86,0,68.22,18.17,125.85,0,0,0,93.54,0,0.97,0,66.66,0,0,0,0,0,0,141.09,0,8.13,43.6,0,24.77,0,49.66,22.43,0,0,0,0,0

