Block,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/31102037/L_NR_2019_11,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02012046/L_NR_2021_17,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/19072037/LT-05,NR/01102023/08032047/L_NR_2021_14,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01102023/23072042/L_NR_2012_04,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59
1,00:00-00:15,16.67,8.08,24.26,2.920000,0,0,8.09,0,0,7,0,0.000000,30.930000,0,16.67,0,0,0,118.300000,0,0.000000,30.930000,132.600000,0,0,7.21,0.000000,0.000000,28.030000,101.230000,208.760000,3.260000,74.110000,3.190000

2,00:15-00:30,17.08,7.99,23.99,2.920000,0,0,8,0,0,7,0,0.000000,30.930000,0,17.08,0,0,0,118.300000,0,0.000000,30.930000,132.600000,0,0,7.21,0.000000,0.000000,28.030000,101.230000,208.760000,3.260000,74.110000,3.190000

3,00:30-00:45,17.34,7.96,23.93,2.920000,0,0,7.98,0,0,7,0,0.000000,30.930000,0,17.34,0,0,0,118.300000,0,0.000000,30.930000,132.600000,0,0,7.21,0.000000,0.000000,28.030000,101.230000,208.760000,3.260000,74.110000,2.960000

4,00:45-01:00,15,7.8,23.43,2.920000,0,0,7.81,0,0,7,0,0.000000,30.930000,0,15,0,0,0,118.300000,0,0.000000,30.930000,132.600000,0,0,7.21,0.000000,0.000000,28.030000,101.230000,208.760000,3.260000,74.110000,2.960000

5,01:00-01:15,15,7.64,22.93,2.920000,0,0,7.64,0,0,7,0,0.000000,16.520000,0,15,0,0,0,118.300000,0,0.000000,16.520000,132.600000,0,0,7.21,0.000000,0.000000,28.030000,101.230000,208.760000,3.260000,74.110000,2.960000

6,01:15-01:30,15,7.64,22.93,2.920000,0,0,7.64,0,0,7,0,0.000000,16.520000,0,15,0,0,0,118.300000,0,0.000000,16.520000,132.600000,0,0,7.21,0.000000,0.000000,28.030000,101.230000,208.760000,3.260000,74.110000,2.960000

