Block,Time,KISHANGANGA,MAPS,NLCIIST1,NLCIIST2,RAPPD,SINGRAULI,TALA,UNCHAHAR4,AURY_LF,DADRI_GF,FSTPP I & II,JHAJJAR,KGSU3AND4,RAPPB,RSTPSU1TO6,RSTPSU7,SIMHST1,UNCHAHAR3,VALLURNTECL,DADRI_RF,DADRT2,DULHASTI,KHSTPP-I,KOLDAM,NLCEXP,PARBATI3,RIHAND3,SIMHST2,ANTA_CRF,DADRI_LF,KKNPPU2,NLCTS2EXP,RAPPC,TANAKPUR,TANDA2,TEHRI,URI,AURY_GF,BRBCL,CHAMERA3,NTPL,RIHAND1,SEWA2,TEHRIPSP,TelanganaSTPP,AURY_CRF,AURY_RF,KGSU1AND2,KOTESHWR,KUDGI,NJPC,TALST2,UNCHAHAR1,ANTA_GF,ANTA_LF,DADRI_CRF,BSIUL,CHAMERA1,DHAULIGNGA,NAPP,NNTPP,PARBATI2,RIHAND2,SALAL,SASAN,UNCHAHAR2,URI2,CHAMERA2,KHSTPP-II,KKNP,RAMPUR,SINGRAULI_HYDRO,ANTA_RF
1,00:00-00:15,6.96,0,0,0,24.33,98.76,20.74,3.22,0,0,16.68,667.25,0,0,0,0,0,27.69,0,105.39,689.38,55.38,45.53,8.62,0,0,130.84,0,0,0,0,0,65.42,13.06,5.73,68.47,52.99,0,24.99,0,0,98.32,18.34,0,0,0,80.91,0,30.43,0,175.79,0,21.65,0,0,0,0,42.15,42.46,24.62,0,24.63,125.27,58.1,410.62,45,37.42,0,98.87,0,5.7,0,52.09

2,00:15-00:30,6.96,0,0,0,24.33,98.76,20.74,3.22,0,0,16.68,667.25,0,0,0,0,0,27.69,0,105.39,689.38,55.38,45.53,8.62,0,0,130.84,0,0,0,0,0,65.42,13.06,5.73,68.47,52.99,0,24.99,0,0,98.32,18.34,0,0,0,80.91,0,30.43,0,175.79,0,21.65,0,0,0,0,42.15,42.46,24.62,0,24.63,125.27,58.1,410.62,45,37.42,0,98.87,0,5.7,0,52.09

3,00:30-00:45,6.96,0,0,0,24.33,98.76,20.74,3.22,0,0,16.68,667.25,0,0,0,0,0,27.69,0,105.39,689.38,55.38,45.53,8.62,0,0,130.84,0,0,0,0,0,65.42,13.06,5.73,68.47,44.16,0,24.99,0,0,98.32,18.34,0,0,0,80.91,0,30.43,0,175.79,0,21.65,0,0,0,0,42.15,42.46,24.62,0,24.63,125.27,0,410.62,45,31.17,0,98.87,0,5.7,0,52.09

4,00:45-01:00,6.96,0,0,0,24.33,98.76,20.74,3.22,0,0,16.68,667.25,0,0,0,0,0,27.69,0,105.39,689.38,55.38,45.53,8.62,0,0,130.84,0,0,0,0,0,65.42,13.06,5.73,68.47,44.16,0,24.99,0,0,98.32,18.34,0,0,0,80.91,0,30.43,0,175.79,0,21.65,0,0,0,0,42.15,42.46,24.62,0,24.63,125.27,0,410.62,45,31.17,0,98.87,0,5.7,0,52.09

5,01:00-01:15,6.96,0,0,0,24.33,98.76,20.74,3.22,0,0,16.68,667.25,0,0,0,0,0,27.69,0,105.39,689.38,55.38,45.53,8.62,0,0,130.84,0,0,0,0,0,65.42,13.06,5.73,68.47,44.16,0,24.99,0,0,98.32,18.34,0,0,0,80.91,0,30.43,0,175.79,0,21.65,0,0,0,0,42.15,42.46,24.62,0,24.63,125.27,0,410.62,45,37.42,0,98.87,0,5.7,0,52.34

