Block,Time,L_NR_2012_02,L_NR_2012_04,LT-31,L_NR_2020_02,L_NR_2019_11,SH-07,L_NR_2023_04,LT-35,L_NR_2012_07,LT-05,L_NR_2012_01,LT-36,SH-06,LT-59,L_NR_2019_05,L_NR_2019_19,L_NR_2020_06,L_NR_2021_12,L_NR_2021_14,L_NR_2021_16,L_NR_2021_15,L_NR_2021_17,L_NR_2022_10,L_NR_2019_06,L_NR_2022_09,L_NR_2022_08,L_NR_2020_05,L_NR_2021_13,L_NR_2020_07,L_NR_2018_61,L_NR_2019_07,L_NR_2023_07,L_NR_2023_10
1,00:00-00:15,131.270000,272.870000,0.000000,7.180000,8.490000,30.080000,29.920000,0.000000,74.390000,56.590000,101.630000,0.000000,30.080000,8.200000,0,0,14.84,0,0,0,0,0,45.86,0,45.86,14.29,44.51,0,14.82,42.47,0,0,0

2,00:15-00:30,131.270000,272.870000,0.000000,7.180000,8.490000,30.080000,29.920000,0.000000,74.390000,56.590000,101.630000,0.000000,30.080000,8.200000,0,0,15,0,0,0,0,0,46.13,0,46.13,14.39,45,0,15,41.3,0,0,0

3,00:30-00:45,131.270000,272.870000,0.000000,7.180000,8.490000,30.080000,29.920000,0.000000,74.390000,56.590000,101.630000,0.000000,30.080000,8.200000,0,0,15.3,0,0,0,0,0,46.52,0,46.52,14.54,45.9,0,15.3,40.61,0,0,0

4,00:45-01:00,131.270000,272.870000,0.000000,7.180000,8.490000,30.080000,29.920000,0.000000,74.390000,56.590000,101.630000,0.000000,30.080000,8.200000,0,0,15.5,0,0,0,0,0,47.05,0,47.05,14.91,46.5,0,15.5,39.61,0,0,0

5,01:00-01:15,131.270000,272.870000,0.000000,7.090000,8.490000,30.750000,29.920000,0.000000,74.390000,56.590000,101.630000,0.000000,30.750000,8.120000,0,0,15.77,0,0,0,0,0,47.35,0,47.35,15.08,47.31,0,15.78,41.02,0,0,0

6,01:15-01:30,131.270000,272.870000,0.000000,7.090000,8.490000,30.750000,29.920000,0.000000,74.390000,56.590000,101.630000,0.000000,30.750000,8.120000,0,0,15.94,0,0,0,0,0,47.55,0,47.55,15.29,47.83,0,15.95,41.02,0,0,0

7,01:30-01:45,131.270000,272.870000,0.000000,7.090000,8.490000,31.050000,29.920000,0.000000,74.390000,58.210000,101.630000,0.000000,31.050000,8.120000,0,0,16.13,0,0,0,0,0,47.55,0,47.55,15.49,48.39,0,16.13,41.02,0,0,0

8,01:45-02:00,131.270000,272.870000,0.000000,7.090000,8.490000,31.050000,29.920000,0.000000,74.390000,58.210000,101.630000,0.000000,31.050000,8.120000,0,0,16.08,0,0,0,0,0,47.85,0,47.85,14.02,48.24,0,16.07,41.02,0,0,0

9,02:00-02:15,131.270000,272.870000,0.000000,6.530000,8.100000,30.750000,29.920000,0.000000,0.000000,58.210000,101.630000,0.000000,30.750000,8.120000,0,0,16.49,0,0,0,0,0,47.41,0,47.41,14.31,49.47,0,16.48,41.02,0,0,0

10,02:15-02:30,131.270000,272.870000,0.000000,6.530000,8.100000,30.750000,29.920000,0.000000,0.000000,58.210000,101.630000,0.000000,30.750000,8.120000,0,0,16.36,0,0,0,0,0,47.21,0,47.21,14.36,49.09,0,16.37,40.62,0,0,0

11,02:30-02:45,131.270000,272.870000,0.000000,6.530000,8.100000,30.750000,29.920000,0.000000,0.000000,58.210000,101.630000,0.000000,30.750000,8.120000,0,0,16.17,0,0,0,0,0,46.74,0,46.74,14.49,48.51,0,16.18,40.24,0,0,0

12,02:45-03:00,131.270000,272.870000,0.000000,6.530000,8.100000,30.750000,29.920000,0.000000,0.000000,58.210000,101.630000,0.000000,30.750000,8.120000,0,0,16.03,0,0,0,0,0,46.06,0,46.06,14.7,48.08,0,16.01,39.89,0,0,0

13,03:00-03:15,131.270000,272.870000,0.000000,6.530000,7.870000,30.750000,30.930000,0.000000,0.000000,58.210000,101.630000,0.000000,30.750000,7.960000,0,0,15.73,0,0,0,0,0,42.89,0,42.89,14.45,47.2,0,15.74,33.08,0,0,0

14,03:15-03:30,131.270000,272.870000,0.000000,6.530000,7.870000,30.750000,30.930000,0.000000,0.000000,58.210000,101.630000,0.000000,30.750000,7.960000,0,0,13.33,0,0,0,0,0,42.79,0,42.79,12.67,40,0,13.34,32.68,0,0,0

15,03:30-03:45,131.270000,272.870000,0.000000,6.530000,7.870000,30.750000,31.900000,0.000000,0.000000,58.210000,101.630000,0.000000,30.750000,7.960000,0,0,13.33,0,0,0,0,0,42.81,0,42.81,12.67,40,0,13.34,32.51,0,0,0

16,03:45-04:00,131.270000,272.870000,0.000000,6.530000,7.870000,30.750000,31.900000,0.000000,0.000000,58.210000,101.630000,0.000000,30.750000,7.960000,0,0,13.33,0,0,0,0,0,42.36,0,42.36,12.67,40,0,13.34,32.07,0,0,0

17,04:00-04:15,131.270000,272.870000,0.000000,6.350000,7.870000,31.050000,31.900000,0.000000,0.000000,58.210000,101.630000,0.000000,31.050000,7.800000,0,0,13.33,0,0,0,0,0,41.45,0,41.45,12.67,40,0,13.34,31.47,0,0,0

