Block,Time,TANDA2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,DADRT2,DULHASTI,KOLDAM,NJPC,RAPPC,DHAULIGNGA,NAPP,CHAMERA3,KISHANGANGA,JHAJJAR,KOTESHWR,RIHAND2,CHAMERA2,PARBATI3,RAMPUR,RIHAND1,SINGRAULI,SEWA2,RIHAND3,SINGRAULI_HYDRO,URI,CHAMERA1,RAPPB,BSIUL,SALAL,TANAKPUR,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KGSU1AND2,KGSU3AND4,KKNP,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,MAPS,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,0,25.1775,19.985,0,0,13.452,26.39091,683.129127,32.957704,0,21.781,26.1414,1.321,40.584,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,15.804048,123.665625,0.78433,8.832,0,0,6.5208,68.558,8.7108,0,36.75,0,0,0,32.88,31.784,14.796,0,21.72,37.467,5.43,0,0,0,0,0,0,0,0,0,93.02,0,0,0,0,0,0,0,0,0,41.883,98.34375,10.29,20.0018,11.954,342

2,00:15-00:30,0,25.1775,19.985,0,0,13.452,26.39091,683.129127,32.957704,0,21.781,26.1414,1.321,40.584,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,15.804048,123.665625,0.78433,8.832,0,0,6.5208,68.558,8.7108,0,36.75,0,0,0,32.88,31.784,14.796,0,21.72,37.467,5.43,0,0,0,0,0,0,0,0,0,93.02,0,0,0,0,0,0,0,0,0,41.883,98.34375,10.29,20.0018,11.954,342

3,00:30-00:45,0,25.1775,19.985,0,0,16.1424,26.39091,683.129127,32.957704,0,21.781,26.1414,1.321,40.584,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,15.804048,123.665625,0.78433,8.832,0,0,6.5208,68.558,8.7108,0,36.75,0,0,0,32.88,31.784,14.796,0,21.72,37.467,5.43,0,0,0,0,0,0,0,0,0,93.02,0,0,0,0,0,0,0,0,0,41.883,98.34375,10.29,20.0018,11.954,342

4,00:45-01:00,0,25.1775,19.985,0,0,31.897382,26.39091,683.129127,32.957704,0,21.781,26.1414,1.321,40.584,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,15.804048,123.665625,0.78433,8.832,0,0,6.5208,68.558,8.7108,0,36.75,0,0,0,32.88,31.784,14.796,0,21.72,37.467,5.43,0,0,0,0,0,0,0,0,0,93.02,0,0,0,0,0,0,0,0,0,41.883,98.34375,10.29,20.0018,11.954,342

5,01:00-01:15,0,25.1775,19.985,0,0,31.897382,26.39091,683.129127,32.957704,0,21.781,26.1414,1.321,40.584,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,15.804048,123.665625,0.78433,37.536,0,0,6.5208,68.558,8.7108,0,36.75,0,0,0,32.88,31.784,14.796,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,93.02,0,0,0,0,0,0,0,0,0,41.883,98.34375,10.29,20.0018,11.954,342

6,01:15-01:30,0,25.1775,19.985,0,0,31.897382,26.39091,683.129127,32.957704,0,21.781,26.1414,1.321,40.584,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,15.804048,123.665625,0.78433,37.536,0,0,6.5208,68.558,8.7108,0,36.75,0,0,0,32.88,31.784,14.796,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,93.02,0,0,0,0,0,0,0,0,0,41.883,98.34375,10.29,20.0018,11.954,342

7,01:30-01:45,0,25.1775,19.985,0,0,31.897382,26.39091,683.129127,32.957704,0,21.781,26.1414,1.321,40.584,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,15.804048,123.665625,0.78433,8.832,0,0,6.5208,68.558,8.7108,0,36.75,0,0,0,32.88,31.784,14.796,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,93.02,0,0,0,0,0,0,0,0,0,41.883,98.34375,10.29,20.0018,11.954,342

8,01:45-02:00,0,25.1775,19.985,0,0,31.897382,26.39091,683.129127,32.957704,0,21.781,26.1414,1.321,40.584,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,15.804048,123.665625,0.78433,8.832,0,0,6.5208,68.558,8.7108,0,36.75,0,0,0,32.88,31.784,14.796,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,93.02,0,0,0,0,0,0,0,0,0,41.883,98.34375,10.29,20.0018,11.954,342

9,02:00-02:15,0,25.1775,19.985,0,0,13.452,26.39091,683.129127,32.957704,0,21.781,26.1414,1.321,40.584,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,15.804048,123.665625,0.78433,8.832,0,0,6.5208,68.558,8.7108,0,37.8,0,0,0,32.88,31.784,14.796,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,93.02,0,0,0,0,0,0,0,0,0,41.883,98.34375,10.29,20.0018,11.954,342

