Block,Time Block,CHAMERA2,CHAMERA3,BSIUL,CHAMERA1,KUDGI,KKNPPU2,KISHANGANGA,KHSTPP-I,KOLDAM,KHSTPP-II,KKNP,KOTESHWR,BRBCL,JHAJJAR,KGSU1AND2,KGSU3AND4,RAMPUR,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI3,TANDA2,SIMHST1,TelanganaSTPP,SIMHST2,SINGRAULI_HYDRO,TALST2,SEWA2,TALA,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR2,URI,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR1,UNCHAHAR3,DHAULIGNGA,DADRT2,DULHASTI,FSTPP I & II,MAPS,SALAL,RIHAND3,RIHAND2,SASAN,RSTPSU1TO6,RSTPSU7,RIHAND1,RAPPC,RAPPB,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,18.63,0,71.56,0,8.53,19.21,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,109.64,5.53,0,22.47,1.07,0,0,4.14,5.76,14.25,0,361.36,15.83,11.26,0,1.34,119.43,91.55,399.13,0,0,60.84,51.21,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,18.39,0,61.4,0,8.53,19.21,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,109.64,5.53,0,22.47,1.07,0,0,4.14,5.76,14.25,0,361.36,15.83,10.99,0,1.34,119.43,91.55,399.89,0,0,60.84,51.21,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,18.39,0,61.4,0,8.53,19.21,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,109.64,5.53,0,22.47,1.07,0,0,4.14,5.76,14.25,0,361.36,15.83,10.99,0,1.34,119.43,91.55,399.89,0,0,60.84,51.21,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,18.39,0,61.4,0,8.53,17.48,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,109.64,5.53,0,22.47,1.07,0,0,4.14,5.76,14.25,0,361.36,15.83,10.99,0,1.34,119.43,91.55,399.89,0,0,60.84,51.21,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,18.39,0,61.4,0,8.53,17.33,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,109.64,5.53,0,22.47,1.07,0,0,4.14,5.76,14.25,0,361.36,15.83,10.99,0,1.34,119.43,91.55,399.89,0,0,60.84,51.21,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,18.39,0,61.4,0,8.53,16.73,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,109.64,5.53,0,22.47,1.07,0,0,4.14,5.76,14.25,0,361.36,15.83,10.99,0,1.34,119.43,91.55,399.89,0,0,60.84,51.21,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,18.39,0,61.4,0,8.53,15.59,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,109.64,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,313.32,15.83,10.99,0,1.34,119.43,93.9,399.89,0,0,60.84,51.21,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,18.39,0,61.4,0,8.53,13.7,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,109.12,399.89,0,0,77.14,51.21,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,18.39,0,53.39,0,8.53,14.43,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.01,51.21,0,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,18.39,0,53.39,0,8.53,14.62,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,18.39,0,53.39,0,8.53,13.39,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,18.39,0,53.39,0,8.53,13.8,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,18.39,0,53.39,0,8.53,16.42,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,18.39,0,53.39,0,8.53,16.7,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,18.39,0,53.39,0,8.53,15.77,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,18.39,0,53.39,0,8.53,16.96,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,18.39,0,62.03,0,8.53,17.25,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

18,04:15-04:30,0,0,0,0,0,0,0,18.39,0,61.07,0,8.53,19.21,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

19,04:30-04:45,0,0,0,0,0,0,0,18.39,0,62.03,0,8.53,19.21,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,265.29,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

20,04:45-05:00,0,0,0,0,0,0,0,18.39,0,58.19,0,8.53,19.21,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,1.07,0,0,4.14,5.76,14.25,0,329.66,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

21,05:00-05:15,0,0,0,0,0,0,0,18.39,0,58.19,0,8.53,19.21,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,0.85,0,0,4.14,5.76,14.25,0,361.36,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

22,05:15-05:30,0,0,0,0,0,0,0,18.39,0,58.19,0,8.53,19.21,345.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,121.01,0,0,22.47,0.85,0,0,4.14,5.76,14.25,0,361.36,15.83,10.99,0,1.34,119.43,114.08,399.89,0,0,88.38,51.21,0,0,0,0,0,0

