Column1,Block,NR/2024/22898/A/35646,NR/2024/22899/A/35644,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/8090,NR/30092023/31122025/SH-07,NR/2024/22839/A/35854,NR/2024/22753/A/35811,NR/2024/22754/A/35812,NR/2024/22872/A/35619,NR/2024/21658/A/35610,NR/2024/22874/A/35859,NR/2024/22734/A/35824,NR/2024/22802/A/35858,NR/2024/22987/C,NR/2024/22832/A/35857,NR/2024/22984/C,NR/2024/22833/A/35856,NR/2024/22979/C,NR/2024/22837/A/35855,NR/2024/22888/A/35826,NR/2024/22985/C,NR/2024/22816/A/35549,NR/2024/22848/A/35834,NR/2024/22860/A/35832,NR/2024/22835/A/35893,NR/2024/22820/A/35540,GNA/NR/2024/09/01/7196,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/05/5848,GNA/NR/2024/09/01/6020,NR/2024/22983/C,Total
,,SJVNL,SJVNL,DELHI,DELHI,BAWANA_GAS,NVVNL,PTC,PTC,DIAPL,ITCLH,NVVNL,TPDDL,NVVNL,SJVNL,NVVNL,NVVNL,NVVNL,TPDDL,NVVNL,APPCPL,NVVNL,TPTCL,APPCPL,APPCPL,MANIKARAN,IEXL,AEL,PUNJAB,TPTCL,NVVNL,APPCPL,MANIKARAN,MANIKARAN,TPTCL,JITPL,IEXL,INSTINCT,NVVNL,
,,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,MP_State,NA,NA,NA,NA,NA,NA,NA,NA,KERALA_State,NA,NA,UTTARAKHAND_STATE,Nagaland_State,MSEB_State,KARNATAKA_STATE,NA,DELHI_UT,NA,NA,Arunachal_State,ODISHA_STATE,MP_State,NA,NA,NA,NA,NA,
,,RSRPL_BKN,TPSL_BKN2,CHANJUII,SKS_Raigarh,BAWANA_GAS,TRN_ENERGY,HP,HP,GBHHPL,ITCWIND,JP_BINA,JPL2,JPNIGRIE_JNSTPP,TPSL_BKN2,RKM_POWER,Kameng,RKM_POWER,JHAJJAR,JPL2,KSEB,SORANG_HEP,SIMHAPURI,UTTARAKHAND,Nagaland_Ben,AEML,NSLSUGAR,APL_Raigarh_TPP,BAWANA_GAS,SIMHAPURI,JPNIGRIE_JNSTPP,Arunachal_Ben,MAADURGA_THERMAL,BLAPOWER_MP,JITPL,JITPL,JHABUA_IPP,JPL2,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,TPDDL,NDMC,HARYANA,NDMC,BRPL,BYPL,DIAPL,ITCLH,TPDDL,TPDDL,BRPL,NDMC,NDMC,TPDDL,NDMC,TPDDL,NDMC,BYPL,TPDDL,BRPL,BYPL,BYPL,BYPL,MES_Delhi,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,MES_Delhi,
,,North-North,North-North,North-North,West-North,North-North,West-North,North-North,North-North,North-North,South-West-North,West-North,West-North,West-North,North-North,West-North,North East-East-North,West-North,North-North,West-North,South-West-North,North-North,South-West-North,North-North,North East-East-North,West-North,South-West-North,West-North,North-North,South-East-North,West-North,North East-East-North,East-North,West-North,East-North,East-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,12.75,12.47,0,12.47,179.67,59.89,8.71,0.87,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,32,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1634.2400000000002

2,00:15-00:30,0,0,12.75,12.47,0,12.47,179.67,59.89,8.71,0.87,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,32,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1634.2400000000002

3,00:30-00:45,0,0,12.75,12.47,25.9614,12.47,179.67,59.89,8.71,0.87,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,32,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1660.2014

4,00:45-01:00,0,0,12.75,12.47,25.9614,12.47,179.67,59.89,8.71,0.87,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,32,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1660.2014

5,01:00-01:15,0,0,12.75,12.47,25.9614,12.47,179.67,59.89,8.71,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.8708,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1654.8821999999998

6,01:15-01:30,0,0,12.75,12.47,25.9614,12.47,179.67,59.89,8.71,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.8708,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1654.8821999999998

7,01:30-01:45,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,8.71,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.8708,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1655.7915999999998

8,01:45-02:00,0,0,12.75,12.47,26.8708,12.47,179.67,59.89,8.71,0.68,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.8708,48.4,62.08,32.91,2.42,21.78,24.2,24.74,0,96.79,0,1655.7915999999998

