Time,Block,NR/2023/16185/A,NR/2023/13150/A,NR/2023/13908/A,NR/2023/13242/A,NR/2023/15770/A,NR/2023/13148/A,NR/2023/16520/F,NR/2023/13383/A,NR/2023/16827/C,NR/2023/13376/A,NR/2023/13385/A,NR/2023/16837/C,NR/2023/13519/A,NR/2023/16830/C,NR/2023/13165/A,NR/2023/16191/A,NR/2023/13253/A,NR/2023/16437/F,NR/2023/16291/F,NR/2023/16815/D,NR/2023/13387/A,NR/2023/13254/A,NR/2023/16724/F,NR/2023/16291/F/II,NR/2023/16798/D,NR/2023/13636/A,NR/2023/16077/A,NR/2023/16829/C,NR/2023/16803/D,NR/2023/16819/D,NR/2023/16073/A,ER/2023/10652/C,NR/2023/16828/C,NR/2023/16814/D,ER/2023/10639/C,WR/2023/18895/C,Total
,,MANIKARAN,KEIPL,TPTCL,APPCPL,NVVNL,KEIPL,IEXL,APPCPL,SJVNL,APPCPL,NVVNL,TPDDL,STATKRAFT,PXIL,GMRETL,MANIKARAN,APPCPL,NVVNL,ITCLH,KEIPL,NVVNL,APPCPL,IEXL,ITCLH,IEXL,NVVNL,APPCPL,GBHHPL,IEXL,SJVNL,APPCPL,IEXL,SJVNL,NVVNL,HPXL,IEXL,Total

,,HIMACHAL PRADESH,MEGHALAYA,NA,SIKKIM,NA,MEGHALAYA,UTTAR PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,MEGHALAYA,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,UTTARAKHAND,NA,ANDHRA PRADESH,UTTAR PRADESH,NA,MEGHALAYA,NA,ANDHRA PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,GOA,DELHI,NA,NA,DELHI,DELHI,
,,HP,Meghalaya_Ben,JPL,SIKKIM,SKS Raigarh,Meghalaya_Ben,PPGCL,HP,BCMLB001,Meghalaya_Ben,JP BINA,CHANJUII,HP,RKM_POWER,Meghalaya_Ben,HP,UTTARAKHAND,KAMENG,ITCWIND,LAPL-UP,JPNIGRIE_JNSTPP,Meghalaya_Ben,Teesta_III,ITCWIND,OPGPGUNIT1TN,KAMENG,HP,GBHHPL,OPGPGPLU4TN,DIKCHU,GOA_Beneficiary,BYPL,RSRPL_BKN,SOLAPUR_SOLAR,BYPL,EDWPCL12,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,DELHI,ODISHA,Gujarat,
,,BRPL,BYPL,BRPL,BYPL,NDMC,BYPL,BRPL,BYPL,NDMC,BYPL,BRPL,TPDDL,BYPL,BRPL,BYPL,BRPL,BYPL,TPDDL,ITCLH,BYPL,BRPL,BYPL,BRPL,ITCLH,BRPL,BRPL,BRPL,DIAPL,BRPL,NDMC,BRPL,IPCL_WB,NDMC,MES (Delhi),VLSEZ,GIFT GNGR,
,,North-North,North East-East-North,West-North,East-North,West-North,North East-East-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,North East-East-North,South-East-North,North-North,West-North,North East-East-North,East-North,South-West-North,South-East-North,North East-East-North,North-North,North-North,South-East-North,East-North,West-North,North-East,North-North,West-North,North-East,North-East-West,
1,00:00-00:15,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.780000,58.430000,36.420000,22.230000,142.100000,48.340000,193.340000,0.060000,0.000000,100.050000,19.610000,0.000000,0.810000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,0.000000,0,0,0.000000,1.500000,1410.36

2,00:15-00:30,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,0.000000,46.110000,0.000000,20.300000,30.620000,9.780000,58.430000,47.090000,22.230000,142.100000,48.340000,193.340000,0.060000,0.000000,100.050000,19.610000,0.000000,0.810000,4.830000,25.020000,107.590000,7.070000,67.670000,0.000000,24.170000,0.000000,0,0,0.000000,1.500000,1421.03
