Column1,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/7459,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,GNA/NR/2025/01/01/8058,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/3514,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/01/01/9606,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/01/15/4189,GNARE/NR/2024/12/20/3668,GNA/NR/2025/01/01/8738,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/WR/2025/01/01/8625
1,00:00-00:15,21.67,22.5,38.02,0,0,0,0,0,63.34,52.69,59.23,25.23,14.37,0,67.5,0,22.5,0,0,0,63.33,0,0,0,1.37,25.87,25.87,65.14,1.43,0,69.87,0,26.82,0,31,20.12,47.9,0,25.87,19.16,158.93,0,0,0,0,47.9,1.03,28.74,47.9,0

2,00:15-00:30,21.67,22.33,38.02,0,0,0,0,0,63.34,52.69,59.23,25.23,14.37,0,67.01,0,22.33,0,0,0,63.33,0,0,0,1.37,25.87,25.87,65.14,1.43,0,69.87,0,26.82,0,31,20.12,47.9,0,25.87,19.16,164.2,0,0,0,0,47.9,1.03,28.74,47.9,0

3,00:30-00:45,21.33,22.17,38.02,0,0,0,0,0,63.34,52.69,59.23,25.23,14.37,0,66.49,0,22.17,0,0,0,63.33,0,0,0,1.37,25.87,25.87,65.14,1.43,0,69.87,0,26.82,0,31,20.12,47.9,0,25.87,19.16,171.77,0,0,0,0,47.9,1.03,28.74,47.9,0

4,00:45-01:00,21.33,21.67,37.82,0,0,0,0,0,63.34,52.69,59.23,25.23,14.37,0,64.99,0,21.67,0,0,0,63.33,0,0,0,1.37,25.87,25.87,65.14,1.43,0,69.87,0,26.82,0,31,20.12,47.9,0,25.87,19.16,171.77,0,0,0,0,47.9,1.03,28.74,47.9,0

5,01:00-01:15,21,21,25.01,0,0,0,0,0,63.34,52.69,59.23,25.23,14.37,0,63,0,21,0,0,0,63.33,0,0,0,1.47,25.87,25.87,65.14,1.43,0,69.87,0,26.82,0,31,20.12,47.9,0,25.87,19.16,171.77,0,0,0,0,47.9,1.03,28.74,47.9,0

6,01:15-01:30,20.67,20.33,24.41,0,0,0,0,0,63.34,52.69,59.23,25.23,14.37,0,61.01,0,20.33,0,0,0,63.33,0,0,0,1.47,25.87,25.87,65.14,1.43,0,69.87,0,26.82,0,31,20.12,47.9,0,25.87,19.16,171.77,0,0,0,0,47.9,1.03,28.74,47.9,0

