Block,Time,KGSU1AND2,KKNPPU2,RAPPB,SIMHST2,VALLURNTECL,ANTA_RF,DADRI_CRF,DADRI_RF,CHAMERA3,DULHASTI,KGSU3AND4,KOLDAM,KOTESHWR,NLCTS2EXP,SEWA2,SINGRAULI_HYDRO,TALST2,TelanganaSTPP,DHAULIGNGA,KHSTPP-I,NAPP,NJPC,RIHAND1,TANDA2,UNCHAHAR2,ANTA_CRF,CHAMERA2,KISHANGANGA,NLCIIST1,PARBATI3,SIMHST1,TANAKPUR,UNCHAHAR4,NLCIIST2,NTPL,RSTPSU1TO6,RSTPSU7,SALAL,SINGRAULI,UNCHAHAR1,DADRI_GF,CHAMERA1,DADRT2,FSTPP I & II,KUDGI,NLCEXP,RAMPUR,RAPPC,SASAN,UNCHAHAR3,URI2,BRBCL,BSIUL,JHAJJAR,KKNP,RIHAND3,TALA,URI,AURY_GF,DADRI_LF,KHSTPP-II,MAPS,NNTPP,RIHAND2,TEHRI,ANTA_GF,ANTA_LF,AURY_CRF,AURY_LF,AURY_RF
1,00:00-00:15,0,0,0,0,0,48.13,0,95.63,32.08,53.79,0,5.35,9.66,0,0,0,0,0,40.4,33.38,45.1,167.1,92.59,2.89,43.71,0,44.22,1.44,0,30.92,0,8.71,1.62,0,0,0,0,83.67,127.75,20.96,0,28.1,686.07,20.8,0,0,3.54,60.68,382.5,27.05,36.05,20.01,13.04,413.81,0,127.6,7.5,28.71,0,0,98.87,0,0,121.71,35.44,0,0,0,0,77.69

2,00:15-00:30,0,0,0,0,0,48.13,0,95.63,32.08,53.79,0,5.35,9.66,0,0,0,0,0,40.4,33.38,45.1,167.1,92.59,2.89,43.71,0,44.22,1.44,0,30.92,0,8.71,1.62,0,0,0,0,83.67,127.75,20.96,0,28.1,686.07,20.8,0,0,3.54,60.68,382.5,27.05,36.05,20.01,13.04,413.81,0,127.6,7.5,28.71,0,0,98.87,0,0,121.71,35.44,0,0,0,0,77.69

3,00:30-00:45,0,0,0,0,0,48.13,0,95.63,32.08,53.79,0,5.35,9.66,0,0,0,0,0,40.4,33.38,45.1,167.1,92.59,2.89,43.71,0,44.22,1.44,0,17.56,0,11.53,1.62,0,0,0,0,83.67,127.75,20.96,0,28.1,686.07,20.8,0,0,3.54,60.68,382.5,27.05,36.05,20.01,13.04,413.81,0,127.6,7.5,45.27,0,0,98.87,0,0,121.71,35.44,0,0,0,0,77.69

4,00:45-01:00,0,0,0,0,0,48.13,0,95.63,32.08,53.79,0,5.35,9.66,0,0,0,0,0,40.4,33.38,45.1,167.1,92.59,2.89,43.71,0,44.22,1.44,0,17.56,0,11.53,1.62,0,0,0,0,83.67,127.75,20.96,0,28.1,686.07,20.8,0,0,3.54,60.68,382.5,27.05,36.05,20.01,13.04,413.81,0,127.6,7.5,45.27,0,0,98.87,0,0,121.71,35.44,0,0,0,0,77.69

5,01:00-01:15,0,0,0,0,0,48.13,0,95.63,32.08,53.79,0,5.35,9.66,0,0,0,0,0,40.4,33.38,45.1,167.1,92.59,2.89,43.71,0,44.22,1.44,0,17.56,0,11.53,1.62,0,0,0,0,83.67,127.75,20.96,0,28.1,686.07,20.8,0,0,3.54,60.68,382.5,27.05,36.05,20.01,13.04,413.81,0,127.6,7.5,45.27,0,0,98.87,0,0,121.71,35.44,0,0,0,0,77.69

6,01:15-01:30,0,0,0,0,0,48.13,0,95.63,32.08,53.79,0,5.35,9.66,0,0,0,0,0,40.4,33.38,45.1,167.1,92.59,2.89,43.71,0,44.22,1.44,0,17.56,0,11.53,1.62,0,0,0,0,83.67,127.75,20.96,0,28.1,686.07,20.8,0,0,3.54,60.68,382.5,27.05,36.05,20.01,13.04,413.81,0,127.6,7.5,45.27,0,0,98.87,0,0,121.71,35.44,0,0,0,0,77.69

7,01:30-01:45,0,0,0,0,0,48.13,0,95.63,32.08,53.79,0,5.35,9.66,0,0,0,0,0,40.4,33.38,45.1,167.1,92.59,2.89,43.71,0,44.22,1.44,0,17.56,0,11.53,1.62,0,0,0,0,83.67,127.75,20.96,0,28.1,686.07,20.8,0,0,3.54,60.68,382.5,27.05,23.65,20.01,13.04,413.81,0,127.6,7.2,45.27,0,0,98.87,0,0,121.71,35.44,0,0,0,0,77.69

8,01:45-02:00,0,0,0,0,0,48.13,0,95.63,32.08,53.79,0,5.35,9.66,0,0,0,0,0,40.4,33.38,45.1,167.1,92.59,2.89,43.71,0,44.22,1.44,0,17.56,0,11.53,1.62,0,0,0,0,83.67,127.75,20.96,0,28.1,686.07,20.8,0,0,3.54,60.68,382.5,27.05,23.65,20.01,13.04,413.81,0,127.6,7.2,45.27,0,0,98.87,0,0,121.71,35.44,0,0,0,0,77.69

9,02:00-02:15,0,0,0,0,0,48.13,0,95.63,32.08,53.79,0,5.35,9.66,0,0,0,0,0,40.4,33.38,45.1,167.1,92.59,2.89,43.71,0,44.22,1.44,0,17.56,0,12.94,1.62,0,0,0,0,83.67,127.75,20.96,0,28.1,686.07,20.8,0,0,3.54,60.68,382.5,27.05,23.65,20.01,13.04,413.81,0,127.6,9.85,35.33,0,0,98.87,0,0,121.71,35.44,0,0,0,0,77.69

