Block,Time,CHAMERA2,MAPS,NLCIIST2,RIHAND1,RIHAND3,TALST2,URI2,ANTA_GF,AURY_CRF,AURY_GF,DADRI_CRF,DHAULIGNGA,KKNP,KKNPPU2,KUDGI,NLCTS2EXP,RAPPB,RIHAND2,RSTPSU7,SIMHST1,TALA,URI,KISHANGANGA,KOTESHWR,NAPP,UNCHAHAR1,ANTA_CRF,CHAMERA3,NLCIIST1,TEHRI,UNCHAHAR4,VALLURNTECL,CHAMERA1,JHAJJAR,KHSTPP-I,PARBATI3,RSTPSU1TO6,SEWA2,TANDA2,BRBCL,KGSU3AND4,NLCEXP,SINGRAULI,UNCHAHAR2,AURY_RF,KGSU1AND2,KHSTPP-II,KOLDAM,NTPL,RAPPC,SALAL,SIMHST2,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR3,ANTA_LF,ANTA_RF,AURY_LF,DADRI_RF,BSIUL,DADRT2,DULHASTI,FSTPP I & II,NJPC,NNTPP,RAMPUR,SASAN,TANAKPUR,DADRI_GF,DADRI_LF
1,00:00-00:15,0,0,0,92,124.32,0,4.44,0,70.59,0,64.12,0,0,0,0,0,0,118.75,0,0,0,26.49,0,8.88,43.46,20.56,30.35,0,0,0,0,0,0,654.3,45.22,0,0,0,0,15,0,0,125.96,42.39,0,0,148.3,0,0,53.3,1.4,0,0,0,26.39,0,0,0,5.48,0,683.14,16.48,11.7,0,0,0,348.98,8.33,0,23.57

2,00:15-00:30,0,0,0,92,124.32,0,4.44,0,70.59,0,64.12,0,0,0,0,0,0,118.75,0,0,0,26.49,0,8.88,43.46,20.56,30.35,0,0,0,0,0,0,654.3,45.22,0,0,0,0,15,0,0,125.96,42.39,0,0,148.3,0,0,53.3,1.4,0,0,0,26.39,0,0,0,5.48,0,683.14,16.48,11.7,0,0,0,348.98,8.33,0,23.57

3,00:30-00:45,0,0,0,92,124.32,0,4.44,0,70.59,0,64.12,0,0,0,0,0,0,118.75,0,0,0,2.21,0,8.88,43.46,20.56,30.35,0,0,0,0,0,0,654.3,45.22,0,0,0,0,15,0,0,125.96,42.39,0,0,148.3,0,0,53.3,1.4,0,0,0,26.39,0,0,0,5.48,0,683.14,16.48,11.7,0,0,0,348.98,8.33,0,23.57

4,00:45-01:00,0,0,0,92,124.32,0,4.44,0,70.59,0,64.12,0,0,0,0,0,0,118.75,0,0,0,1.33,0,8.88,43.46,20.56,30.35,0,0,0,0,0,0,654.3,45.22,0,0,0,0,15,0,0,125.96,42.39,0,0,148.3,0,0,53.3,1.4,0,0,0,26.39,0,0,0,5.48,0,683.14,16.48,11.7,0,0,0,348.98,2.05,0,23.57

5,01:00-01:15,0,0,0,92,124.32,0,4.44,0,70.59,0,64.12,0,0,0,0,0,0,118.75,0,0,0,1.33,0,8.88,43.46,20.56,30.35,0,0,0,0,0,0,654.3,45.22,0,0,0,0,15,0,0,125.96,42.39,0,0,148.3,0,0,53.3,1.4,0,0,0,26.39,0,0,0,5.48,0,683.14,16.48,11.7,0,0,0,348.98,2.05,0,23.57

