Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,GNA/NR/2025/06/01/4973,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/06/01/9719,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/08/2376,GNA/NR/2025/04/01/8456,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/07/5932,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/2868,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/9257,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7786,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/7663
1,00:00-00:15,32.21,0,0,0,0,0,0,0,0,0,0,0,0,30,0,36.67,36.67,30,21.67,90,41.02,87.06,11.89,20.75,11.9,30,13.21,7.08,6.07,29.26,20.75,30,0,158.29,10.33,5.62,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

2,00:15-00:30,31.41,0,0,0,0,0,0,0,0,0,0,0,0,29.5,0,36.67,36.67,29.5,21,88.5,41.02,87.06,11.89,20.75,11.9,30,13.21,7.08,6.07,29.77,20.75,30,0,161.19,10.33,5.62,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

3,00:30-00:45,30.61,0,0,0,0,0,0,0,0,0,0,0,0,29.17,0,36.67,36.67,29.17,20.67,87.49,41.02,87.06,11.89,20.75,11.9,30,13.21,7.08,6.07,30.28,20.75,30,0,163.12,10.33,5.62,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

4,00:45-01:00,29.61,0,0,0,0,0,0,0,0,0,0,0,0,28.83,0,36.67,36.67,28.83,20.33,86.51,41.02,87.06,11.89,20.75,11.9,30,13.21,7.08,6.07,30.28,20.75,30,0,166.01,10.33,5.62,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

5,01:00-01:15,28.61,0,0,0,0,0,0,0,0,0,0,0,0,28.33,0,41.67,41.67,28.33,20,85.01,41.02,87.06,11.89,0,11.9,30,13.02,6.93,6.07,30.28,20.75,30,0,0,10.33,5.42,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

6,01:15-01:30,27.81,0,0,0,0,0,0,0,0,0,0,0,0,27.83,0,41.67,41.67,27.83,19.67,83.51,41.02,87.06,11.89,0,11.9,30,13.02,6.93,6.07,30.28,20.75,30,0,0,10.33,5.42,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

