Column1,Time,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7762,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/8964,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/01/7782,GNA/NR/2025/04/01/8510,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/01/5280,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8456,NR/01102023/31052040/LT-31
1,00:00-00:15,0,44.51,14,19.01,0,0,35,0,35,0,14.83,14.83,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,0,33.78,28.96,33.78,16.89,43.92,2.06,115.78,87.06,32,32,272.91,0,5.28,0,11.89,15.68,24.23,4.01,11.9,130.59,3.58,11.82,10.45,0

2,00:15-00:30,0,45,13.33,18.41,0,0,34,0,34,0,15,15,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,0,33.78,28.96,33.78,16.89,43.92,2.06,115.78,87.06,32,32,272.91,0,5.28,0,11.89,15.68,24.73,4.01,11.9,130.59,3.58,11.82,10.45,0

3,00:30-00:45,0,45.49,12.67,14.01,0,0,33.67,0,33.67,0,15.17,15.17,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,0,33.78,28.96,33.78,16.89,43.92,2.06,115.78,87.06,30,30,272.91,0,5.28,0,11.89,15.68,24.73,4.01,11.9,130.59,2.72,11.82,10.45,0

4,00:45-01:00,0,46.01,12,13.41,0,0,32.67,0,32.67,0,15.33,15.33,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,0,33.78,28.96,33.78,16.89,43.92,2.06,115.78,87.06,30,30,272.91,0,5.28,0,11.89,15.68,24.73,4.01,11.9,130.59,3.35,11.82,10.45,0

5,01:00-01:15,0,46.01,11.33,10.81,0,0,32.67,0,32.67,0,15.33,15.33,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,0,33.78,28.96,33.78,16.89,43.92,2.06,115.78,87.06,26.7,26.7,272.91,0,5.28,0,11.89,15.68,24.73,4.01,11.9,130.59,3.35,11.73,10.45,0

6,01:15-01:30,0,46.5,10.67,10.41,0,0,32.67,0,32.67,0,15.5,15.5,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,0,33.78,28.96,33.78,16.89,43.92,2.06,107.26,87.06,26.7,26.7,272.91,0,5.28,0,11.89,15.68,24.23,4.01,11.9,130.59,3.35,11.73,10.45,0

7,01:30-01:45,0,46.5,10,10.41,0,0,32.33,0,32.33,0,15.5,15.5,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,0,33.78,28.96,33.78,16.89,43.92,2.06,98.75,87.06,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,4.01,11.9,130.59,3.35,11.73,10.45,0

8,01:45-02:00,0,46.99,9.33,10.61,0,0,32.33,0,32.33,0,15.67,15.67,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,0,33.78,28.96,33.78,16.89,43.92,2.06,70.37,87.06,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,4.01,11.9,130.59,3.35,11.73,10.45,0

9,02:00-02:15,0,43.99,8,10.8,0,0,32.33,0,32.33,0,14.67,14.67,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,70.37,87.06,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,3.85,11.9,130.59,3.27,11.64,10.45,0

10,02:15-02:30,0,45,8.33,10.8,0,0,32.67,0,32.67,0,15,15,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,70.37,87.06,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,3.85,11.9,130.59,3.27,11.64,10.45,0

11,02:30-02:45,0,46.01,8.33,13.61,0,0,41.67,0,41.67,0,15.33,15.33,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,115.78,87.06,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,3.85,11.9,130.59,3.27,11.64,10.45,0

12,02:45-03:00,0,46.5,8.67,14.01,0,0,41,0,41,0,15.5,15.5,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,115.78,87.06,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,3.85,11.9,130.59,3.27,11.64,10.45,0

13,03:00-03:15,0,46.5,8.67,14.41,0,0,33.33,0,33.33,0,15.5,15.5,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,115.78,69.09,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,4.01,11.9,130.59,3.27,11.54,10.45,0

14,03:15-03:30,0,46.5,8.67,14.81,0,0,32.67,0,32.67,0,15.5,15.5,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,115.78,69.09,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,4.01,11.9,130.59,3.27,11.54,10.45,0

15,03:30-03:45,0,46.01,8.67,13.21,0,0,32,0,32,0,15.33,15.33,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,115.78,69.09,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,4.01,11.9,130.59,3.27,11.54,10.45,0

16,03:45-04:00,0,46.01,8.67,13.61,0,0,31.33,0,31.33,0,15.33,15.33,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,115.78,58.56,26.7,26.7,272.91,0,7.25,0,11.89,15.68,24.23,4.01,11.9,130.59,3.27,11.54,10.45,0

17,04:00-04:15,0,38.51,7.33,14.01,0,0,30.67,0,30.67,0,12.83,12.83,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,70.37,38.61,26.94,26.94,272.91,0,4.18,0,11.89,1.93,24.23,3.93,11.9,88.33,3.12,11.36,10.45,0

18,04:15-04:30,0,34.99,6.67,14.41,0,0,30,0,30,0,11.67,11.67,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,70.37,58.56,26.94,26.94,272.91,0,4.18,0,11.89,1.93,24.23,3.93,11.9,100.56,3.12,11.36,10.45,0

19,04:30-04:45,0,60,6.67,14.81,0,0,35,0,35,0,20,20,0,0,0,0,0,0,0,0,33.78,16.89,100.55,16.89,135.13,33.78,28.96,33.78,16.89,43.92,1.97,70.37,58.56,26.94,26.94,272.91,0,4.18,0,11.89,1.93,24.23,3.93,11.9,100.56,3.12,11.36,10.45,0

