Time,Block,NR/2023/11956/F,NR/2023/11961/F,NR/2023/12133/C,NR/2023/11476/A,NR/2023/10236/A,NR/2023/11957/F,NR/2023/12132/C,NR/2023/12134/C,NR/2023/11960/F,NR/2023/11941/F,NR/2023/12131/C,NR/2023/11947/F,NR/2023/11962/F,NR/2023/11958/F,NR/2023/12122/D,NR/2023/11963/F,NR/2023/11952/F,NR/2023/11959/F,NR/2023/12125/C,NR/2023/10613/A,NR/2023/10344/A,NR/2023/11955/F,NR/2023/11342/A,NR/2023/11862/F,NR/2023/10229/A,NR/2023/10487/A,NER/2023/786/C,NR/2023/12121/D,NR/2023/12120/D,NR/2023/12119/D,Total
,,SHPPBPL,SHPPBPL,PXIL,IEXL,NVVNL,SHPPBPL,PXIL,TPDDL,SHPPBPL,NVVNL,PXIL,HPXL,SHPPBPL,SHPPBPL,NVVNL,SHPPBPL,KEIPL,SHPPBPL,GBHHPL,APPCPL,BYPL,SHPPBPL,IEXL,APPCPL,NVVNL,TPTCL,HPXL,TS1PL_BKN,TS1PL_BKN,NVVNL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,NA,NA,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NAGALAND,MEGHALAYA,HIMACHAL PRADESH,TELANGANA,MANIPUR,NA,NA,DELHI,NA,NA,NA,
,,SHPPBPL,SHPPBPL,BYPL,JSPL_DCPP,ILFS,SHPPBPL,BYPL,CHANJUII,SHPPBPL,SKS Raigarh,BYPL,B_S_ISPAT_MH,SHPPBPL,SHPPBPL,KAMENG,SHPPBPL,Meghalaya_Ben,SHPPBPL,GBHHPL,Nagaland_Ben,Meghalaya_Ben,SHPPBPL,NAVABHARAT,Manipur_Ben,JPNIGRIE_JNSTPP,APNRL,BYPL,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,MEGHALAYA,DELHI,DELHI,DELHI,
,,BAL224,JHPL-DL,ASIL_UP,BRPL,BRPL,BAL234,AMBASTL,TPDDL,MAX-HPTL,NDMC,TISCL_UP,NDMC,MHIL,AISHER,TPDDL,UHL,BYPL,BMDRC,DIAPL,BYPL,BYPL,BAL184,BRPL,STT,BRPL,TPDDL,SCF MeSEB,BYPL,BRPL,MES (Delhi),
,,North-North,North-North,North-North,West-North,South-West-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North East-East-North,North-North,North-North,North East-East-North,North East-East-North,North-North,South-West-North,North East-East-North,West-North,East-North,North-East-North East,North-North,North-North,West-North,
1,00:00-00:15,0.370000,0.700000,30.000000,48.320000,214.830000,0.720000,10.000000,16.420000,0.640000,62.820000,8.500000,6.770000,0.420000,0.560000,67.080000,0.420000,36.470000,0.640000,27.520000,12.660000,12.250000,0.360000,115.980000,2.900000,42.970000,41.560000,0.000000,0,0,0,761.88

2,00:15-00:30,0.370000,0.700000,30.000000,48.320000,214.830000,0.720000,10.000000,16.420000,0.640000,62.820000,8.500000,6.770000,0.420000,0.560000,67.080000,0.420000,36.470000,0.640000,27.520000,12.660000,12.250000,0.360000,115.980000,2.900000,42.970000,41.560000,0.000000,0,0,0,761.88

3,00:30-00:45,0.370000,0.700000,30.000000,48.320000,214.830000,0.720000,10.000000,16.420000,0.640000,62.820000,8.500000,6.770000,0.420000,0.560000,67.080000,0.420000,36.470000,0.640000,27.520000,12.660000,12.250000,0.360000,115.980000,2.900000,42.970000,41.560000,0.000000,0,0,0,761.88

