Block,Time,ANTA_LF,JHAJJAR,RIHAND2,BSIUL,KOTESHWR,ANTA_RF,DADRI_GF,AURY_RF,RAMPUR,AURY_CRF,ANTA_GF,RAPPC,KISHANGANGA,NJPC,DADRT2,SINGRAULI_HYDRO,RIHAND1,BRBCL,SEWA2,KOLDAM,KHSTPP-I,SINGRAULI,KHSTPP-II,FSTPP I & II,TALA,SASAN,SALAL,CHAMERA3,ANTA_CRF,RAPPB,DADRI_CRF,URI2,UNCHAHAR1,DADRI_RF,UNCHAHAR4,DHAULIGNGA,CHAMERA1,DADRI_LF,TANDA2,UNCHAHAR3,CHAMERA2,AURY_LF,PARBATI3,UNCHAHAR2,TEHRI,RIHAND3,DULHASTI,NAPP,URI,AURY_GF,TANAKPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,337.884800,56.691694,0.000000,8.518153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.378863,0.000000,0.000000,337.884800,0.679427,88.310800,14.398548,0.000000,0.000000,29.160706,112.668262,122.666389,8.491957,0.000000,401.977323,12.269442,0.000000,0.000000,0.000000,0.000000,8.005796,7.679200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.558900,0.000000,0.000000,0.000000,18.238100,0.000000,118.706633,0.000000,20.503464,25.433510,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,337.884800,56.691694,0.000000,8.518153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.378863,0.000000,0.000000,337.884800,0.679427,88.310800,14.398548,0.000000,0.000000,29.160706,112.668262,93.869389,5.759400,0.000000,401.977323,2.230808,0.000000,0.000000,0.000000,0.000000,8.005796,7.679200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.558900,0.000000,0.000000,0.000000,18.238100,0.000000,118.706633,0.000000,20.503464,25.433510,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,337.884800,56.691694,0.000000,8.518153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.378863,0.000000,0.000000,337.884800,0.679427,88.310800,14.398548,0.000000,0.000000,14.398500,112.668262,65.273200,5.759400,0.000000,401.977323,2.230808,0.000000,0.000000,0.000000,0.000000,8.005796,7.679200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.558900,0.000000,0.000000,0.000000,18.238100,0.000000,118.706633,0.000000,20.503464,3.179189,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,337.884800,56.691694,0.000000,8.518153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.378863,0.000000,0.000000,337.884800,0.679427,88.310800,14.398548,0.000000,0.000000,14.398500,112.668262,46.075200,5.759400,0.000000,401.977323,2.230808,0.000000,0.000000,0.000000,0.000000,8.005796,7.679200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.558900,0.000000,0.000000,0.000000,18.238100,0.000000,118.706633,0.000000,20.503464,2.119459,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,337.884800,56.691694,0.000000,8.518153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.378863,0.000000,0.000000,337.884800,0.679427,88.310800,14.398548,0.000000,0.000000,14.398500,112.668262,46.075200,5.759400,0.000000,401.977323,2.230808,0.000000,0.000000,0.000000,0.000000,8.005796,7.679200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.558900,0.000000,0.000000,0.000000,18.238100,0.000000,118.706633,0.000000,20.503464,2.119459,0.000000,0.000000,0,0,0,0,0

