Column1,Time,WR/01102023/01102023/L_NR_2022_09,NR/01102023/31102037/L_NR_2019_11,NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/jitpl,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01082024/30092024/LT_MEJA_DELHI,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/31082024/SKS-Raigarh,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,36,0,192.34,8.41,48.08,0,0,48.08,18.18,0,31.4269,0,0,38.47,6.01,114.92,32,30.27,8.74,261.1,100.19,86.75,0,133.29,16,0,0,0,0,0,36,16,10.34,48,7,0,0,0,0,0,0,0,0,0

2,00:15-00:30,36.33,0,192.34,8.41,48.08,0,0,48.08,18.18,0,31.4269,0,0,38.47,6.01,114.92,32,30.27,8.74,261.1,100.19,86.75,0,133.29,15.5,0,0,0,0,0,36.33,15.5,10,46.5,7,0,0,0,0,0,0,0,0,0

3,00:30-00:45,36.67,0,192.34,8.41,48.08,0,0,48.08,18.18,0,31.4269,0,0,38.47,6.01,114.92,31.4269,30.27,8.74,261.1,100.19,86.75,0,133.29,15.34,0,0,0,0,0,36.67,15.33,10,46,7,0,0,0,0,0,0,0,0,0

4,00:45-01:00,37,0,192.34,8.41,48.08,0,0,48.08,18.18,0,31.4269,0,0,38.47,6.01,114.92,31.4269,30.27,8.74,261.1,100.19,86.75,0,133.29,15.34,0,0,0,0,0,37,15.33,10,46,7,0,0,0,0,0,0,0,0,0

5,01:00-01:15,37.33,0,192.34,8.41,48.08,0,0,48.08,18.18,0,31.4269,0,0,38.47,5.91,114.92,31.4269,30.27,8.74,261.1,90.84,86.75,0,133.29,15.5,0,0,0,0,0,37.33,15.5,10,46.5,7,0,0,0,0,0,0,0,0,0

6,01:15-01:30,37.33,0,192.34,8.41,48.08,0,0,48.08,18.18,0,31.4269,0,0,38.47,5.91,114.92,31.4269,30.27,8.74,261.1,90.84,86.75,0,133.29,15.5,0,0,0,0,0,37.33,15.5,10.34,46.5,7,0,0,0,0,0,0,0,0,0

7,01:30-01:45,36.67,0,192.34,8.41,48.08,0,0,48.08,18.18,0,31.4269,0,0,38.47,5.91,114.92,31.4269,30.27,8.74,261.1,90.84,86.75,0,133.29,15.66,0,0,0,0,0,36.67,15.67,10.34,47,7,0,0,0,0,0,0,0,0,0

8,01:45-02:00,36,0,192.34,8.41,48.08,0,0,48.08,18.18,0,31.4269,0,0,38.47,5.91,114.92,31.4269,30.27,8.74,261.1,90.84,86.75,0,133.29,15.5,0,0,0,0,0,36,15.5,10.66,46.5,7,0,0,0,0,0,0,0,0,0

