Column1,Time,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNA/NR/2025/04/01/6216,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/5285,GNA/SR/2025/04/01/2597,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/1831,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/1333,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/16/2139,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/4565,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/8510,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,11.21,18.33,41.66,0,41.67,0,55.01,0,13.67,18.33,9.62,86.73,0,9.62,12.7,28.84,14.57,72.11,2.88,72.11,2.88,52.5,260.18,4.6,6.2,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,31.29,48.08,0,0,9.62,19.23,7.73,30,22.11,30

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,11,18.17,41.34,0,41.33,0,54.49,0,13.67,18.17,9.62,86.73,0,9.62,12.7,28.84,14.57,72.11,2.88,72.11,2.88,52.5,260.18,4.6,6.2,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,31.29,48.08,0,0,9.62,19.23,7.73,30,22.11,30

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,10.8,18,41,0,41,0,54,0,13.67,18,9.62,86.73,0,9.62,12.7,28.84,14.57,72.11,2.88,72.11,2.88,52.5,260.18,4.6,6.2,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,31.29,48.08,0,0,9.62,19.23,7.73,30,22.11,30

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,10.6,17.83,40.66,0,40.67,0,53.51,0,13.33,17.83,9.62,86.73,0,9.62,12.7,28.84,14.57,72.11,2.88,72.11,2.88,52.5,260.18,4.6,6.2,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,31.29,48.08,0,0,9.62,19.23,7.73,30,22.11,30

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,13,17.67,40.34,0,40.33,0,52.99,0,13.33,17.67,9.62,86.73,0,9.62,12.7,28.84,14.57,72.11,2.88,72.11,2.88,52.5,260.18,4.52,6.2,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,31.29,48.08,0,0,9.62,19.23,7.73,30,22.11,30

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,12.21,17.67,40,0,40,0,52.99,0,13,17.67,9.62,86.73,0,9.62,12.7,28.84,14.57,72.11,2.88,72.11,2.88,52.5,260.18,4.52,6.2,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,31.29,48.08,0,0,9.62,19.23,7.73,30,22.11,30

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,17.01,17.5,39.34,0,39.33,0,52.5,0,12.67,17.5,9.62,86.73,0,9.62,12.7,28.84,14.57,72.11,2.88,72.11,2.88,52.5,260.18,4.52,6.2,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0,9.62,19.23,7.73,30,22.11,30

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,15.61,17.33,39,0,39,0,52.01,0,12.33,17.33,9.62,86.73,0,9.62,12.7,28.84,14.57,72.11,2.88,72.11,2.88,52.5,260.18,4.52,6.2,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0,9.62,19.23,7.73,30,22.11,30

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,17.21,16.33,38.34,0,38.33,0,49.01,0,12,16.33,9.62,86.73,0,9.62,12.06,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.44,4.5,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0,9.62,19.23,7.73,30,22.11,30

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,17.01,16,38,0,38,0,48,0,11.67,16,9.62,86.73,0,9.62,12.06,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.44,4.5,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0,9.62,19.23,7.73,30,22.11,30

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,16.81,16,37.34,0,37.33,0,48,0,11.67,16,9.62,86.73,0,9.62,12.06,28.84,14.57,72.11,2.88,72.11,2.88,0,260.18,4.44,4.5,0,1.92,0,271.86,2.88,114.97,0,100.17,10.41,96.15,30.78,48.08,0,0,9.62,19.23,7.73,30,22.11,30

