Block,Time,NR/23122023/31122023/HP-21,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/30092023/26122029/SH-06,NR/20122023/29022024/IEX_LDC_231218_00502,NR/26122023/26122023/HPX-TAMCTG-251223-05509,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/26122023/26122023/IEX_231225_05938,NR/23122023/31122023/HP-17,NR/25122023/27122023/IEX_231223_05926,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/23122023/31122023/SJVN231223NR1309,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,NR/23122023/31122023/SJVN231223NR1310,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,147.720000,32.750000,0.000000,0.000000,5.780000,25.990000,11.560000,0.000000,25.990000,23.110000,8.190000,0.000000,96.310000,0.000000,114.950000,192.620000,1.150000,148.970000,48.160000,158.820000,14.450000,67.420000,1.670000,0.000000,1.010000,0,0,0,0,0,8.33,0,25,0,0,0,19.67,0,23.93,5.34,0,0,0,48.16,8.34,19.67,0,0,0

2,00:15-00:30,147.720000,32.750000,0.000000,0.000000,5.780000,25.990000,11.560000,0.000000,25.990000,23.110000,8.190000,0.000000,96.310000,0.000000,114.950000,192.620000,1.150000,148.970000,48.160000,120.390000,14.450000,71.650000,1.670000,0.000000,1.010000,0,0,0,0,0,8,0,24,0,0,0,18.88,0,23.42,5.34,0,0,0,48.16,8,18.88,0,0,0

3,00:30-00:45,147.720000,32.750000,0.000000,0.000000,5.780000,25.990000,11.560000,0.000000,25.990000,23.110000,8.190000,0.000000,96.310000,0.000000,114.950000,192.620000,1.150000,148.970000,48.160000,109.790000,14.450000,71.650000,1.670000,0.000000,1.010000,0,0,0,0,0,7.67,0,23,0,0,0,18.2,0,22.63,5.34,0,0,0,48.16,7.66,18.2,0,0,0

4,00:45-01:00,147.720000,32.750000,0.000000,0.000000,5.780000,25.990000,11.560000,0.000000,25.990000,24.080000,8.190000,0.000000,96.310000,0.000000,114.950000,192.620000,1.150000,148.970000,48.160000,109.790000,14.450000,71.650000,1.670000,0.000000,1.010000,0,0,0,0,0,7.57,0,22.71,0,0,0,18.13,0,22.52,5.34,0,0,0,48.16,7.56,18.13,0,0,0

5,01:00-01:15,147.720000,32.750000,0.000000,0.000000,5.780000,25.990000,11.560000,0.000000,25.990000,24.080000,8.190000,0.000000,96.310000,0.000000,114.950000,192.620000,1.150000,148.970000,48.160000,109.790000,14.450000,71.650000,1.670000,0.000000,1.010000,0,0,0,0,0,7.35,0,22.06,0,0,0,17.67,0,22.28,5.34,0,0,0,48.16,7.35,17.67,0,0,0

