Block,Time,BSIUL,DADRT2,DULHASTI,KOTESHWR,PARBATI3,TelanganaSTPP,UNCHAHAR2,URI2,ANTA_CRF,ANTA_GF,AURY_CRF,DADRI_RF,CHAMERA2,KGSU1AND2,KKNP,KKNPPU2,NLCEXP,NNTPP,SALAL,SIMHST1,SIMHST2,CHAMERA3,JHAJJAR,KGSU3AND4,KHSTPP-I,NLCIIST1,NTPL,RIHAND1,RIHAND2,RSTPSU1TO6,SINGRAULI,TANDA2,ANTA_LF,CHAMERA1,FSTPP I & II,KUDGI,NLCTS2EXP,RAMPUR,RIHAND3,TANAKPUR,TEHRI,URI,NJPC,RAPPB,RAPPC,RSTPSU7,SEWA2,AURY_LF,KOLDAM,UNCHAHAR4,ANTA_RF,BRBCL,DHAULIGNGA,KHSTPP-II,NAPP,NLCIIST2,SINGRAULI_HYDRO,TALA,UNCHAHAR3,VALLURNTECL,AURY_GF,AURY_RF,DADRI_GF,KISHANGANGA,MAPS,SASAN,TALST2,UNCHAHAR1,DADRI_CRF,DADRI_LF
1,00:00-00:15,0,686.07,53.79,38.64,39.35,0,43.71,36.05,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,9.48,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,399.38,0,20.96,0,0

2,00:15-00:30,0,686.07,53.79,38.64,39.35,0,43.71,36.05,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

3,00:30-00:45,0,686.07,53.79,38.64,39.35,0,43.71,36.05,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

4,00:45-01:00,0,686.07,53.79,38.64,39.35,0,43.71,36.05,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

5,01:00-01:15,0,686.07,53.79,38.64,39.35,0,43.71,36.05,0,0,0,79.48,44.22,0,0,0,0,0,83.67,0,0,32.08,413.83,0,32.17,0,0,79.21,121.71,0,127.75,2.89,0,42.15,14.3,0,0,3.54,127.6,4.35,65.71,30.91,167.1,0,60.38,0,0,0,5.35,1.62,48.13,15,40.4,148.3,45.1,0,0.96,11.03,27.05,0,0,77.33,0,4.32,0,405,0,20.96,0,0

