Column1,Block,NR/2024/22535/A/33269,NR/2024/22718/C,NR/2024/22534/A/33270,NR/2024/21658/A/33222,NR/2024/22715/C,NR/2024/21943/A/33519,NR/2024/21933/A/33209,NR/2024/22042/A/33192,NR/2024/21860/A/33470,NR/2024/21956/A/33522,NR/2024/21814/A/33534,NR/2024/22498/A/33501,NR/2024/21974/A/33533,NR/2024/21938/A/33482,NR/2024/21971/A/33531,NR/2024/22014/A/33193,NR/2024/21983/A/33208,NR/2024/21961/A/33481,NR/2024/21918/A/33487,NR/2024/22279/A/33189,NR/2024/21954/A/33520,NR/2024/21940/A/33521,GNA/NR/2024/08/22/7956,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/2024/21966/A/33420,NR/2024/21911/A/33457,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/jitpl,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/22739/C,NR/2024/22719/C,NR/2024/22720/C,NR/2024/22722/C,NR/2024/22743/C,NR/2024/21968/A/33529,NR/2024/22010/A/33503,NR/2024/21970/A/33530,NR/2024/22623/A/33268,GNA/NR/2024/08/22/6290,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),Total
,,SJVNL,NVVNL,SJVNL,ITCLH,TPDDL,APPCPL,TPTCL,IEXL,TPDDL,APPCPL,NVVNL,MANIKARAN,NVVNL,PTC,NVVNL,IEXL,TPTCL,PTC,MANIKARAN,IEXL,APPCPL,APPCPL,HPXL,MANIKARAN,DELHI,INSTINCT,INSTINCT,AEL,DELHI,JITPL,APPCPL,PUNJAB,BAWANA_GAS,IEXL,NVVNL,NVVNL,IEXL,IEXL,NVVNL,MANIKARAN,NVVNL,DIAPL,PXIL,APL_Raigarh_TPP,DELHI,TPTCL,TPTCL,
,,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,MSEB_State,NA,MSEB_State,NA,KERALA_State,NA,MP_State,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,MSEB_State,KARNATAKA_STATE,Manipur_State,UTTARAKHAND_STATE,NA,MP_State,MSEB_State,NA,NA,NA,HIMACHAL_STATE,NA,Arunachal_State,DELHI_UT,DELHI_UT,KARNATAKA_STATE,NA,NA,NA,KARNATAKA_STATE,NA,GOA_State,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,
,,TPSL_BKN2,SOLAPUR_SOLAR,RSRPL_BKN,ITCWIND,JHAJJAR,AEML,ACBIL,A_A_Energy_MH_Bio,JPL2,KSEB,JPNIGRIE_JNSTPP,BLAPOWER_MP,RKM_POWER,HP,RKM_POWER,NHCPL_HP,SIMHAPURI,HP,AEML,NSLSUGAR,Manipur_Ben,UTTARAKHAND,SKS_Raigarh,BLAPOWER_MP,MSEB_Beneficiary,JPL2,JPL2,APL_Raigarh_TPP,CHANJUII,JITPL,Arunachal_Ben,BAWANA_GAS,BAWANA_GAS,PCKL,SORANG_HEP,Kameng,SKS_Raigarh,PCKL,JPL2,GOA_Beneficiary,TRN_ENERGY,GBHHPL,SKS_Raigarh,APL_Raigarh_TPP,SKS_Raigarh,SIMHAPURI,ACBIL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,MES_Delhi,NDMC,ITCLH,TPDDL,BRPL,BRPL,MES_Delhi,TPDDL,BYPL,TPDDL,BRPL,NDMC,BYPL,NDMC,MES_Delhi,BRPL,BRPL,BYPL,MES_Delhi,BRPL,BYPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,TPDDL,NDMC,BRPL,PUNJAB,HARYANA,BRPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,BRPL,NDMC,DIAPL,BRPL,BRPL,NDMC,BRPL,BRPL,
,,North-North,West-North,North-North,South-West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,North-North,South-East-North,North-North,West-North,South-East-West-North,North East-East-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,East-North,North East-East-North,North-North,North-North,South-West-North,North-North,North East-East-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,
1,00:00-00:15,0,0,0,0.63,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,125.54,96.57,12.44,48.28,24.14,1578.7300000000002

2,00:15-00:30,0,0,0,0.63,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,38.63,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,8.69,125.54,96.57,12.44,48.28,24.14,1578.7300000000002

