Block,Time,CHAMERA1,CHAMERA2,DADRT2,DHAULIGNGA,DULHASTI,JHAJJAR,KOLDAM,KOTESHWR,NAPP,RAMPUR,BSIUL,CHAMERA3,KISHANGANGA,RAPPB,NJPC,PARBATI3,RIHAND1,RIHAND3,SALAL,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,URI2,RAPPC,RIHAND2,TANDA2,UNCHAHAR3,SEWA2,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,42.14808,43.63516,689.353782,0,35.813791,661.459879,1.063965,26.13859,45.567181,0.791484,19.6614,21.118518,2.551476,0,40.951052,0,94.319983,126.520837,48.804,124.060736,1.075357,2.0496,33.066273,22.193776,43.545976,1.492324,50.232,35.798817,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,91.211347,0,0,6.41457,35.571708,0,0,73.287535,0,0,3.03,2.38,3.78,0.42,0.87,0.19,1.99,2.18,1.58,0,1.85,7.95,1.94,0,9.33,0.25,1.78,0.81,0,20.73185,15.386,46.39908,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.768183,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

2,00:15-00:30,42.14808,43.63516,689.353782,0,35.813791,661.459879,0,26.13859,45.567181,0.791484,19.6614,21.118518,2.551476,0,40.951052,0,94.319983,126.520837,48.804,124.060736,1.075357,2.0496,33.066273,22.193776,43.545976,1.492324,50.232,35.798817,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,91.211347,0,0,6.41457,35.571708,0,0,73.287535,0,0,3.03,2.38,3.78,0.42,0.87,0.19,1.99,2.18,1.59,0,1.85,7.95,1.94,0,9.33,0.25,1.78,0.81,0,20.73185,15.386,46.39908,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.768183,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

3,00:30-00:45,42.14808,43.63516,689.353782,0,35.813791,661.459879,0,26.13859,45.567181,0.791484,19.6614,21.118518,2.551476,0,40.951052,0,94.319983,126.520837,48.804,126.386875,1.075357,1.1529,33.066273,22.193776,43.545976,1.492324,50.232,34.64741,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,91.211347,0,0,6.41457,35.571708,0,0,73.287535,0,0,3.03,2.38,1.89,0.42,0.87,0.19,1.99,2.18,1.61,0,1.85,7.89,1.94,0,9.33,0.25,1.78,0.81,0,20.016,15.386,46.39908,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.768183,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

4,00:45-01:00,42.14808,43.63516,689.353782,0,35.813791,661.459879,0,26.13859,45.567181,0.791484,19.6614,21.118518,2.551476,0,40.951052,0,94.319983,126.520837,48.804,126.386875,1.075357,1.1529,33.066273,22.193776,43.545976,1.492324,52.992,34.64741,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,91.211347,0,0,6.41457,35.571708,0,0,73.287535,0,0,3.03,2.38,1.89,0.42,0.87,0.19,1.99,2.18,1.62,0,1.85,7.89,1.94,0,9.33,0.25,1.78,0.81,0,20.016,15.386,46.39908,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.768183,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

5,01:00-01:15,42.14808,29.001777,689.353782,0,35.813791,661.459879,0,26.13859,45.567181,0.791484,19.6614,21.118518,2.551476,0,40.951052,0,94.319983,126.520837,48.804,126.386875,1.075357,1.1529,33.066273,22.193776,43.545976,1.492324,52.992,34.64741,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,91.211347,0,0,6.41457,36.737993,0,0,73.287535,0,0,3.03,2.38,1.89,0.42,0.87,0.19,1.99,2.18,1.62,0,1.85,7.89,1.94,0,9.33,0.25,1.78,0.81,0,20.016,15.386,46.39908,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.768183,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

6,01:15-01:30,42.14808,29.001777,689.353782,0,35.813791,661.459879,0,26.13859,45.567181,0.791484,19.6614,21.118518,2.551476,0,40.951052,0,94.319983,126.520837,48.804,126.386875,1.075357,1.1529,33.066273,22.193776,43.545976,1.492324,50.232,34.64741,59.738476,120.694688,2.525983,26.963602,17.179062,0,6.080757,91.211347,0,0,6.41457,36.737993,0,0,73.287535,0,0,3.03,2.38,1.89,0.42,0.87,0.19,1.99,2.18,1.62,0,1.85,7.89,1.94,0,9.33,0.25,1.78,0.81,0,20.016,15.386,46.39908,147.515625,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.58016,1.870228,3.542468,3.511691,1.371098,348.975,4.2939,3.542466,2.768183,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

