Block,Time,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/20102023/20102023/HPX-TAMCTG-201023-05032,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/20102023/20102023/IEX_231020_05621,NR/01102023/31052040/LT-31,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,30.930000,118.300000,3.210000,2.840000,0.000000,101.230000,28.030000,208.760000,0.000000,74.110000,0.000000,132.600000,2.880000,0.000000,30.930000,0.000000,0.000000,7.34,7.21,0,0,7.33,15.35,0,0,15.35,0,0,22,0,7,0,0,0,0,0

2,00:15-00:30,30.930000,118.300000,3.210000,2.840000,0.000000,101.230000,28.030000,208.760000,0.000000,74.110000,0.000000,132.600000,2.880000,0.000000,30.930000,0.000000,0.000000,7.34,7.21,0,0,7.33,0,0,0,0,0,0,22,0,7,0,0,0,0,0

3,00:30-00:45,30.930000,118.300000,3.210000,2.840000,0.000000,101.230000,28.030000,208.760000,0.000000,74.110000,0.000000,132.600000,2.880000,0.000000,30.930000,0.000000,0.000000,7.34,7.21,0,0,7.33,0,0,0,0,0,0,22,0,7,0,0,0,0,0

4,00:45-01:00,30.930000,118.300000,3.210000,2.840000,0.000000,101.230000,28.030000,208.760000,0.000000,74.110000,0.000000,132.600000,2.880000,0.000000,30.930000,0.000000,0.000000,7.34,7.21,0,0,7.33,0,0,0,0,0,0,22,0,7,0,0,0,0,0

5,01:00-01:15,14.280000,118.300000,3.210000,2.840000,0.000000,101.230000,28.030000,208.760000,0.000000,74.110000,0.000000,132.600000,2.880000,0.000000,30.930000,0.000000,0.000000,7.34,7.21,0,0,7.33,0,0,0,0,0,0,22,0,7,0,0,0,0,0

