Block,Time,DADRT2,MAPS,NLCEXP,SASAN,TANAKPUR,UNCHAHAR1,KKNPPU2,NLCIIST1,RAMPUR,RIHAND2,TANDA2,URI2,AURY_LF,DADRI_CRF,CHAMERA1,CHAMERA2,KHSTPP-II,KISHANGANGA,RAPPC,DADRI_GF,KKNP,KOLDAM,NAPP,NJPC,TALA,UNCHAHAR3,CHAMERA3,DHAULIGNGA,NTPL,RIHAND3,RSTPSU7,SALAL,UNCHAHAR2,VALLURNTECL,ANTA_GF,ANTA_LF,AURY_GF,DADRI_RF,KGSU3AND4,KUDGI,SIMHST2,TEHRI,AURY_CRF,DADRI_LF,BRBCL,BSIUL,KGSU1AND2,NLCTS2EXP,PARBATI3,RIHAND1,RSTPSU1TO6,SIMHST1,SINGRAULI,SINGRAULI_HYDRO,UNCHAHAR4,ANTA_CRF,AURY_RF,DULHASTI,FSTPP I & II,JHAJJAR,KHSTPP-I,KOTESHWR,NLCIIST2,NNTPP,RAPPB,SEWA2,TALST2,TelanganaSTPP,URI,ANTA_RF
1,00:00-00:15,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,24.21,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,43.99

2,00:15-00:30,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,24.21,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,43.99

3,00:30-00:45,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.21

4,00:45-01:00,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.21

5,01:00-01:15,683.14,0,0,180,5.76,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,35.33,44.21

6,01:15-01:30,683.14,0,0,180,0,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,35.33,44.21

7,01:30-01:45,683.14,0,0,180,0,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.21

8,01:45-02:00,683.14,0,0,180,0,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.21

9,02:00-02:15,683.14,0,0,180,0,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.21

10,02:15-02:30,683.14,0,0,180,0,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,2.33,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.42

11,02:30-02:45,683.14,0,0,180,0,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,12.78,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.21

12,02:45-03:00,683.14,0,0,180,0,20.55,0,0,0,118.76,0,22.2,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,69.72,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,13.04,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.21

13,03:00-03:15,683.14,0,0,180,0,20.55,0,0,0,118.76,0,22.86,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,69.72,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.42

14,03:15-03:30,683.14,0,0,180,0,20.55,0,0,0,118.76,0,22.86,0,0,0,0,148.3,0,25.51,0,0,0,20.94,0,0,26.4,0,0,0,62.16,0,69.72,42.39,0,0,0,0,59.73,0,0,0,0,0,0,20,6.52,0,0,0,92,0,0,139.69,0.71,0,0,70.81,0,20.8,434.65,45.53,8.87,0,0,0,16.53,0,0,33.12,44.42

