Time,Block,NR/2023/18074/A/1425,NR/2023/18105/A/1458,NR/2023/18117/C,NR/2023/18113/C,WR/2023/20256/A/1504,NR/2023/17270/A,WR/2023/19446/A,WR/2023/20577/A/1502,NER/2023/1718/C,NR/2023/18118/C,NR/2023/18115/C,NR/2023/17525/A,NR/2023/18062/A/1399,Total
,,ITCLH,IEXL,SJVNL,TPDDL,MANIKARAN,GMRETL,MANIKARAN,APPCPL,IEXL,SJVNL,SJVNL,APPCPL,IEXL,Total

,,ANDHRA PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,NA,NA,DELHI,ANDHRA PRADESH,
,,ITCWIND,BSHP,BCMLB001,CHANJUII,BRPL,BYPL,BYPL,BRPL,BYPL,RSRPL_BKN,RSRPL_BKN,BYPL,SNJSUGARLTDAP,
,,DELHI,DELHI,DELHI,DELHI,GOA,RAJASTHAN,MAHARASHTRA,GOA,ARUNACHAL PRADESH,DELHI,DELHI,HIMACHAL PRADESH,DELHI,
,,ITCLH,MES (Delhi),NDMC,TPDDL,GOA_Beneficiary,RUVNL,AEML,GOA_Beneficiary,Arunachal_Ben,NDMC,NDMC,HP,MES (Delhi),
,,South-West-North,North-North,North-North,North-North,North-West,North-North,North-West,North-West,North-East-North East,North-North,North-North,North-North,South-East-North,
1,00:00-00:15,0.430000,0.960000,0.000000,2.300000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.99

2,00:15-00:30,0.430000,0.960000,0.000000,2.300000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.99

3,00:30-00:45,0.430000,0.960000,0.000000,2.300000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.99

4,00:45-01:00,0.430000,0.960000,0.000000,2.300000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.99

5,01:00-01:15,0.380000,0.960000,0.000000,2.300000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.94

6,01:15-01:30,0.380000,0.960000,0.000000,2.300000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.94

7,01:30-01:45,0.380000,0.960000,0.000000,2.300000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.94

8,01:45-02:00,0.380000,0.960000,0.000000,2.300000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.94

9,02:00-02:15,0.340000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.98

10,02:15-02:30,0.340000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.98

11,02:30-02:45,0.340000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.98

12,02:45-03:00,0.340000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.98

13,03:00-03:15,0.340000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.98

14,03:15-03:30,0.340000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.98

15,03:30-03:45,0.340000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.98

16,03:45-04:00,0.340000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,133.98

17,04:00-04:15,0.380000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,134.02

18,04:15-04:30,0.380000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,134.02

19,04:30-04:45,0.380000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,134.02

20,04:45-05:00,0.380000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,25.000000,0,0,25.490000,4.810000,134.02

21,05:00-05:15,0.380000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,0.000000,0,0,25.490000,4.810000,109.02

22,05:15-05:30,0.380000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,0.000000,0,0,25.490000,4.810000,109.02

23,05:30-05:45,0.380000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,0.000000,0,0,25.490000,4.810000,109.02

24,05:45-06:00,0.380000,0.960000,0.000000,2.380000,0.000000,0.000000,75.000000,0.000000,0.000000,0,0,25.490000,4.810000,109.02

25,06:00-06:15,0.380000,0.960000,0.000000,2.380000,0.000000,100.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,183.53

26,06:15-06:30,0.380000,0.960000,0.000000,2.380000,0.000000,100.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,183.53

27,06:30-06:45,0.380000,0.960000,0.000000,2.380000,0.000000,100.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,183.53

28,06:45-07:00,0.380000,0.960000,0.000000,2.380000,0.000000,100.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,183.53

29,07:00-07:15,0.530000,0.960000,0.000000,2.380000,0.000000,100.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,183.68

30,07:15-07:30,0.530000,0.960000,0.000000,2.380000,0.000000,100.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,183.68

31,07:30-07:45,0.530000,0.960000,0.000000,2.380000,0.000000,100.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,183.68

32,07:45:08:00,0.530000,0.960000,0.000000,2.380000,0.000000,100.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,183.68

33,08:00-08:15,0.770000,0.960000,0.000000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,133.92

34,08:15-08:30,0.770000,0.960000,0.000000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,133.92

35,08:30-08:45,0.770000,0.960000,0.000000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,133.92

36,08:45:09:00,0.770000,0.960000,0.000000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,0,0,0.000000,4.810000,133.92

37,09:00:09:15,0.770000,0.960000,8.170000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,24.71,15.86,0.000000,4.810000,182.66

38,09:15-09:30,0.770000,0.960000,8.170000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,186.79

39,09:30-09:45,0.770000,0.960000,8.170000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,186.79

40,09:45-10:00,0.770000,0.960000,8.170000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,186.79

41,10:00-10:15,0.770000,0.960000,8.170000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,186.79

42,10:15-10:30,0.770000,0.960000,8.170000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,186.79

43,10:30-10:45,0.770000,0.960000,8.170000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,186.79

44,10:45-11:00,0.770000,0.960000,8.170000,2.380000,0.000000,50.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,186.79

45,11:00-11:15,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

46,11:15-11:30,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

47,11:30-11:45,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

48,11:45-12:00,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

49,12:00-12:15,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

50,12:15-12:30,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

51,12:30-12:45,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

52,12:45-13:00,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

53,13:00-13:15,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

54,13:15-13:30,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

55,13:30-13:45,0.770000,0.960000,8.170000,2.300000,0.000000,100.000000,75.000000,0.000000,0.000000,28.84,15.86,0.000000,4.810000,236.71

