,,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,MAHARASHTRA,ANDHRA PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,NA,HIMACHAL PRADESH,GOA,MAHARASHTRA,NA,HIMACHAL PRADESH,TAMIL NADU,UTTAR PRADESH,UTTARAKHAND,NA,DELHI,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,KARNATAKA,KERALA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,WEST BENGAL,NA,NA,GOA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,DELHI,
,,B_S_ISPAT_MH,HP,GBHHPL,SHPPBPL,Meghalaya_Ben,KWHEP,CHANJUII,B_S_ISPAT_MH,ITCWIND,SHPPBPL,Meghalaya_Ben,SHPPBPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,JPL-2,SHPPBPL,GOA_Beneficiary,TPC MSEB,JPNIGRIE_JNSTPP,SHPPBPL,TANGEDCO,LAPL-UP,UTTARAKHAND,SKS Raigarh,BYPL,KSEB,SHPPBPL,HP,JP BINA,NSLSUGAR,KSEB,HP,Meghalaya_Ben,HP,IPCL_WB,JPL-2,KAMENG,GOA_Beneficiary,SKS Raigarh,SHPPBPL,ITCWIND,LMEL MSEB,TANGEDCO,GBHHPL,KAMENG,SHPPBPL,SHPPBPL,SORANG_HEP,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,
,,NDMC,BYPL,DIAPL,MHIL,BYPL,BRPL,TPDDL,NDMC,ITCLH,AISHER,BYPL,BAL224,BRPL,BYPL,BRPL,BMDRC,BRPL,BYPL,TPDDL,MAX-HPTL,BRPL,BYPL,BYPL,NDMC,ASIL_UP,BYPL,UHL,BRPL,BRPL,MES (Delhi),BRPL,BRPL,BYPL,BRPL,NDMC,TPDDL,TPDDL,BRPL,NDMC,BAL184,ITCLH,BYPL,BYPL,DIAPL,BRPL,BAL234,JHPL-DL,TPDDL,BYPL,MES (Delhi),BYPL,BRPL,BRPL,VLSEZ,
,,West-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,West-East-North,South-West-North,North-North,North East-East-North,North-North,West-North,North East-East-North,West-North,North-North,West-East-North,West-North,West-North,North-North,South-West-North,North-North,North-North,West-East-North,North-North,South-East-North,North-North,North-North,West-North,South-West-North,South-East-North,North-North,North East-East-North,North-North,East-North,West-North,North East-East-North,West-North,West-North,North-North,South-East-North,West-North,South-West-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-East,

3,00:30-00:45,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.210000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.870000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.31

4,00:45-01:00,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.210000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.870000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.31

5,01:00-01:15,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.120000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.680000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.03

6,01:15-01:30,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.120000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.680000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.03

7,01:30-01:45,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.120000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.680000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.03

8,01:45-02:00,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.120000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.680000,0.000000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2020.03

9,02:00-02:15,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.030000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,38.620000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.580000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2076.8

10,02:15-02:30,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.030000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,38.620000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.580000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2076.8

11,02:30-02:45,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.030000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,38.620000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.580000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2076.8

12,02:45-03:00,6.380000,33.310000,3.860000,0.610000,22.200000,21.530000,19.030000,0.380000,0.000000,0.870000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,1.340000,66.520000,48.270000,0.870000,23.100000,38.620000,48.270000,3.480000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,22.790000,59.280000,0.380000,0.580000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,2076.8

13,03:00-03:15,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.260000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.270000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.87

14,03:15-03:30,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.260000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.270000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.87

15,03:30-03:45,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.260000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.270000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.87

16,03:45-04:00,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.940000,0.000000,0.260000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.270000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.87

17,04:00-04:15,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.840000,0.000000,0.530000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.77

18,04:15-04:30,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.840000,0.000000,0.530000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.77

19,04:30-04:45,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.840000,0.000000,0.530000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.77

20,04:45-05:00,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,18.840000,0.000000,0.530000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,98.470000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1915.77

21,05:00-05:15,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,16.820000,0.000000,0.530000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1815.28

22,05:15-05:30,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,16.820000,0.000000,0.530000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1815.28

23,05:30-05:45,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,16.820000,0.000000,0.530000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1815.28

24,05:45-06:00,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,16.820000,0.000000,0.530000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,48.270000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1815.28

25,06:00-06:15,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,16.820000,0.000000,0.680000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0.6,0,1.4,0.000000,1449.82

26,06:15-06:30,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,16.820000,0.000000,0.680000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0.1,2.7,0,6.3,0.000000,1456.92

27,06:30-06:45,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,16.820000,0.000000,0.680000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0.51,4.5,0,10.5,0.000000,1463.33

28,06:45-07:00,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,16.820000,0.000000,0.680000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0.89,7.5,0,17.5,0.000000,1473.71

29,07:00-07:15,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,16.820000,0.000000,0.680000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,4.830000,21.240000,0.950000,1.010000,45.370000,0,1.31,10.5,0,24.5,0.000000,1484.14

30,07:15-07:30,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,16.820000,0.000000,0.680000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,4.830000,21.240000,0.950000,1.010000,45.370000,3,1.77,10.5,7,24.5,0.000000,1494.6

31,07:30-07:45,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,16.820000,0.000000,0.680000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,4.830000,21.240000,0.950000,1.010000,45.370000,0,2.32,15,0,35,0.000000,1500.15

32,07:45:08:00,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,16.820000,0.000000,0.680000,0.870000,24.140000,0.520000,84.940000,0.000000,257.760000,0.930000,0.000000,0.000000,48.270000,0.870000,0.000000,38.620000,48.270000,0.000000,0.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,4.830000,21.240000,0.950000,1.010000,45.370000,3,2.79,15,7,35,0.000000,1510.62

33,08:00-08:15,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,4.830000,21.240000,0.950000,1.010000,45.370000,6,2.34,18,14,42,0.000000,1562.66

34,08:15-08:30,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,4.830000,21.240000,0.950000,1.010000,45.370000,9,2.34,19.5,21,45.5,0.000000,1577.66

35,08:30-08:45,6.760000,0.000000,0.970000,0.610000,22.200000,21.530000,18.760000,0.000000,0.970000,0.970000,24.140000,0.520000,84.940000,0.000000,257.760000,0.980000,0.000000,0.000000,48.270000,0.980000,0.000000,38.620000,48.270000,0.000000,30.000000,7.720000,0.610000,0.000000,42.470000,4.830000,15.760000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,24.140000,62.750000,0.380000,0.000000,18.340000,0.000000,4.830000,21.240000,0.950000,1.010000,45.370000,12.3,2.34,22.5,28.7,52.5,65.000000,1663.66

