Block,Time,JHAJJAR,KHSTPP-II,NAPP,NTPL,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR1,BRBCL,BSIUL,CHAMERA2,DULHASTI,RAPPD,RSTPSU1TO6,SIMHST1,SINGRAULI,TALA,TelanganaSTPP,CHAMERA1,FSTPP I & II,KGSU3AND4,KHSTPP-I,KOTESHWR,NLCEXP,RIHAND1,SASAN,TANAKPUR,TANDA2,URI,ANTA_RF,DADRI_CRF,DADRI_GF,MAPS,NJPC,RAPPB,UNCHAHAR3,VALLURNTECL,ANTA_CRF,AURY_RF,KGSU1AND2,NLCIIST1,NLCIIST2,RAMPUR,SEWA2,TEHRI,TEHRIPSP,URI2,AURY_GF,DADRI_LF,KISHANGANGA,KKNP,KUDGI,NLCTS2EXP,NNTPP,PARBATI3,RIHAND3,UNCHAHAR2,AURY_CRF,DADRI_RF,DADRT2,DHAULIGNGA,KOLDAM,PARBATI2,RAPPC,RSTPSU7,TALST2,UNCHAHAR4,AURY_LF,CHAMERA3,KKNPPU2,RIHAND2,SALAL,ANTA_GF,ANTA_LF
1,00:00-00:15,667.25,98.87,24.62,0,0,0,21.25,24.99,0,0,55.38,24.16,0,0,98.76,21.17,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,52.99,52.09,0,0,0,175.79,0,27.09,0,0,80.91,0,0,0,5.7,18.34,69.7,177.18,37.42,0,0,6.96,0,0,0,0,0,130.84,43.7,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,1.62,0,0,0,125.27,0,0,0

2,00:15-00:30,667.25,98.87,24.62,0,0,0,21.25,24.99,0,0,55.38,24.16,0,0,98.76,21.17,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,52.99,52.09,0,0,0,175.79,0,27.09,0,0,80.91,0,0,0,5.7,18.34,69.7,177.18,37.42,0,0,6.96,0,0,0,0,0,130.84,43.7,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,1.62,0,0,0,125.27,0,0,0

3,00:30-00:45,667.25,98.87,24.62,0,0,0,21.25,24.99,0,0,55.38,24.16,0,0,98.76,21.17,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,52.99,52.09,0,0,0,175.79,0,27.09,0,0,80.91,0,0,0,5.7,18.34,69.7,88.59,31.17,0,0,6.96,0,0,0,0,0,130.84,43.7,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,1.62,0,0,0,125.27,0,0,0

4,00:45-01:00,667.25,98.87,24.62,0,0,0,21.27,24.99,0,0,55.38,24.16,0,0,98.76,21.17,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,52.99,52.09,0,0,0,175.79,0,27,0,0,80.91,0,0,0,5.7,18.34,69.7,0,31.17,0,0,6.96,0,0,0,0,0,130.84,43.62,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,1.52,0,0,0,125.27,0,0,0

5,01:00-01:15,667.25,98.87,24.62,0,0,0,21.65,24.99,0,0,55.38,24.16,0,0,98.76,21.17,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,46.37,52.34,0,0,0,175.79,0,27.29,0,0,80.91,0,0,0,5.7,18.34,69.7,0,37.42,0,0,6.96,0,0,0,0,0,130.84,45,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,2.05,0,0,0,125.27,0,0,0

6,01:15-01:30,667.25,98.87,24.62,0,0,0,21.65,24.99,0,0,55.38,24.16,0,0,98.76,21.48,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,46.37,52.34,0,0,0,175.79,0,27.69,0,0,80.91,0,0,0,5.7,18.34,69.7,0,37.42,0,0,6.96,0,0,0,0,0,130.84,45,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,1.52,0,0,0,125.27,0,0,0

7,01:30-01:45,667.25,98.87,24.62,0,0,0,21.65,24.99,0,0,55.38,24.16,0,0,98.76,20.89,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,46.37,52.34,0,0,0,175.79,0,27.69,0,0,80.91,0,0,0,5.7,18.34,69.7,0,31.17,0,0,6.96,0,0,0,0,0,130.84,45,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,2.05,0,0,0,125.27,0,0,0

8,01:45-02:00,667.25,98.87,24.62,0,0,0,21.65,24.99,0,0,55.38,24.16,0,0,98.76,20.89,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,46.37,52.34,0,0,0,175.79,0,27.69,0,0,80.91,0,0,0,5.7,18.34,69.7,0,31.17,0,0,6.96,0,0,0,0,0,130.84,45,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,3.22,0,0,0,125.27,0,0,0

9,02:00-02:15,667.25,98.87,24.62,0,0,0,21.65,24.99,0,0,55.38,24.16,0,0,98.76,20.89,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,46.37,52.59,0,0,0,175.79,0,27.69,0,0,80.91,0,0,0,5.7,18.34,69.7,0,37.42,0,0,6.96,0,0,0,0,0,130.84,45,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,3.22,0,0,0,125.27,0,0,0

10,02:15-02:30,667.25,98.87,24.62,0,0,0,21.65,24.99,0,0,55.38,24.16,0,0,98.76,20.89,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,46.37,52.59,0,0,0,175.79,0,27.69,0,0,80.91,0,0,0,5.7,18.34,69.7,0,37.42,0,0,6.96,0,0,0,0,0,130.84,45,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,3.22,0,0,0,125.27,0,0,0

11,02:30-02:45,667.25,98.87,24.62,0,0,0,21.65,24.99,0,0,55.38,24.16,0,0,98.76,22.07,0,42.15,17.38,0,45.53,30.43,0,98.32,413.44,13.06,5.73,46.37,52.59,0,0,0,175.79,0,27.69,0,0,80.91,0,0,0,5.7,18.34,69.7,0,31.17,0,0,6.96,0,0,0,0,0,130.84,45,0,105.39,689.38,42.46,8.62,24.63,65.59,0,0,3.22,0,0,0,125.27,0,0,0

