Column1,Block,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1899,NR/2024/24295/C,NR/2024/24071/A/45595,NR/2024/24097/A/45590,NR/30092023/26122029/SH-06,NR/2024/23952/A/45680,GNA/NR/2024/12/01/7739,NR/2024/24296/C,NR/2024/24052/A/45596,NR/2024/24060/A/45789,NR/2024/24297/C,NR/2024/24051/A/45597,NR/2024/24146/A/45586,NER/2024/2770/A/45759,WR/2024/25054/A/45766,NR/2024/24088/A/45592,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1599,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,Total
,,NDMC,NDMC,SJVNL,IEXL,IEXL,PUNJAB,ITCLH,PTC,SJVNL,IEXL,NVVNL,SJVNL,IEXL,IEXL,APPCPL,APPCPL,IEXL,KSEB,PTC,BAWANA_GAS,MANIKARAN,APPCPL,NDMC,DELHI,NDMC,NDMC,
,,NA,NA,NA,NA,KARNATAKA_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,KARNATAKA_STATE,TELANGANA_State,NA,KARNATAKA_STATE,TELANGANA_State,MP_State,DELHI_UT,DELHI_UT,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,
,,RKM_POWER,TRN_ENERGY,TPSL_BKN2,TESPL_BKN2,NSLSUGARALAND,BAWANA_GAS,ITCWIND,BYPL,RENUKASUGARSATHANI,NSLKSLWPRTY,JITPL,RENUKASUGARSHAVALGA,NSLKSLWPRTY,NSPLN_MP,BYPL,BRPL,NSLSTUNGBHDRA,BYPL,BRPL,BAWANA_GAS,BRPL,BYPL,JPL2,CHANJUII,RKM_POWER,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,GOA_State,DELHI_UT,KERALA_State,HIMACHAL_STATE,HARYANA_STATE,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,MES_Delhi,MES_Delhi,PUNJAB,ITCLH,HP,NDMC,MES_Delhi,NDMC,NDMC,MES_Delhi,MES_Delhi,Manipur_Ben,GOA_Beneficiary,MES_Delhi,KSEB,HP,HARYANA,AEML,AEML,NDMC,TPDDL,NDMC,NDMC,
,,West-North,West-North,North-North,North-North,South-West-North,North-North,South-West-North,North-North,South-West-North,South-West-North,East-North,South-West-North,South-West-North,West-North,North-East-North East,North-West,South-West-North,North-West-South,North-North,North-North,North-West,North-West,West-North,North-North,West-North,West-North,
1,00:00-00:15,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,409.04

2,00:15-00:30,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,409.04

3,00:30-00:45,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,409.04

4,00:45-01:00,25.97,8.66,0,0,7.69,0,0.43,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,409.04

5,01:00-01:15,25.97,8.66,0,0,7.69,0,0.38,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,408.98999999999995

6,01:15-01:30,25.97,8.66,0,0,7.69,0,0.38,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,408.98999999999995

7,01:30-01:45,25.97,8.66,0,0,7.69,0,0.38,31.71,0,2.89,17.31,0,0,5.77,0,0,0.96,150,95.13,0,0,0,25.97,1.92,25.97,8.66,408.98999999999995

