Block,Time,BRBCL,BSIUL,CHAMERA1,KOTESHWR,NLCTS2EXP,NNTPP,SIMHST1,AURY_CRF,DADRI_GF,KOLDAM,MAPS,NJPC,RSTPSU1TO6,URI,VALLURNTECL,DADRI_LF,DHAULIGNGA,DULHASTI,KGSU3AND4,NAPP,PARBATI3,SEWA2,SINGRAULI,TALST2,TelanganaSTPP,UNCHAHAR1,DADRI_CRF,DADRI_RF,JHAJJAR,KGSU1AND2,KHSTPP-II,NLCIIST2,RAMPUR,RAPPB,SIMHST2,UNCHAHAR3,UNCHAHAR4,ANTA_LF,ANTA_RF,NLCEXP,RIHAND1,RSTPSU7,SASAN,TANAKPUR,URI2,CHAMERA2,CHAMERA3,DADRT2,KHSTPP-I,RAPPC,RIHAND2,RIHAND3,SALAL,TANDA2,AURY_GF,AURY_LF,FSTPP I & II,KISHANGANGA,KKNPPU2,NTPL,TALA,UNCHAHAR2,ANTA_CRF,KKNP,KUDGI,NLCIIST1,SINGRAULI_HYDRO,TEHRI,ANTA_GF,AURY_RF
1,00:00-00:15,20,0,0,8.88,0,0,0,0,0,0,0,0,0,1.11,0,23.57,0,0,0,44.32,0,0,125.96,0,0,20.56,0,69.59,654.3,0,148.3,0,0,0,0,26.39,0,0,44.83,0,92,0,348.98,0,4.31,0,0,683.14,33.99,54.06,118.75,124.32,1.4,0,0,0,18.2,0,0,0,0,42.39,0,0,0,0,0,0,0,71.46

2,00:15-00:30,20,0,0,8.88,0,0,0,0,0,0,0,0,0,1.11,0,23.57,0,0,0,44.32,0,0,125.96,0,0,20.56,0,69.59,654.3,0,148.3,0,0,0,0,26.39,0,0,44.83,0,92,0,348.98,0,4.31,0,0,683.14,33.99,54.06,118.75,124.32,1.4,0,0,0,18.2,0,0,0,0,42.39,0,0,0,0,0,0,0,71.46

3,00:30-00:45,20,0,0,8.88,0,0,0,0,0,0,0,20.83,0,1.11,0,23.57,0,0,0,44.32,0,0,125.96,0,0,20.56,0,69.59,654.3,0,148.3,0,0,0,0,26.39,0,0,44.83,0,92,0,348.98,0,4.31,0,0,683.14,33.99,54.06,118.75,124.32,1.4,0,0,0,18.2,0,0,0,0,42.39,0,0,0,0,0,0,0,71.46

4,00:45-01:00,20,0,0,8.88,0,0,0,0,0,0,0,20.83,0,1.11,0,23.57,0,0,0,44.32,0,0,125.96,0,0,20.56,0,69.59,654.3,0,148.3,0,0,0,0,26.39,0,0,44.83,0,92,0,348.98,0,4.31,0,0,683.14,33.99,54.06,118.75,124.32,1.4,0,0,0,18.2,0,0,0,0,42.39,0,0,0,0,0,0,0,71.46

5,01:00-01:15,20,0,0,8.88,0,0,0,0,0,0,0,20.83,0,2.21,0,23.57,0,0,0,44.32,0,0,125.96,0,0,20.56,0,69.59,654.3,0,148.3,0,0,0,0,26.39,0,0,44.83,0,92,0,348.98,5.76,4.31,0,0,683.14,33.99,54.06,118.75,124.32,1.4,0,0,0,18.2,0,0,0,0,42.39,0,0,0,0,0,0,0,71.46

6,01:15-01:30,20,0,0,8.88,0,0,0,0,0,0,0,20.83,0,2.21,0,23.57,0,0,0,44.32,0,0,125.96,0,0,20.56,0,69.59,654.3,0,148.3,0,0,0,0,26.39,0,0,44.83,0,92,0,348.98,5.76,4.31,0,0,683.14,33.99,54.06,118.75,124.32,1.4,0,0,0,18.2,0,0,0,0,42.39,0,0,0,0,0,0,0,71.46

7,01:30-01:45,20,0,0,8.88,0,0,0,0,0,0,0,20.83,0,2.21,0,23.57,0,0,0,44.32,0,0,125.96,0,0,20.56,0,69.59,654.3,0,148.3,0,0,0,0,26.39,0,0,44.83,0,92,0,348.98,0.25,4.31,0,0,683.14,33.99,54.06,118.75,124.32,1.4,0,0,0,18.2,0,0,0,0,42.39,0,0,0,0,0,0,0,71.46

8,01:45-02:00,20,0,0,8.88,0,0,0,0,0,0,0,20.83,0,2.21,0,23.57,0,0,0,44.32,0,0,125.96,0,0,20.56,0,69.59,654.3,0,148.3,0,0,0,0,26.39,0,0,44.83,0,92,0,348.98,0.25,4.31,0,0,683.14,33.99,54.06,118.75,124.32,1.4,0,0,0,18.2,0,0,0,0,42.39,0,0,0,0,0,0,0,71.46

