Block,Time,FSTPP I & II,KKNPPU2,NLCTS2EXP,RIHAND3,SINGRAULI,URI,URI2,ANTA_GF,AURY_CRF,DADRI_GF,KKNP,PARBATI3,RAPPC,SASAN,SEWA2,UNCHAHAR4,VALLURNTECL,CHAMERA2,CHAMERA3,KGSU3AND4,NLCIIST1,RAMPUR,SIMHST1,SIMHST2,TALA,UNCHAHAR1,ANTA_CRF,AURY_GF,AURY_RF,DADRI_CRF,MAPS,NNTPP,RIHAND1,RIHAND2,SINGRAULI_HYDRO,TANAKPUR,DADRI_RF,DADRT2,DHAULIGNGA,KOTESHWR,RSTPSU1TO6,RSTPSU7,SALAL,TALST2,UNCHAHAR2,UNCHAHAR3,BRBCL,BSIUL,KHSTPP-I,KISHANGANGA,KOLDAM,NAPP,AURY_LF,CHAMERA1,DULHASTI,JHAJJAR,KGSU1AND2,KHSTPP-II,NJPC,NTPL,ANTA_RF,KUDGI,NLCEXP,NLCIIST2,RAPPB,TANDA2,TEHRI,TelanganaSTPP,ANTA_LF,DADRI_LF
1,00:00-00:15,20.8,0,0,124.32,139.68,2.21,4.57,0,0,0,0,0,51.9,418.77,0,0,0,2,0,0,0,0,0,0,0,20.56,0,0,69.5,0,0,0,92,118.76,0,12.56,66.85,341.57,1.32,8.87,0,0,12.78,0,42.4,26.39,15,0,44.31,0,0,41.76,0,0,32.96,654.31,0,148.3,21.78,0,42.74,0,0,0,0,0,14.93,0,0,21.92

2,00:15-00:30,20.8,0,0,124.32,139.68,2.21,4.57,0,0,0,0,0,51.9,418.77,0,0,0,2,0,0,0,0,0,0,0,20.56,0,0,69.5,0,0,0,92,118.76,0,12.56,66.85,341.57,1.32,8.87,0,0,26.73,0,42.4,26.39,15,0,44.31,0,0,41.76,0,0,32.96,654.31,0,148.3,21.78,0,42.74,0,0,0,0,0,14.93,0,0,21.92

3,00:30-00:45,20.8,0,0,124.32,139.68,2.21,4.57,0,0,0,0,0,51.9,418.77,0,0,0,2,0,0,0,0,0,0,0,20.56,0,0,69.5,0,0,0,92,118.76,0,7.68,66.85,341.57,1.32,8.87,0,0,79.38,0,42.4,26.39,15,0,44.31,0,0,41.76,0,0,16.48,654.31,0,148.3,21.78,0,42.74,0,0,0,0,0,14.93,0,0,21.92

4,00:45-01:00,20.8,0,0,124.32,139.68,2.21,4.57,0,0,0,0,0,51.9,418.77,0,0,0,2,0,0,0,0,0,0,0,20.56,0,0,69.5,0,0,0,92,118.76,0,7.68,66.85,341.57,1.32,8.87,0,0,79.38,0,42.4,26.39,15,0,44.31,0,0,41.76,0,0,16.48,654.31,0,148.3,21.78,0,42.74,0,0,0,0,0,14.93,0,0,21.92

5,01:00-01:15,20.8,0,0,124.32,139.68,2.21,4.57,0,0,0,0,0,51.9,418.77,0,0,0,2,0,0,0,0,0,0,0,20.56,0,0,69.5,0,0,0,92,118.76,0,7.68,66.85,341.57,1.32,8.87,0,0,79.38,0,42.4,26.39,15,0,44.31,0,0,41.76,0,0,16.48,654.31,0,148.3,21.78,0,42.74,0,0,0,0,0,14.93,0,0,21.92

