Block,Time,NR/01112023/30112023/HP-10,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01112023/30112023/HP-09,NR/03112023/30112023/IEX-231101-05680,NR/01102023/22052037/LT-59,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,WR/01102023/30052048/L_NR_2022_10,NR/02112023/15112023/D20231102NR21539,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/30042040/GNA_LT_36,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,93.630000,2.000000,101.200000,26.090000,0.000000,2.460000,0.000000,67.630000,48.310000,0.000000,27.050000,38.280000,48.310000,1.860000,271.740000,26.090000,49.930000,11.67,48.310000,7,0,8.46,0,0,261.450000,7.25,0,0,0,0.000000,11.67,21.76,0,0,0,0,7.26,144.93,0,0,0,0

2,00:15-00:30,93.630000,2.000000,101.200000,26.090000,0.000000,2.460000,0.000000,67.630000,48.310000,0.000000,27.050000,38.280000,48.310000,1.860000,231.890000,26.090000,49.930000,11.67,48.310000,7,0,8.34,0,0,213.140000,7.28,0,0,0,0.000000,11.67,21.84,0,0,0,0,7.28,144.93,0,0,0,0

3,00:30-00:45,93.630000,2.000000,101.200000,26.090000,0.000000,2.460000,0.000000,67.630000,48.310000,0.000000,27.050000,38.280000,48.310000,1.860000,231.890000,26.090000,49.930000,11.67,48.310000,7,0,8,0,0,205.710000,7.38,0,0,0,0.000000,11.67,22.13,0,0,0,0,7.36,144.93,0,0,0,0

4,00:45-01:00,93.630000,2.000000,101.200000,26.090000,0.000000,2.460000,0.000000,67.630000,48.310000,0.000000,27.050000,38.280000,48.310000,1.860000,231.890000,26.090000,49.930000,11.67,48.310000,7,0,12.65,0,0,205.710000,7.44,0,0,0,0.000000,11.67,22.33,0,0,0,0,7.44,144.93,0,0,0,0

5,01:00-01:15,93.630000,2.000000,72.210000,26.090000,0.000000,2.460000,0.000000,67.630000,48.310000,0.000000,27.050000,38.280000,48.310000,1.860000,231.890000,26.090000,49.930000,11.67,48.310000,7.44,0,12.26,0,0,170.270000,7.52,0,0,0,0.000000,11.67,22.56,0,0,0,0,7.51,144.93,0,0,0,0

