Block,Time Block,DULHASTI,PARBATI2,CHAMERA3,DHAULIGNGA,DADRT2,FSTPP I & II,KOTESHWR,KOLDAM,CHAMERA1,BSIUL,BRBCL,CHAMERA2,RIHAND3,RIHAND2,RIHAND1,TEHRIPSP,TANDA2,TEHRI,TelanganaSTPP,PARBATI3,RAPPD,RAPPB,RAMPUR,RAPPC,KISHANGANGA,KHSTPP-II,KUDGI,NLCEXP,NLCIIST1,MAPS,NJPC,NTPL,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,KGSU3AND4,KHSTPP-I,KKNP,KKNPPU2,JHAJJAR,KGSU1AND2,RSTPSU7,SIMHST1,SALAL,RSTPSU1TO6,SEWA2,SASAN,TALST2,TANAKPUR,SINGRAULI_HYDRO,TALA,SIMHST2,SINGRAULI,DADRI_GF,DADRI_RF,DADRI_LF,ANTA_LF,AURY_GF,URI2,UNCHAHAR3,ANTA_GF,AURY_CRF,AURY_RF,UNCHAHAR2,URI,ANTA_CRF,DADRI_CRF,ANTA_RF,AURY_LF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,56.87,56.16,33.95,42.42,528.85,20.12,20.2,10.3,40.78,12.61,13.47,47.31,89.36,122.04,95.84,50.3,6.1,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,290.24,0,0,0,82.63,0,0,405.12,0,8.06,1.13,12.23,0,147.48,0,0,0,0,0,36.92,26.99,0,0,0,43.13,49.67,0,0,0,0,21.12,2.31,0,0,0,0,0,0

2,00:15-00:30,56.87,56.16,33.95,42.42,528.85,20.12,20.2,10.3,40.78,12.61,13.5,47.31,89.36,122.04,95.84,50.3,6.1,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,343.63,0,0,0,82.63,0,0,405.12,0,8.06,1.13,12.23,0,147.48,0,0,0,0,0,36.92,26.99,0,0,0,43.13,49.67,0,0,0,0,21.12,2.31,0,0,0,0,0,0

3,00:30-00:45,56.87,56.16,33.95,42.42,528.85,20.12,20.2,10.3,40.78,12.61,13.45,47.31,89.36,122.04,95.84,50.3,6.1,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,416.67,0,0,0,82.63,0,0,405.12,0,8.06,1.13,12.23,0,147.48,0,0,0,0,0,36.92,26.99,0,0,0,43.13,49.67,0,0,0,0,21.12,2.18,0,0,0,0,0,0

4,00:45-01:00,56.87,56.16,33.95,42.42,528.85,20.12,20.2,10.3,40.78,12.61,13.45,47.31,89.36,122.04,95.84,50.3,6.1,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,415.07,0,0,0,82.63,0,0,405.12,0,8.06,1.13,12.23,0,147.48,0,0,0,0,0,36.92,26.99,0,0,0,43.13,49.67,0,0,0,0,21.12,2.18,0,0,0,0,0,0

5,01:00-01:15,56.87,56.16,33.95,42.42,489.62,17.35,10.1,10.3,40.78,12.61,13.42,47.31,89.36,122.04,95.84,50.3,6.1,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,38.21,0,0,306.27,0,0,0,82.63,0,0,405.12,0,8.06,1.13,12.23,0,147.48,0,0,0,0,0,36.92,23.47,0,0,0,37.47,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

6,01:15-01:30,56.87,56.16,33.95,42.42,452.86,18.05,10.1,10.3,40.78,12.61,13.39,47.31,89.36,122.04,95.84,50.3,6.1,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,199.86,0,0,0,82.63,0,0,405.12,0,8.06,1.13,12.23,0,147.48,0,0,0,0,0,36.92,23.47,0,0,0,37.47,49.67,0,0,0,0,18.28,2.31,0,0,0,0,0,0

7,01:30-01:45,56.87,56.16,33.95,42.42,412.23,20.12,10.1,10.3,40.78,12.61,13.35,47.31,89.36,122.04,95.84,0,6.1,28.71,0,66.91,24.71,0,6.81,66,8.43,143.47,0,0,0,0,175.25,0,0,0,24.08,0,0,44.28,0,0,145.72,0,0,0,82.63,0,0,405.12,0,8.06,1.13,12.23,0,147.48,0,0,0,0,0,36.92,26.99,0,0,0,43.13,49.67,0,0,0,0,21.12,2.31,0,0,0,0,0,0

