Time,Block,NR/2023/17270/A,WR/2023/20256/A/1531,NR/2023/18121/C,NR/2023/18123/C,NR/2023/18062/A/1436,NR/2023/18105/A/1459,NR/2023/18122/C,NR/2023/18120/C,WR/2023/19446/A,WR/2023/20577/A/1527,NR/2023/17525/A,NR/2023/18074/A/1434,NER/2023/1720/C,Total
,,GMRETL,MANIKARAN,SJVNL,SJVNL,IEXL,IEXL,SJVNL,TPDDL,MANIKARAN,APPCPL,APPCPL,ITCLH,IEXL,Total

,,DELHI,DELHI,NA,NA,ANDHRA PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,ANDHRA PRADESH,DELHI,
,,BYPL,BRPL,RSRPL_BKN,RSRPL_BKN,SNJSUGARLTDAP,BSHP,BCMLB001,CHANJUII,BYPL,BRPL,BYPL,ITCWIND,BYPL,
,,RAJASTHAN,GOA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,MAHARASHTRA,GOA,HIMACHAL PRADESH,DELHI,ARUNACHAL PRADESH,
,,RUVNL,GOA_Beneficiary,NDMC,NDMC,MES (Delhi),MES (Delhi),NDMC,TPDDL,AEML,GOA_Beneficiary,HP,ITCLH,Arunachal_Ben,
,,North-North,North-West,North-North,North-North,South-East-North,North-North,North-North,North-North,North-West,North-West,North-North,South-West-North,North-East-North East,
1,00:00-00:15,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.430000,25.000000,133.99

2,00:15-00:30,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.430000,25.000000,133.99

3,00:30-00:45,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.430000,25.000000,133.99

4,00:45-01:00,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.430000,25.000000,133.99

5,01:00-01:15,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.380000,25.000000,133.94

6,01:15-01:30,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.380000,25.000000,133.94

7,01:30-01:45,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.380000,25.000000,133.94

8,01:45-02:00,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.380000,25.000000,133.94

9,02:00-02:15,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.340000,25.000000,133.9

10,02:15-02:30,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.340000,25.000000,133.9

11,02:30-02:45,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.340000,25.000000,133.9

12,02:45-03:00,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.340000,25.000000,133.9

13,03:00-03:15,0.000000,0.000000,0,0,4.810000,0.960000,0.000000,2.300000,75.000000,0.000000,25.490000,0.340000,25.000000,133.9

