Time,Block,NR/01102023/02012046/L_NR_2021_17,NR/2024/21752/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21089/A/28362,NR/2024/21113/A/28361,NR/2024/21210/A/28088,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21152/A/28055,NR/2024/21144/A/28139,NR/2024/21072/A/28363,NR/2024/21763/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/30092023/31122025/SH-07,NR/2024/20931/A/28316,NR/2024/21754/C,NR/2024/21099/A/28091,NR/2024/21150/A/28149,NR/2024/21146/A/28152,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21694/A/28378,NR/2024/21141/A/28090,NR/2024/21567/A/28360,NR/22072024/22072024/IEX_240721_01662,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20688/A/28268,NR/2024/21087/A/28266,NR/2024/21160/A/28153,NR/2024/20711/A/28442,NR/2024/21238/A/28405,NR/2024/21199/A/28111,NR/2024/21076/A/28399,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/R2,NR/22072024/22072024/IEX_240721_01661,NR/2024/21156/A/28147,NR/30092023/26122029/SH-06,NR/2024/21183/A/28400,NR/2024/21108/A/28385,NR/2024/21764/C,NR/2024/20574/A/28352,NR/2024/21339/A/28083,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21173/A/28267,NR/2024/21159/A/28154,NR/2024/21148/A/28148,NR/2024/21103/A/28387,NR/2024/21153/A/28146,NR/2024/21023/A/28112,NR/2024/21096/A/28388,NR/2024/20573/A/28353,NR/2024/21142/A/28089,NR/2024/21062/A/28348,NR/2024/19779/A/28050,NR/2024/21227/A/28386,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20966/A/28056,NR/2024/21682/A/28441,NR/2024/21715/A/28273,NR/2024/21075/A/28403,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21158/A/28155,NR/2024/21186/A/28372,Total
,,SECI_Trader,NVVNL,SECI_Trader,TPTCL,TPDDL,NVVNL,NVVNL,TPTCL,TPTCL,IEXL,DTCP,NVVNL,HPXL,AEL,BAWANA_GAS,AEL,NVVNL,TPTCL,BAL234,BAL184,APPCPL,NDMC,APPCPL,TPTCL,NVVNL,IEXL,INSTINCT,GMRETL,GMRETL,BMDRC,TPDDL,MANIKARAN,INSTINCT,MANIKARAN,DELHI,PTC,IEXL,UHL,PUNJAB,MANIKARAN,APPCPL,IEXL,PTC,TPTCL,INSTINCT,GMRETL,MHIL,BAL224,APPCPL,JHPL-DL,INSTINCT,APPCPL,PTC,TPTCL,PTC,ITCLH,APPCPL,MEJA,IEXL,TPDDL,DIAPL,MANIKARAN,NDMC,MSSH,NVVNL,Total

,,NA,NA,NA,NA,HIMACHAL PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,DELHI,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,NAGALAND,MAHARASHTRA,NA,KARNATAKA,MAHARASHTRA,RAJASTHAN,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,TAMIL NADU,MAHARASHTRA,MAHARASHTRA,MAHARASHTRA,NA,KARNATAKA,HIMACHAL PRADESH,DELHI,MP,MANIPUR,NA,HIMACHAL PRADESH,NA,NA,ODISHA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTARAKHAND,HIMACHAL PRADESH,NA,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ANDHRA PRADESH,NAGALAND,UTTAR PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,GOA,NA,HIMACHAL PRADESH,MP,
,,SBSRPC11PL_BKN,SOLAPUR_SOLAR,SBSRPC11PL_BKN,MPL,CHANJUII,RKM_POWER,JPL-2,SIMHAPURI,JITPL,NHCPL_HP,SHPPBPL,RKM_POWER,GBHHPL,APL_Raigarh TPP,BAWANA_GAS,APL_Raigarh TPP,KAMENG,ACBIL,SHPPBPL,SHPPBPL,Arunachal_Ben,SKS Raigarh,Nagaland_Ben,TPC MSEB,TRN_ENERGY,JSWEL,JPL_DHULE,RUVNL,GBHHPL,SHPPBPL,JPL-2,MMS STEEL TN,JPL_DHULE,AEML,MSEB_Beneficiary,SEILP2,KPTCL,SHPPBPL,BAWANA_GAS,BLAPOWER_MP,Manipur_Ben,KWHEP,HP,JITPL,JPL,GMRKEL (STU),SHPPBPL,SHPPBPL,UTTARAKHAND,SHPPBPL,JPL,KSEB,HP,HP-GOVT,SEILP2,ITCWIND,Nagaland_Ben,MEJA,A_A_Energy_MH_Bio,JHAJJAR,GBHHPL,GOA_Beneficiary,JITPL,SHPPBPL,JP BINA,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,MES (Delhi),TPDDL,TPDDL,TPDDL,NDMC,NDMC,BRPL,BRPL,MES (Delhi),DTCP,NDMC,BYPL,BRPL,HARYANA,BRPL,TPDDL,BRPL,BAL234,BAL184,BRPL,NDMC,BYPL,BYPL,NDMC,TPDDL,BRPL,BYPL,BRPL,BMDRC,TPDDL,BRPL,BRPL,BYPL,TPDDL,BRPL,BRPL,UHL,PUNJAB,BRPL,BRPL,TPDDL,BYPL,BRPL,BRPL,BRPL,MHIL,BAL224,BYPL,JHPL-DL,BRPL,BYPL,BRPL,BRPL,BRPL,ITCLH,BYPL,DELHI,MES (Delhi),TPDDL,DIAPL,BRPL,NDMC,MSSH,TPDDL,
,,North-North,West-North,North-North,East-North,North-North,West-North,West-North,South-West-North,East-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,North East-East-North,West-North,North-North,North-North,North East-East-North,West-North,North East-East-North,West-North,West-North,South-West-North,West-North,North-North,North-North,North-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,South-West-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,East-North,West-North,East-North,North-North,North-North,North-North,North-North,West-North,South-West-North,North-North,North-North,South-East-North,South-West-North,North East-East-North,North-North,West-North,North-North,North-North,West-North,East-North,North-North,West-North,
1,00:00-00:15,0,0,0,0.000000,14.090000,37.260000,37.260000,18.390000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,1.100000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,25.750000,18.090000,48.230000,0.000000,0.630000,12.200000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1889.53

2,00:15-00:30,0,0,0,0.000000,14.090000,37.260000,37.260000,15.010000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,32.000000,0.000000,164.220000,24.120000,0.880000,0.360000,38.580000,12.420000,0.000000,47.710000,12.420000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,0.900000,0.000000,90.670000,0.000000,24.120000,144.690000,0.610000,32.000000,21.220000,24.040000,96.460000,6.030000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,21.010000,18.090000,48.230000,0.000000,0.630000,12.200000,0.000000,4.820000,161.090000,9.650000,11.720000,15.140000,0.680000,48.230000,1881.21
