Block,Time,BSIUL,DADRT2,DULHASTI,KGSU3AND4,KOTESHWR,KUDGI,PARBATI2,RIHAND3,SASAN,SEWA2,TANAKPUR,UNCHAHAR1,VALLURNTECL,DADRI_RF,KHSTPP-II,SIMHST1,TALA,TALST2,UNCHAHAR4,URI,CHAMERA1,JHAJJAR,PARBATI3,RAMPUR,RAPPC,RIHAND1,URI2,ANTA_RF,AURY_LF,CHAMERA2,KGSU1AND2,KOLDAM,NNTPP,SALAL,SINGRAULI_HYDRO,AURY_RF,BRBCL,FSTPP I & II,NLCEXP,TEHRI,UNCHAHAR3,ANTA_LF,DADRI_CRF,KISHANGANGA,MAPS,NJPC,NTPL,RSTPSU1TO6,SIMHST2,AURY_GF,CHAMERA3,DHAULIGNGA,KHSTPP-I,KKNP,NAPP,NLCIIST1,RAPPB,RIHAND2,SINGRAULI,TelanganaSTPP,UNCHAHAR2,ANTA_CRF,ANTA_GF,AURY_CRF,KKNPPU2,NLCIIST2,NLCTS2EXP,RAPPD,RSTPSU7,TANDA2,DADRI_GF,DADRI_LF
1,00:00-00:15,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,0.25,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,33.76,4.33,68.56,97.23,38.56,53.54,0,48.81,0,9.59,0,63.92,0.98,85.48,20,18.2,0,12.12,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

2,00:15-00:30,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,0.25,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,33.76,4.33,68.56,97.23,38.56,53.54,0,48.81,0,9.59,0,79.38,0.98,85.48,20,18.2,0,12.12,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

3,00:30-00:45,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,0.25,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,38.36,4.33,68.56,97.23,38.56,53.54,0,48.81,0,9.59,0,79.38,0.98,85.48,20,18.2,0,0,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

4,00:45-01:00,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,0.25,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,38.36,4.33,68.56,97.23,38.56,53.54,0,48.81,0,9.59,0,79.38,0.98,85.48,20,18.2,0,0,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

5,01:00-01:15,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,6.27,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,38.36,4.33,68.56,97.23,36.47,53.54,0,48.81,0,9.59,0,79.38,0.98,85.48,20,18.2,0,0,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

6,01:15-01:30,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,6.27,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,38.36,4.33,68.56,97.23,36.47,53.54,0,48.81,0,9.59,0,79.38,0.98,85.48,20,18.2,0,0,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

7,01:30-01:45,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,6.27,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,23.02,4.33,68.56,97.23,36.47,53.54,0,48.81,0,9.59,0,79.38,0.98,85.48,20,18.2,0,0,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

8,01:45-02:00,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,6.27,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,23.02,4.33,68.56,97.23,36.47,53.54,0,48.81,0,7.19,0,79.38,0.98,85.48,20,18.2,0,0,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

9,02:00-02:15,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,6.27,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,23.02,4.33,68.56,97.23,36.47,53.54,0,48.81,0,7.19,0,79.38,0.98,85.48,20,18.2,0,0,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

10,02:15-02:30,19.56,688.57,59.5,0,10.43,0,22.54,130.79,416.25,18.9,6.27,21.64,0,92.26,148.3,0,0,0,2.3,49.68,42.15,428.67,23.02,4.33,68.56,97.23,36.47,53.54,0,48.81,0,7.19,0,79.38,0.98,85.48,20,18.2,0,0,27.68,0,0,8.63,0,110.67,0,0,0,0,35.03,10.95,45.53,0,25.38,0,0,124.58,150.34,0,44.5,0,0,0,0,0,0,0,0,5.7,0,0

