Block,Time,NJPC,NLCTS2EXP,RIHAND2,SASAN,TANDA2,UNCHAHAR4,ANTA_CRF,ANTA_LF,AURY_GF,DADRI_GF,DADRI_LF,CHAMERA1,DHAULIGNGA,NNTPP,RAMPUR,RSTPSU7,TALA,TEHRI,UNCHAHAR2,UNCHAHAR3,AURY_CRF,SALAL,SIMHST1,TANAKPUR,BRBCL,KGSU3AND4,KOLDAM,KOTESHWR,NAPP,RIHAND1,SINGRAULI_HYDRO,TALST2,AURY_RF,DADRI_CRF,DULHASTI,FSTPP I & II,KHSTPP-II,MAPS,NLCEXP,DADRI_RF,BSIUL,KKNPPU2,RIHAND3,RSTPSU1TO6,SIMHST2,SINGRAULI,URI,VALLURNTECL,ANTA_GF,ANTA_RF,CHAMERA3,DADRT2,KISHANGANGA,KUDGI,NLCIIST1,RAPPC,SEWA2,UNCHAHAR1,URI2,CHAMERA2,JHAJJAR,KGSU1AND2,KHSTPP-I,KKNP,NLCIIST2,NTPL,PARBATI3,RAPPB,TelanganaSTPP,AURY_LF
1,00:00-00:15,113.81,0,121.71,196.88,2.89,0,0,16.08,0,0,0,42.15,40.4,0,2.44,0,10.73,76.9,43.18,0,0,52.28,0,13,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,6.52,0,127.6,0,0,126.97,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,11.58,20.96,36.35,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

2,00:15-00:30,102.23,0,121.71,196.88,2.89,0.2,0,16.08,0,0,0,42.15,40.4,0,2.2,0,10.73,76.9,43.13,0,0,52.28,0,13,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,6.52,0,127.6,0,0,126.97,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,11.58,20.96,36.35,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

3,00:30-00:45,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,10.73,76.9,43.71,0,0,52.28,0,13,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,6.52,0,127.6,0,0,126.97,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,5.71,20.96,36.35,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

4,00:45-01:00,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,10.73,76.9,43.71,0,0,52.28,0,13,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,6.52,0,127.6,0,0,126.97,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,4.99,20.96,36.35,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

5,01:00-01:15,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,52.28,0,13,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,0,0,127.6,0,0,119.18,50.23,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,23.65,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

6,01:15-01:30,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,52.28,0,13,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,0,0,127.6,0,0,119.18,50.23,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,23.65,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

7,01:30-01:45,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,52.28,0,11.53,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,0,0,127.6,0,0,119.18,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,23.65,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

8,01:45-02:00,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,52.28,0,11.53,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,0,0,127.6,0,0,119.18,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,23.65,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

9,02:00-02:15,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,52.28,0,11.53,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,0,0,127.6,0,0,119.18,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,23.65,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

10,02:15-02:30,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,79.38,0,11.53,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,0,0,127.6,0,0,119.18,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,23.65,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

11,02:30-02:45,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,79.38,0,13,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,6.52,0,127.6,0,0,119.18,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,23.65,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

12,02:45-03:00,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,79.38,0,13,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,6.52,0,127.6,0,0,119.18,35.33,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,23.65,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

13,03:00-03:15,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,79.38,0,13,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,6.52,0,127.6,0,0,119.18,50.23,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,36.35,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

14,03:15-03:30,102.23,0,121.71,196.88,2.89,1.62,0,16.08,0,0,0,28.1,40.4,0,2.2,0,11.17,76.9,43.71,0,0,79.38,0,11.53,15,0,4.01,38.64,45.82,47.33,0,0,78.06,0,53.79,20.8,98.87,0,0,101.12,6.52,0,127.6,0,0,119.18,50.23,0,0,32.17,21.37,686.07,1.44,0,0,60.53,0,20.96,36.35,28.34,663.81,0,41.89,0,0,0,3.51,0,0,0

