Block,Time,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,URI2,RIHAND1,RIHAND2,RIHAND3,SEWA2,SINGRAULI,SINGRAULI_HYDRO,TANDA2,TEHRI,RAPPC,TANAKPUR,SALAL,URI,UNCHAHAR1,DULHASTI,KISHANGANGA,KOLDAM,NAPP,NJPC,PARBATI3,RAMPUR,BSIUL,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,JHAJJAR,KOTESHWR,CHAMERA1,RAPPB,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,BRBCL,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,43.545976,26.963602,1.427606,35.652699,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,50.784,20.904656,53.905351,2.551476,4.25586,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,17.425726,42.14808,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.2,2,1.1,1.62,0,1.61,6.05,1.94,0,7.94,0.25,1.83,0.84,18.0236,18.765,32.171,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023038,0,0,0,0.007191,0,0.012943

2,00:15-00:30,43.545976,26.963602,1.427606,35.652699,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,50.784,20.904656,53.905351,2.551476,4.25586,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,17.425726,42.14808,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.2,2,1.1,1.62,0,1.61,6.05,1.94,0,7.94,0.25,1.83,0.84,18.9028,18.765,32.171,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023038,0,0,0,0.007191,0,0.012943

3,00:30-00:45,43.545976,26.963602,1.427606,35.652699,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,50.784,20.904656,53.905351,2.551476,4.25586,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,17.425726,42.14808,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.2,2,1.1,1.62,0,1.61,6.05,1.94,0,7.94,0.25,1.83,0.84,19.3424,18.765,32.778,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023038,0,0,0,0.007191,0,0.012943

4,00:45-01:00,43.545976,26.963602,1.427606,35.652699,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,52.992,20.904656,53.905351,2.551476,4.25586,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,17.425726,42.14808,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.2,2,1.1,1.62,0,1.61,6.05,1.94,0,7.94,0.25,1.83,0.84,20.0018,18.765,32.778,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023038,0,0,0,0.007191,0,0.012943

5,01:00-01:15,43.545976,26.963602,1.427606,35.068229,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,52.992,20.904656,53.905351,2.551476,3.191895,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,17.425726,42.14808,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.2,2,1.1,1.62,0,1.61,6.05,1.94,0,9.33,0.25,1.83,0.84,20.0018,18.765,32.778,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023224,0,0,0,0.007191,0,0.012943

6,01:15-01:30,43.545976,26.963602,1.427606,35.068229,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,50.784,20.904656,53.905351,2.551476,2.127929,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,17.425726,28.09872,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.2,2,1.1,1.62,0,1.61,6.05,1.94,0,9.33,0.25,1.83,0.84,20.0018,18.765,32.778,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023224,0,0,0,0.007191,0,0.012943

7,01:30-01:45,43.545976,26.963602,1.427606,35.068229,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,50.784,20.904656,53.905351,2.551476,2.127929,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,8.712863,28.09872,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.61,6.05,1.94,0,9.33,0.25,1.83,0.84,20.0018,18.765,33.385,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023411,0,0,0,0.007191,0,0.012943

8,01:45-02:00,43.545976,26.963602,1.427606,35.068229,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,50.784,20.904656,53.905351,2.551476,2.127929,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,8.712863,28.09872,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.61,6.05,1.94,0,9.33,0.25,1.83,0.84,20.0018,18.765,33.385,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023411,0,0,0,0.007191,0,0.012943

9,02:00-02:15,43.545976,26.963602,1.427606,35.068229,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,50.784,20.904656,53.905351,2.551476,1.063965,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,8.712863,28.09872,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.61,6.05,1.94,0,9.33,0.25,1.83,0.84,20.0018,18.765,33.385,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023411,0,0,0,0.007191,0,0.012943

10,02:15-02:30,43.545976,26.963602,1.427606,35.068229,94.319982,120.694688,126.520837,17.179062,137.242189,1.095647,2.525984,29.038971,59.009958,0.7686,53.452,50.784,20.904656,53.905351,2.551476,0,21.485044,50.574549,0,0.975221,19.6614,43.63516,31.709733,689.353782,9.915136,467.87613,8.712863,28.09872,0,0,72.0861,0,0,0,32.836085,53.510658,0,0,40.819992,0,0,3.03,2.38,3.42,0.42,0.88,0.21,2,1.1,1.62,0,1.61,6.05,1.94,0,9.33,0.25,1.83,0.84,20.0018,18.765,33.385,147.515625,0,2.373844,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,3.542468,0.935114,3.542467,3.511691,2.793398,348.975,4.2939,3.542468,2.737764,1.341844,0.82956,0,0,0.023411,0,0,0,0.007191,0,0.012943

