Time,Block,NR/2024/18686/C,NER/2024/1922/A/5457,NR/2024/18436/A/5332,NR/2024/18684/C,NER/2024/1934/A/5456,WR/2024/21351/A/5460,NR/2024/18445/A/5474,WR/2024/21355/A/5475,NR/2024/18388/A/5311,NR/2024/18685/C,NR/2024/18683/C,Total
,,SJVNL,APPCPL,IEXL,SJVNL,APPCPL,APPCPL,MANIKARAN,MANIKARAN,ITCLH,SJVNL,NVVNL,Total

,,TELANGANA,DELHI,MAHARASHTRA,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,ANDHRA PRADESH,UTTAR PRADESH,NA,
,,NSLKSLWPRTY,BRPL,A_A_Energy_MH_Bio,BCMLB001,BYPL,BRPL,BRPL,BRPL,ITCWIND,BCMLUH,SOLAPUR_SOLAR,
,,DELHI,MANIPUR,DELHI,DELHI,NAGALAND,GOA,HIMACHAL PRADESH,GOA,DELHI,DELHI,DELHI,
,,NDMC,Manipur_Ben,MES (Delhi),NDMC,Nagaland_Ben,GOA_Beneficiary,HP,GOA_Beneficiary,ITCLH,NDMC,MES (Delhi),
,,South-West-North,North-East-North East,West-East-North,North-North,North-East-North East,North-West,North-North,North-West,South-West-North,North-North,West-North,
1,00:00-00:15,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

2,00:15-00:30,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

3,00:30-00:45,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

4,00:45-01:00,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

5,01:00-01:15,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

6,01:15-01:30,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

7,01:30-01:45,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

8,01:45-02:00,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

9,02:00-02:15,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

10,02:15-02:30,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

11,02:30-02:45,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

12,02:45-03:00,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

13,03:00-03:15,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

14,03:15-03:30,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

15,03:30-03:45,0.000000,25.000000,7.720000,0.000000,20.000000,0.000000,0.000000,0.000000,0.390000,0.000000,0,53.11

