Block,Time,ANTA_RF,CHAMERA3,ANTA_CRF,KOLDAM,RAMPUR,RIHAND1,TEHRI,CHAMERA2,KOTESHWR,DADRI_GF,KISHANGANGA,BSIUL,CHAMERA1,UNCHAHAR1,SINGRAULI_HYDRO,AURY_CRF,UNCHAHAR3,TANDA2,DULHASTI,SEWA2,PARBATI3,AURY_RF,RIHAND3,DADRT2,URI2,UNCHAHAR2,DADRI_LF,ANTA_GF,URI,AURY_LF,TANAKPUR,SINGRAULI,RAPPB,RIHAND2,DADRI_RF,JHAJJAR,UNCHAHAR4,ANTA_LF,SALAL,NJPC,RAPPC,NAPP,DHAULIGNGA,AURY_GF,DADRI_CRF,KHSTPP-II,BRBCL,TALA,FSTPP I & II,SASAN,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,0.000000,84.832902,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,8.771566,0.844693,0.000000,17.845021,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,532.744500,4.519401,29.676128,0.000000,0.000000,25.433510,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,295.083606,0.000000,0.000000,1.338485,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,129.385689,16.162364,0.000000,12.968843,334.612501,38.025863,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,0.000000,88.304226,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,8.771566,0.844693,0.000000,17.845021,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,473.230700,4.519401,28.430030,0.000000,0.000000,25.433510,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,242.166836,0.000000,0.000000,1.338485,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,122.666389,16.192316,0.000000,10.659306,334.981102,38.025863,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.000000,88.310800,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,8.771566,0.844693,0.000000,17.845021,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,432.914900,8.005796,28.430030,0.000000,0.000000,3.179189,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,242.166836,0.000000,0.000000,1.338485,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,122.666389,18.276019,0.000000,10.659306,334.981102,29.160706,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.000000,88.310800,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,8.771566,0.844693,0.000000,17.845021,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,394.518900,8.005796,28.430030,0.000000,0.000000,1.271676,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,242.166836,0.000000,0.000000,1.338485,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,122.666389,16.595704,0.000000,10.659306,334.981102,29.160706,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.000000,88.310800,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,8.771566,0.844693,0.000000,17.845021,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,357.082800,4.519401,28.430030,0.000000,0.000000,1.271676,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,242.166836,0.000000,0.000000,2.230808,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,93.869389,16.362949,0.000000,10.659306,334.981102,29.160706,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,0.000000,88.310800,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,7.199250,0.844693,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,347.483800,4.519401,28.430030,0.000000,0.000000,1.271676,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,239.975000,0.000000,0.000000,2.230808,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,93.869389,13.970351,0.000000,10.659306,334.981102,29.160706,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,0.000000,88.310800,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,7.199250,0.844693,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,347.483800,4.519401,20.157900,0.000000,0.000000,1.271676,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,239.975000,0.000000,0.000000,2.230808,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,93.869389,15.587233,0.000000,5.759400,334.981102,29.160706,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,0.000000,0.000000,0.000000,88.310800,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,7.199250,0.844693,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,347.483800,4.519401,20.157900,0.000000,0.000000,1.271676,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,239.975000,0.000000,0.000000,2.230808,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,93.869389,14.085418,0.000000,5.759400,334.981102,29.160706,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,0.000000,0.000000,0.000000,88.310800,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,7.199250,0.844693,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,347.483800,4.519401,20.157900,0.000000,0.000000,1.271676,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,239.975000,0.000000,0.000000,2.230808,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,93.869389,14.354680,0.000000,5.759400,334.981102,29.160706,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,0.000000,0.000000,0.000000,88.310800,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,7.199250,0.844693,0.000000,12.478700,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,347.483800,4.519401,20.157900,0.000000,0.000000,1.271676,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,239.975000,0.000000,0.000000,2.230808,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,70.072700,12.155204,0.000000,5.759400,334.981102,19.198000,0,0,0,0,0

11,02:30-02:45,0.000000,0.000000,0.000000,0.000000,0.000000,88.310800,0.000000,0.000000,8.991383,0.000000,0.000000,0.000000,0.000000,7.084062,0.844693,0.000000,12.248324,0.000000,0.000000,0.000000,0.000000,0.000000,118.706633,336.704123,4.519401,19.773940,0.000000,0.000000,1.271676,0.000000,0.000000,133.723669,0.000000,56.691694,0.000000,225.576500,0.000000,0.000000,2.230808,0.000000,52.013429,20.811016,0.000000,0.000000,0.000000,112.558738,12.491428,0.000000,4.799500,334.981102,19.198000,0,0,0,0,0

