Block,Time Block,DULHASTI,CHAMERA1,BSIUL,BRBCL,CHAMERA3,CHAMERA2,DADRT2,DHAULIGNGA,KGSU1AND2,KGSU3AND4,KHSTPP-II,KISHANGANGA,KHSTPP-I,KKNP,KKNPPU2,KOLDAM,FSTPP I & II,JHAJJAR,KOTESHWR,KUDGI,MAPS,NLCEXP,NJPC,NAPP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAPPB,RAMPUR,RAPPC,RIHAND2,RIHAND1,RSTPSU1TO6,RAPPD,RIHAND3,SASAN,SIMHST1,RSTPSU7,SALAL,SEWA2,SINGRAULI,SINGRAULI_HYDRO,SIMHST2,TALST2,TALA,TANAKPUR,TEHRIPSP,TEHRI,TANDA2,TelanganaSTPP,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,URI,UNCHAHAR4,VALLURNTECL,URI2,ANTA_LF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_RF,DADRI_LF,AURY_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,53.87,40.57,12.55,24.05,32.67,45.35,51.43,40.87,0,0,142.74,6.79,36.78,0,0,8.3,14.1,128.08,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,82.21,0,130.08,1.09,0,0,15.71,12.33,66.86,46.31,5.34,0,14.9,20.12,32.66,50.4,3.1,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,53.87,40.57,12.55,24.05,32.67,45.35,51.43,40.87,0,0,142.74,6.79,32.42,0,0,8.3,14.1,128.08,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,82.21,0,130.08,1.09,0,0,15.71,12.33,66.86,46.31,5.34,0,14.9,19.58,32.14,50.4,3.1,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,53.87,40.57,6.28,24.05,32.67,45.35,51.43,40.87,0,0,142.74,6.79,32.42,0,0,8.3,14.1,128.08,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,82.21,0,137.96,1.09,0,0,15.71,12.33,66.86,46.31,5.34,0,14.9,19.58,32.14,50.4,3.1,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,53.87,40.57,6.28,24.05,32.67,45.35,51.43,40.87,0,0,142.74,6.79,32.42,0,0,8.3,14.1,128.08,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,82.21,0,137.96,1.09,0,0,15.71,12.33,66.86,46.31,5.34,0,14.9,19.58,32.14,50.4,3.1,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,53.87,40.57,6.28,24.05,32.67,45.35,51.43,40.87,0,0,109.82,6.79,32.21,0,0,8.3,14.1,128.08,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,82.21,0,139.54,1.09,0,0,15.71,12.33,66.86,46.31,2.57,0,14.9,19.58,32.14,36.12,3.1,0,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,53.87,40.57,6.28,24.05,32.67,45.35,51.43,40.87,0,0,109.82,6.79,32.21,0,0,8.3,14.1,128.08,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,82.21,0,139.54,1.09,0,0,15.71,12.33,66.86,46.31,2.57,0,14.9,19.58,32.14,36.12,3.1,0,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,53.87,40.57,6.28,24.05,32.67,45.35,51.43,40.87,0,0,109.82,6.79,32.21,0,0,8.3,14.1,128.08,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,82.21,0,141.12,1.09,0,0,15.71,12.33,66.86,46.31,2.57,0,14.9,19.58,32.14,36.12,3.1,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,53.87,40.57,6.28,24.05,32.67,45.35,51.43,40.87,0,0,109.82,6.79,32.21,0,0,8.3,14.1,128.08,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,82.21,0,142.69,1.09,0,0,15.71,12.33,66.86,46.31,2.57,0,14.9,19.58,32.14,36.12,3.1,0,37.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,53.87,40.57,6.28,24.05,32.67,45.35,8.11,40.87,0,0,94.82,6.79,29.11,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,82.21,0,129.06,1.09,0,0,17.11,12.33,66.86,46.31,2.57,0,10.85,14.94,24.34,29.75,2.54,0,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,53.87,40.57,6.28,24.05,32.67,45.35,8.11,40.87,0,0,94.82,6.79,29.11,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,82.21,0,129.06,1.09,0,0,17.11,12.33,66.86,46.31,2.57,0,10.85,14.44,24.34,29.75,2.33,0,27.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,94.82,6.79,29.11,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,82.21,0,129.06,1.09,0,0,17.11,12.33,66.86,46.31,2.57,0,10.85,14.44,24.34,29.75,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,94.82,6.79,29.11,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,97.32,62.72,0,23.78,93.53,327.55,0,0,82.21,0,129.06,1.09,0,0,16.84,12.33,0,46.31,2.57,0,10.85,14.44,24.34,29.75,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,94.82,6.79,28.74,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,21.08,11.46,0,46.31,1.47,0,10.85,14.44,24.34,29.75,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,94.82,6.79,28.74,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,21.08,11.46,0,46.31,1.47,0,10.85,14.44,24.34,29.75,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,94.82,6.79,28.74,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,21.08,11.46,0,46.31,1.47,0,10.85,14.44,24.34,29.75,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,94.82,6.79,28.74,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,20.8,11.46,0,46.31,1.47,0,10.85,14.44,24.34,29.75,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,114.53,6.79,34.73,0,0,8.3,12.77,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,20.8,11.46,0,46.31,1.47,0,10.85,14.44,24.34,29.75,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,114.53,6.79,28.74,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,20.51,11.46,0,46.31,1.47,0,10.85,14.44,24.34,29.75,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,114.53,6.79,28.74,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,20.38,11.46,0,46.31,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,53.87,40.57,12.55,24.05,32.67,45.35,8.11,40.87,0,0,114.53,6.79,28.74,0,0,8.3,10.47,123.27,19.53,0,0,0,169.2,23.56,0,0,0,0,0,0,0,0,5.49,62.97,120.57,94.63,0,23.78,125.93,327.55,0,0,77.73,0,129.06,1.09,0,0,20.09,11.46,0,46.31,1.47,0,10.85,14.44,24.34,31.88,2.33,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

