Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/65430,WR/2025/27361/A/65942,WR/2025/27350/A/65566,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/26060/C,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/4327,NR/2025/26031/A/65596,GNA/NR/2025/04/01/5285,NR/2025/25955/A/65931,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/1831,NR/2025/25945/A/65934,GNA/NR/2025/04/01/1333,NR/2025/25947/A/65933,NR/2025/25948/A/65932,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/4565,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/2341,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,Total
,,SECI_Trader,IEXL,APPCPL,KEIPL,IEXL,HPXL,DELHI,TPDDL,HPXL,NDMC,HPXL,IEXL,HPXL,DIAPL,IEXL,APPCPL,APPCPL,IEXL,APPCPL,IEXL,APPCPL,APPCPL,PowerPulse,PXIL,IVPL_Trader,IEXL,IEXL,PUNJAB,NDMC,BAWANA_GAS,
,,NA,NA,DELHI_UT,DELHI_UT,SIKKIM_STATE,CSEB_State,HIMACHAL_STATE,NA,NA,NA,NA,SIKKIM_STATE,NA,HIMACHAL_STATE,SIKKIM_STATE,NA,DELHI_UT,HIMACHAL_STATE,NA,SIKKIM_STATE,NA,NA,NA,UTTARPRADESH_STATE,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,
,,APSEPL_FTG,TPSL_BKN2,BYPL,BYPL,LLHEP1234,MSPLTD,CHANJUII,JHAJJAR,SIMHAPURI,SKS_Raigarh,JPL2,Kalez_Khola_HEP,JPL,GBHHPL,MEYONGCHU_HEP,JIPL,BYPL,RHPPL_HP,RKM_POWER,RCHEP,RKM_POWER,TRN_ENERGY,APL_Raipur_TPP,LAPL_UP,BYPL,KGEPL_HP,JPNIGRIE_JNSTPP,BAWANA_GAS,JPL2,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,
,,TPDDL,MES_Delhi,CSEB_Beneficiary,CSEB_Beneficiary,BRPL,BRPL,TPDDL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,DIAPL,BRPL,NDMC,KSEB,BRPL,NDMC,BRPL,NDMC,NDMC,BRPL,BRPL,TPC_MSEB,BRPL,BRPL,PUNJAB,NDMC,HARYANA,
,,North-North,North-North,North-West,North-West,East-North,West-North,North-North,North-North,South-East-North,West-North,West-North,East-North,West-North,North-North,East-North,East-North,North-West-South,North-North,West-North,East-North,West-North,West-North,West-North,North-North,North-West,North-North,West-North,North-North,West-North,North-North,
1,00:00-00:15,0,0,24.04,0,9.62,9.62,12.7,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,52.5,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,938.9500000000002

2,00:15-00:30,0,0,24.04,0,9.62,9.62,12.7,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,52.5,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,938.9500000000002

3,00:30-00:45,0,0,24.04,0,9.62,9.62,12.7,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,52.5,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,938.9500000000002

4,00:45-01:00,0,0,24.04,0,9.62,9.62,12.7,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,52.5,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,938.9500000000002

5,01:00-01:15,0,0,24.04,0,9.62,9.62,12.7,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,52.5,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,938.9500000000002

6,01:15-01:30,0,0,24.04,0,9.62,9.62,12.7,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,52.5,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,938.9500000000002

7,01:30-01:45,0,0,24.04,0,9.62,9.62,12.7,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,52.5,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,938.9500000000002

8,01:45-02:00,0,0,24.04,0,9.62,9.62,12.7,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,52.5,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,938.9500000000002

9,02:00-02:15,0,0,24.04,96.15,9.62,9.62,12.06,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,981.9600000000003

10,02:15-02:30,0,0,24.04,96.15,9.62,9.62,12.06,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,981.9600000000003

11,02:30-02:45,0,0,24.04,96.15,9.62,9.62,12.06,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,981.9600000000003

12,02:45-03:00,0,0,24.04,96.15,9.62,9.62,12.06,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,30,22.11,30,981.9600000000003

13,03:00-03:15,0,0,24.04,96.15,9.62,9.62,12.06,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,972.9800000000002

14,03:15-03:30,0,0,24.04,96.15,9.62,9.62,12.06,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,972.9800000000002

15,03:30-03:45,0,0,24.04,96.15,9.62,9.62,12.06,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,972.9800000000002

16,03:45-04:00,0,0,24.04,96.15,9.62,9.62,12.06,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,972.9800000000002

17,04:00-04:15,0,0,24.04,96.15,9.62,9.62,11.96,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,972.8800000000002

18,04:15-04:30,0,0,24.04,96.15,9.62,9.62,11.96,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,972.8800000000002

19,04:30-04:45,0,0,24.04,96.15,9.62,9.62,11.96,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,972.8800000000002

20,04:45-05:00,0,0,24.04,96.15,9.62,9.62,11.96,242.3,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,972.8800000000002

21,05:00-05:15,0,0,24.04,96.15,9.62,9.62,11.87,0,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,730.49

22,05:15-05:30,0,0,24.04,96.15,9.62,9.62,11.87,0,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,730.49

23,05:30-05:45,0,0,24.04,96.15,9.62,9.62,11.87,0,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,730.49

24,05:45-06:00,0,0,24.04,96.15,9.62,9.62,11.87,0,28.84,14.57,72.11,2.88,72.11,3.85,2.88,28.97,0,1.92,43.7,2.88,43.7,14.57,96.15,48.08,0,9.62,19.23,25.51,22.11,25.51,730.49

