Time,Block,NR/2023/18186/C,NR/2023/18062/A/2147,NR/2023/17270/A,NR/2023/18105/A/2146,NR/2023/18074/A/2120,NR/2023/17525/A,WR/2023/19446/A,WR/2023/20256/A/2224,WR/2023/20577/A/2234,NER/2023/1781/C,NR/2023/18187/C,Total
,,TPDDL,IEXL,GMRETL,IEXL,ITCLH,APPCPL,MANIKARAN,MANIKARAN,APPCPL,PXIL,NVVNL,Total

,,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,NA,
,,CHANJUII,SNJSUGARLTDAP,BYPL,BSHP,ITCWIND,BYPL,BYPL,BRPL,BRPL,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,RAJASTHAN,DELHI,DELHI,HIMACHAL PRADESH,MAHARASHTRA,GOA,GOA,ARUNACHAL PRADESH,DELHI,
,,TPDDL,MES (Delhi),RUVNL,MES (Delhi),ITCLH,HP,AEML,GOA_Beneficiary,GOA_Beneficiary,Arunachal_Ben,MES (Delhi),
,,North-North,South-East-North,North-North,North-North,South-West-North,North-North,North-West,North-West,North-West,North-East-North East,West-North,
1,00:00-00:15,1.840000,4.820000,0.000000,0.960000,0.430000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.16

2,00:15-00:30,1.840000,4.820000,0.000000,0.960000,0.430000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.16

3,00:30-00:45,1.840000,4.820000,0.000000,0.960000,0.430000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.16

4,00:45-01:00,1.840000,4.820000,0.000000,0.960000,0.430000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.16

5,01:00-01:15,1.840000,4.820000,0.000000,0.960000,0.390000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.12

6,01:15-01:30,1.840000,4.820000,0.000000,0.960000,0.390000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.12

7,01:30-01:45,1.840000,4.820000,0.000000,0.960000,0.390000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.12

8,01:45-02:00,1.840000,4.820000,0.000000,0.960000,0.390000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.12

9,02:00-02:15,1.840000,4.820000,0.000000,0.960000,0.340000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.07

10,02:15-02:30,1.840000,4.820000,0.000000,0.960000,0.340000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.07

11,02:30-02:45,1.840000,4.820000,0.000000,0.960000,0.340000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.07

12,02:45-03:00,1.840000,4.820000,0.000000,0.960000,0.340000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.07

13,03:00-03:15,1.930000,4.820000,0.000000,0.960000,0.340000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.16

14,03:15-03:30,1.930000,4.820000,0.000000,0.960000,0.340000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.16

15,03:30-03:45,1.930000,4.820000,0.000000,0.960000,0.340000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.16

16,03:45-04:00,1.930000,4.820000,0.000000,0.960000,0.340000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.16

17,04:00-04:15,1.930000,4.820000,0.000000,0.960000,0.390000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.21

18,04:15-04:30,1.930000,4.820000,0.000000,0.960000,0.390000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.21

19,04:30-04:45,1.930000,4.820000,0.000000,0.960000,0.390000,51.110000,75.000000,0.000000,0.000000,40.000000,0,174.21

