Block,Time,L_NR_2012_04,L_NR_2019_05,L_NR_2021_12,L_NR_2021_13,L_NR_2012_01,L_NR_2019_11,LT_MEJA_Delhi,SH-07,LT-59,L_NR_2019_06,L_NR_2021_15,LT-31,L_NR_2020_07,L_NR_2022_08,L_NR_2023_04,L_NR_2020_02,L_NR_2012_02,L_NR_2019_19,L_NR_2021_16,L_NR_2012_07,L_NR_2020_06,L_NR_2022_09,LT-36,LT-05,L_NR_2022_10,L_NR_2020_05,L_NR_2019_07,L_NR_2018_61,L_NR_2021_14,SH-06,LT-35,L_NR_2021_17
1,00:00-00:15,272.110000,0,0,0,101.350000,6.000000,6.740000,0.000000,5.760000,0,0,0.000000,7.5,4.4,0.000000,6.000000,261.810000,0.000000,0,87.270000,7.5,21.39,0.000000,109.150000,21.39,22.5,0,7.06,0,0.000000,0.000000,0

2,00:15-00:30,272.110000,0,0,0,101.350000,6.000000,6.740000,0.000000,5.760000,0,0,0.000000,7.46,4.58,0.000000,6.000000,261.810000,0.000000,0,87.270000,7.47,13.34,0.000000,109.150000,13.34,22.41,0,7.14,0,0.000000,0.000000,0

3,00:30-00:45,272.110000,0,0,0,101.350000,6.000000,6.740000,0.000000,5.760000,0,0,0.000000,7.44,4.75,0.000000,6.000000,261.810000,0.000000,0,87.270000,7.42,13.48,0.000000,109.150000,13.48,22.27,0,7.03,0,0.000000,0.000000,0

4,00:45-01:00,272.110000,0,0,0,101.350000,6.000000,6.740000,0.000000,5.760000,0,0,0.000000,7.46,4.9,0.000000,6.000000,261.810000,0.000000,0,87.270000,7.44,13.44,0.000000,109.150000,13.44,22.33,0,7.19,0,0.000000,0.000000,0

5,01:00-01:15,272.110000,0,0,0,101.350000,6.000000,6.740000,0.000000,5.760000,0,0,0.000000,7.47,5.02,0.000000,6.000000,261.810000,0.000000,0,87.270000,7.48,13.55,0.000000,109.150000,13.55,22.43,0,7.14,0,0.000000,0.000000,0

6,01:15-01:30,272.110000,0,0,0,101.350000,6.000000,6.740000,0.000000,5.760000,0,0,0.000000,7.41,4.13,0.000000,6.000000,261.810000,0.000000,0,87.270000,7.41,13.65,0.000000,109.150000,13.65,22.24,0,7.2,0,0.000000,0.000000,0

7,01:30-01:45,272.110000,0,0,0,101.350000,6.000000,6.740000,0.000000,5.760000,0,0,0.000000,7.4,4.21,0.000000,6.000000,261.810000,0.000000,0,87.270000,7.4,13.47,0.000000,109.150000,13.47,22.2,0,7.12,0,0.000000,0.000000,0

8,01:45-02:00,272.110000,0,0,0,101.350000,6.000000,6.740000,0.000000,5.760000,0,0,0.000000,7.46,4.28,0.000000,6.000000,261.810000,0.000000,0,87.270000,7.45,13.59,0.000000,109.150000,13.59,22.36,0,7.03,0,0.000000,0.000000,0

9,02:00-02:15,272.110000,0,0,0,101.350000,5.840000,6.740000,0.000000,5.680000,0,0,0.000000,7.47,4.19,0.000000,5.860000,261.810000,0.000000,0,87.270000,7.47,18.44,0.000000,109.150000,18.44,22.41,0,7.13,0,0.000000,0.000000,0

10,02:15-02:30,272.110000,0,0,0,101.350000,5.840000,6.740000,0.000000,5.680000,0,0,0.000000,7.44,4.16,0.000000,5.860000,261.810000,0.000000,0,87.270000,7.43,18.37,0.000000,109.150000,18.37,22.3,0,7.01,0,0.000000,0.000000,0

11,02:30-02:45,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.680000,0,0,0.000000,7.36,4.22,0.000000,5.860000,201.600000,0.000000,0,63.450000,7.37,18.21,0.000000,109.150000,18.21,22.1,0,7.06,0,0.000000,0.000000,0

12,02:45-03:00,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.680000,0,0,0.000000,7.48,4.32,0.000000,5.860000,201.600000,0.000000,0,63.450000,7.49,18.04,0.000000,109.150000,18.04,22.45,0,7.14,0,0.000000,0.000000,0

13,03:00-03:15,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.680000,0,0,0.000000,13.43,4.44,0.000000,5.860000,201.600000,0.000000,0,63.450000,13.44,17.87,0.000000,109.150000,17.87,40.31,0,7.03,0,0.000000,0.000000,0

14,03:15-03:30,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.680000,0,0,0.000000,13.73,8.79,0.000000,5.860000,201.600000,0.000000,0,63.450000,13.72,36.85,0.000000,109.150000,36.85,41.17,0,7.19,0,0.000000,0.000000,0

15,03:30-03:45,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.680000,0,0,0.000000,14.11,8.41,0.000000,5.860000,201.600000,0.000000,0,63.450000,14.1,36.11,0.000000,109.150000,36.11,42.31,0,7.14,0,0.000000,0.000000,0

16,03:45-04:00,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.680000,0,0,0.000000,14.62,8.12,0.000000,5.860000,201.600000,0.000000,0,63.450000,14.62,35.38,0.000000,94.910000,35.38,43.86,0,7.2,0,0.000000,0.000000,0

17,04:00-04:15,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.600000,0,0,0.000000,13.47,7.83,0.000000,5.680000,201.600000,0.000000,0,63.450000,13.49,34.55,0.000000,70.620000,34.55,40.46,0,7.12,0,0.000000,0.000000,0

18,04:15-04:30,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.600000,0,0,0.000000,17.61,7.57,0.000000,5.680000,201.600000,0.000000,0,63.450000,17.6,53.01,0.000000,109.150000,53.01,52.81,0,7.03,0,0.000000,0.000000,0

19,04:30-04:45,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.600000,0,0,0.000000,17.41,7.1,0.000000,5.680000,201.600000,0.000000,0,63.450000,17.42,52.47,0.000000,109.150000,52.47,52.26,0,7.13,0,0.000000,0.000000,0

20,04:45-05:00,272.110000,0,0,0,101.350000,5.840000,5.220000,0.000000,5.600000,0,0,0.000000,17.3,6.55,0.000000,5.680000,201.600000,0.000000,0,63.450000,17.31,50.87,0.000000,109.150000,50.87,51.92,0,7.01,0,0.000000,0.000000,0

