Block,Time,SEWA2,UNCHAHAR3,RAPPC,KOTESHWR,SINGRAULI_HYDRO,RAMPUR,KISHANGANGA,CHAMERA1,TANDA2,AURY_LF,SINGRAULI,DADRI_GF,AURY_CRF,CHAMERA3,ANTA_GF,BSIUL,CHAMERA2,NJPC,RIHAND2,PARBATI3,TANAKPUR,ANTA_LF,UNCHAHAR1,AURY_RF,KOLDAM,SALAL,AURY_GF,DADRI_RF,RIHAND1,URI2,UNCHAHAR2,DHAULIGNGA,NAPP,RAPPB,URI,DADRI_CRF,ANTA_RF,DULHASTI,JHAJJAR,UNCHAHAR4,TEHRI,SASAN,DADRT2,DADRI_LF,KHSTPP-II,KHSTPP-I,TALA,ANTA_CRF,RIHAND3,FSTPP I & II,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.618700,25.409092,33.121129,9.985206,0.729511,0.000000,5.287146,0.000000,5.156625,0.000000,134.342475,0.000000,0.000000,0.000000,0.000000,12.551236,15.558745,0.000000,58.504296,0.000000,0.862984,0.000000,10.697219,0.000000,0.000000,38.581654,0.000000,0.000000,90.904400,37.216313,41.433534,0.000000,48.150388,0.000000,39.312115,0.000000,0.000000,18.983470,564.867399,1.162461,0.000000,385.441200,597.946049,0.000000,142.723920,44.654475,0.000000,0.000000,122.590512,20.017920,19.247984,0,0,0,0,0

2,00:15-00:30,18.618700,25.409092,33.121129,9.985206,0.729511,0.000000,5.287146,0.000000,5.156625,0.000000,134.342475,0.000000,0.000000,0.000000,0.000000,12.551236,15.558745,0.000000,58.504296,0.000000,0.862984,0.000000,10.697219,0.000000,0.000000,38.581654,0.000000,0.000000,90.904400,37.216313,41.433534,0.000000,48.150388,0.000000,39.312115,0.000000,0.000000,18.983470,564.867399,1.125527,0.000000,391.937400,597.946049,0.000000,142.723920,44.654475,0.000000,0.000000,122.590512,20.017920,19.247984,0,0,0,0,0

3,00:30-00:45,18.618700,25.409092,33.121129,9.985206,0.729511,0.000000,5.287146,0.000000,5.156625,0.000000,134.342475,0.000000,0.000000,0.000000,0.000000,12.551236,15.558745,0.000000,58.504296,0.000000,0.369850,0.000000,11.836906,0.000000,0.000000,38.581654,0.000000,0.000000,90.904400,37.216313,41.433534,0.000000,48.150388,0.000000,32.937178,0.000000,0.000000,18.983470,564.867399,1.125527,0.000000,398.433600,550.573064,0.000000,142.723920,44.654475,0.000000,0.000000,122.590512,20.017920,17.589049,0,0,0,0,0

4,00:45-01:00,18.618700,25.409092,33.121129,9.985206,0.729511,0.000000,5.287146,0.000000,5.156625,0.000000,134.342475,0.000000,0.000000,0.000000,0.000000,12.551236,15.558745,0.000000,58.504296,0.000000,0.369850,0.000000,12.976592,0.000000,0.000000,38.581654,0.000000,0.000000,90.904400,37.216313,41.433534,0.000000,48.150388,0.000000,32.937178,0.000000,0.000000,18.983470,564.867399,1.125527,0.000000,402.708533,508.043838,0.000000,142.723920,44.654475,0.000000,0.000000,122.590512,20.017920,16.548104,0,0,0,0,0

5,01:00-01:15,18.618700,25.409092,33.121129,9.985206,0.729511,0.000000,5.287146,0.000000,5.156625,0.000000,134.342475,0.000000,0.000000,0.000000,0.000000,12.551236,15.558745,0.000000,58.504296,0.000000,0.000000,0.000000,11.835984,0.000000,0.000000,38.581654,0.000000,0.000000,90.904400,37.216313,41.433534,0.000000,48.150388,0.000000,32.937178,0.000000,0.000000,18.983470,564.867399,1.424352,0.000000,403.024248,415.108373,0.000000,142.723920,44.654475,0.000000,0.000000,122.590512,20.017920,16.274809,0,0,0,0,0

