Block,Time,DHAULIGNGA,NJPC,NLCTS2EXP,NTPL,RAMPUR,RIHAND3,URI2,AURY_RF,BRBCL,JHAJJAR,KOTESHWR,RAPPB,RAPPC,RSTPSU1TO6,SASAN,TALA,TANAKPUR,ANTA_CRF,ANTA_GF,AURY_LF,DULHASTI,KISHANGANGA,NNTPP,RAPPD,URI,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,KHSTPP-I,PARBATI2,PARBATI3,SEWA2,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TEHRI,UNCHAHAR3,AURY_CRF,KGSU1AND2,KHSTPP-II,KKNPPU2,NLCEXP,RIHAND1,SALAL,SIMHST1,UNCHAHAR1,DADRI_RF,DADRT2,FSTPP I & II,KGSU3AND4,KUDGI,RSTPSU7,UNCHAHAR4,VALLURNTECL,AURY_GF,DADRI_GF,DADRI_LF,KKNP,KOLDAM,NAPP,NLCIIST1,NLCIIST2,RIHAND2,TALST2,TANDA2,TelanganaSTPP,ANTA_LF,MAPS,TEHRIPSP,UNCHAHAR2,ANTA_RF,DADRI_CRF
1,00:00-00:15,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,30.43,0,65.42,0,418.77,20.72,11.02,0,0,0,38.02,4.48,0,24.02,52.99,19.56,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,72.47,27.09,0,0,98.87,0,0,98.32,83.67,0,21.25,105.39,689.38,18.07,0,0,0,1.62,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,177.18,43.7,52.09,0

2,00:15-00:30,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,30.43,0,65.42,0,418.77,20.72,11.02,0,0,0,38.02,4.48,0,24.02,52.99,19.56,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,72.47,27.09,0,0,98.87,0,0,98.32,83.67,0,21.25,105.39,689.38,18.07,0,0,0,1.62,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,88.59,43.7,52.09,0

3,00:30-00:45,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,30.43,0,65.42,0,418.77,20.72,11.02,0,0,0,38.02,4.48,0,24.02,46.37,19.56,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,72.47,27.02,0,0,98.87,0,0,98.32,83.67,0,21.23,105.39,689.38,18.07,0,0,0,1.62,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.62,52.09,0

4,00:45-01:00,42.46,175.79,0,0,5.7,130.84,31.17,80.91,24.99,667.25,30.43,0,65.42,0,418.77,20.72,11.02,0,0,0,38.02,4.48,0,24.02,46.37,19.56,42.15,47.12,33.94,41.89,0,41.62,15.47,0,113.75,0,72.47,27,0,0,98.87,0,0,98.32,83.67,0,21.24,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.61,52.09,0

5,01:00-01:15,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,30.43,0,65.42,0,418.77,20.7,11.02,0,0,0,38.02,4.48,0,24.02,46.37,0,42.15,47.12,33.94,41.89,0,35.68,15.47,0,113.75,0,72.47,27.13,0,0,98.87,0,0,98.32,83.67,0,21.23,105.39,689.38,18.07,0,0,0,2.05,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,43.98,52.34,0

6,01:15-01:30,42.46,175.79,0,0,5.7,130.84,37.42,80.91,24.99,667.25,30.43,0,65.42,0,418.77,20.64,11.02,0,0,0,38.02,4.48,0,24.02,46.37,0,42.15,47.12,33.94,41.89,0,35.68,15.47,0,113.75,0,72.47,27,0,0,98.87,0,0,98.32,83.67,0,21.65,105.39,689.38,18.07,0,0,0,1.52,0,0,0,0,0,8.62,24.23,0,0,125.27,0,3.13,0,0,0,0,44.54,52.34,0

